Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Edmond Fortier, M.P.;1849-04-10;Saint-Gervais, Canada East;1921-06-23;teacher;6509 days [17 year(s), 9 month(s), 26 day(s)];(1900-01-25 - 1909-09-29)|(1909-10-26 - 1917-12-16);6509 days [17 year(s), 9 month(s), 26 day(s)];;;;
Hyacinthe-Adélard Fortier, Q.C., M.P.;1875-12-11;Saint-Hermas, Quebec, Canada;1966-01-18;lawyer;2873 days [7 year(s), 10 month(s), 12 day(s)];(1917-12-17 - 1925-10-28);2873 days [7 year(s), 10 month(s), 12 day(s)];;;;
The Hon. Michael Fortier, P.C., Senator;1962-01-10;Québec, Quebec, Canada;;financier, lawyer;924 days [2 year(s), 6 month(s), 11 day(s)];;;(2006-02-27 - 2008-09-07);924 days [2 year(s), 6 month(s), 11 day(s)];;
Moïse Fortier, M.P.;1815-11-06;Saint-Léon, Quebec, Canada;1877-10-17;merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
The Hon. Mona Fortier, P.C., M.P.;;Ottawa, Ontario, Canada;;communication consultant, businesswoman;3312 days [9 year(s), 25 day(s)];(2017-04-03 - 2025-04-27)|(2025-04-28 - );3312 days [9 year(s), 25 day(s)];;;French, English;
André-Gilles Fortin, M.P.;1943-11-13;Granby, Quebec, Canada;1977-06-24 (Died in Office);professor;3287 days [8 year(s), 11 month(s), 30 day(s)];(1968-06-25 - 1977-06-24);3287 days [8 year(s), 11 month(s), 30 day(s)];;;;
The Hon. Émile Fortin, M.P., Senator;1878-02-18;Lévis, Quebec, Canada;1936-05-18 (Died in Office);pharmacist, physician;2122 days [5 year(s), 9 month(s), 22 day(s)];(1930-07-28 - 1935-08-13);1843 days [5 year(s), 17 day(s)];(1935-08-14 - 1936-05-18);279 days [, 9 month(s), 5 day(s)];;
Jean-François Fortin, M.P.;1973-09-12;;;professor of political science, political scientist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Louis Fortin, M.P.;1920-12-01;Lévis, Quebec, Canada;2005-06-24;lawyer;1358 days [3 year(s), 8 month(s), 19 day(s)];(1958-09-29 - 1962-06-17);1358 days [3 year(s), 8 month(s), 19 day(s)];;;;
The Hon. Pierre Fortin, M.P., Senator;1823-12-14;Verchères, Lower Canada;1888-06-15 (Died in Office);physician, surgeon;5796 days [15 year(s), 10 month(s), 13 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1887-02-21);5396 days [14 year(s), 9 month(s), 9 day(s)];(1887-05-13 - 1888-06-15);400 days [1 year(s), 1 month(s), 5 day(s)];;
Rhéal Éloi Fortin, M.P.;;Laval-des-Rapides, Quebec, Canada;;lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;French;
Thomas Fortin, M.P.;1853-12-07;Saint-François de la Beauce, Canada East;1933-03-31;professor, lawyer;1919 days [5 year(s), 3 month(s), 2 day(s)];(1896-06-23 - 1901-09-24);1919 days [5 year(s), 3 month(s), 2 day(s)];;;;
The Hon. Suzanne Fortin-Duplessis, M.P., Senator;1940-06-30;Chicoutimi, Quebec, Canada;;teacher;5697 days [15 year(s), 7 month(s), 5 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];(2009-01-14 - 2015-06-30);2359 days [6 year(s), 5 month(s), 16 day(s)];;
