Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Albion Roudolph Foster, M.P.;1875-11-24;Middle Simonds, New Brunswick, Canada;1945-02-06;farmer;1138 days [3 year(s), 1 month(s), 12 day(s)];(1927-06-16 - 1930-07-27);1138 days [3 year(s), 1 month(s), 12 day(s)];;;;
Arthur de Witt Foster, M.P.;1886-05-17;Hampton, Nova Scotia, Canada;1939-03-02;broker, teacher;1632 days [4 year(s), 5 month(s), 19 day(s)];(1911-09-21 - 1915-04-24)|(1925-10-29 - 1926-09-13);1632 days [4 year(s), 5 month(s), 19 day(s)];;;;
The Hon. Asa Belknap Foster, Senator;1817-04-21;Newfane, Vermont, United States;1877-11-01;contractor, merchant;3033 days [8 year(s), 3 month(s), 20 day(s)];;;(1867-10-23 - 1876-02-10);3033 days [8 year(s), 3 month(s), 20 day(s)];;
The Right Hon. Sir George Eulas Foster, P.C., G.C.M.G., M.P., Senator;1847-09-03;Carleton County, New Brunswick, Canada;1931-12-30 (Died in Office);professor, teacher;16612 days [45 year(s), 5 month(s), 24 day(s)];(1882-06-20 - 1885-12-09)|(1885-12-31 - 1896-06-22)|(1896-06-23 - 1900-11-06)|(1904-11-03 - 1921-09-21);12860 days [35 year(s), 2 month(s), 15 day(s)];(1921-09-22 - 1931-12-30);3752 days [10 year(s), 3 month(s), 9 day(s)];;
The Hon. George Green Foster, K.C., Senator;1860-01-21;Knowlton, Canada East;1931-05-01 (Died in Office);lawyer;5027 days [13 year(s), 9 month(s), 5 day(s)];;;(1917-07-27 - 1931-05-01);5027 days [13 year(s), 9 month(s), 5 day(s)];;
Maurice Brydon Foster, M.P.;1933-09-08;Bloomfield, Ontario, Canada;2010-10-02;veterinarian;9253 days [25 year(s), 4 month(s)];(1968-06-25 - 1993-10-24);9253 days [25 year(s), 4 month(s)];;;;
Thomas Foster, M.P.;1852-07-24;York Township, Canada West;1945-12-10;landlord, gentleman, butcher and meat cutter, speculator, businessman;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
The Hon. Walter Edward Foster, P.C., Senator;1873-04-09;St. Martins, New Brunswick, Canada;1947-11-14 (Died in Office);;6918 days [18 year(s), 11 month(s), 9 day(s)];;;(1928-12-06 - 1947-11-14);6918 days [18 year(s), 11 month(s), 9 day(s)];;
The Hon. Alphonse Fournier, P.C., Q.C., M.P.;1893-03-24;Methuen, Massachusetts, United States;1961-10-08;lawyer, teacher;8414 days [23 year(s), 13 day(s)];(1930-07-28 - 1953-08-09);8414 days [23 year(s), 13 day(s)];;;;
Charles Alphonse Fournier, M.P.;1871-11-01;Saint-Charles de Bellechasse, Quebec, Canada;1941-10-13;pharmacist;3193 days [8 year(s), 8 month(s), 28 day(s)];(1917-12-17 - 1926-09-13);3193 days [8 year(s), 8 month(s), 28 day(s)];;;;
The Hon. Edgar E. Fournier, M.P., Senator;1908-06-01;Saint-Basile, New Brunswick, Canada;1994-04-29;principal, teacher;7831 days [21 year(s), 5 month(s), 9 day(s)];(1961-05-29 - 1962-06-17);385 days [1 year(s), 20 day(s)];(1962-09-24 - 1983-02-11);7446 days [20 year(s), 4 month(s), 19 day(s)];;
Ghislain Fournier, M.P.;1938-08-26;Saint-Vianney, Quebec, Canada;;welder, real estate agent, realtor, real estate manager, businessman, restaurant and bar owner;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
The Hon. Joseph Michel Fournier, Senator;1905-09-29;Pointe-Verte, New Brunswick, Canada;1992-12-06;farmer;3218 days [8 year(s), 9 month(s), 22 day(s)];;;(1971-12-09 - 1980-09-29);3218 days [8 year(s), 9 month(s), 22 day(s)];;
The Hon. Sarto Fournier, Q.C., M.P., Senator;1908-02-15;East Broughton, Quebec, Canada;1980-07-23 (Died in Office);lawyer;16355 days [44 year(s), 9 month(s), 10 day(s)];(1935-10-14 - 1953-06-11);6451 days [17 year(s), 7 month(s), 29 day(s)];(1953-06-12 - 1980-07-23);9904 days [27 year(s), 1 month(s), 12 day(s)];;
The Hon. Télesphore Fournier, P.C., M.P.;1823-08-05;Saint-François de la Rivière-du-Sud, Lower Canada;1896-05-10;newspaper editor, lawyer;1880 days [5 year(s), 1 month(s), 24 day(s)];(1870-08-15 - 1875-10-07);1880 days [5 year(s), 1 month(s), 24 day(s)];;;;
Frederick Luther Fowke, M.P.;1857-05-27;East Whitby, Ontario, Canada;1939-08-25;merchant, exporter, businessman;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
The Hon. George William Fowler, M.P., Senator;1861-02-24;Hammondvale, New Brunswick, Canada;1924-09-02 (Died in Office);lawyer;7641 days [20 year(s), 11 month(s), 1 day(s)];(1900-11-07 - 1904-11-02)|(1904-11-03 - 1908-10-25)|(1911-09-21 - 1917-06-28);5018 days [13 year(s), 8 month(s), 27 day(s)];(1917-06-29 - 1924-09-02);2623 days [7 year(s), 2 month(s), 5 day(s)];;
The Hon. Francis Fox, P.C., K.C., M.P., Senator;1939-12-02;Montreal, Quebec, Canada;2024-09-24;lawyer, executive;6614 days [18 year(s), 1 month(s), 10 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];(2005-08-29 - 2011-12-02);2287 days [6 year(s), 3 month(s), 5 day(s)];;
Walter Frank Foy, M.P.;1908-12-31;Peterborough, Ontario, Canada;1993-12-02;life underwriter;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;
Peter Fragiskatos, M.P.;1981-04-30;London, Ontario, Canada;;professor, commentator, political scientist, academic;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English;
Sidney Arthur Fraleigh, M.P.;1931-02-05;Forest, Ontario, Canada;2023-05-08;farmer;1811 days [4 year(s), 11 month(s), 15 day(s)];(1979-05-22 - 1980-02-17)|(1984-09-04 - 1988-11-20);1811 days [4 year(s), 11 month(s), 15 day(s)];;;;
The Hon. Brian Francis, Senator;;Lennox Island, Prince Edward Island, Canada;;aboriginal leader, program coordinator;2756 days [7 year(s), 6 month(s), 16 day(s)];;;(2018-10-11 - );2756 days [7 year(s), 6 month(s), 16 day(s)];English;"Of Mi'kmaq origin.
Appointed and served as a member of the the Independent Advisory Board for Senate Appointments in 2016."
The Hon. Cyril Lloyd Francis, P.C., M.P.;1920-03-19;Ottawa, Ontario, Canada;2007-01-20;economist, ambassador;5972 days [16 year(s), 4 month(s), 6 day(s)];(1963-04-08 - 1965-11-07)|(1968-06-25 - 1972-10-29)|(1974-07-08 - 1979-05-21)|(1980-02-18 - 1984-09-03);5972 days [16 year(s), 4 month(s), 6 day(s)];;;;
Joseph Napoléon Francoeur, Q.C., M.P.;1880-12-13;Cap-Saint-Ignace, Quebec, Canada;1965-07-25;lawyer;774 days [2 year(s), 1 month(s), 14 day(s)];(1937-12-27 - 1940-02-08);774 days [2 year(s), 1 month(s), 14 day(s)];;;;
William Charles Frank, M.P.;1923-07-24;Hyde Park, Ontario, Canada;2023-01-18;merchant, businessman;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
Allan MacPherson Fraser, M.P.;1906-07-09;Inverness, Scotland;1969-11-16;professor;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
Austin Levi Fraser, M.P.;1868-03-17;Vernon River, Prince Edward Island, Canada;1946-04-22;lawyer;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
Colin Fraser, M.P.;1978-07-27;Yarmouth, Nova Scotia, Canada;;lawyer;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Duncan Cameron Fraser, M.P.;1845-10-01;New Glasgow, Nova Scotia, Canada;1910-09-27;lawyer;4724 days [12 year(s), 11 month(s), 6 day(s)];(1891-03-05 - 1904-02-09);4724 days [12 year(s), 11 month(s), 6 day(s)];;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Father of Alistair Fraser (1885-1964), Lieutenant Governor of Nova Scotia (1952-1958).Father-in-law of Jane Ross, daughter of James Hamilton Ross, Senator (1904-1932) and MP (1902-1904).Great-grandfather of Alistair Fraser (1923-1997), Clerk of the House of Commons (1967-1979)."
Evan Eugene Fraser, M.P.;1865-03-15;Allanburg, Canada West;1949-08-04;contractor;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Gordon Knapman Fraser, M.P.;1891-03-06;Hamilton, Ontario, Canada;1960-05-26 (Died in Office);gentleman, financial agent / adviser / consultant;7367 days [20 year(s), 2 month(s), 1 day(s)];(1940-03-26 - 1953-08-09)|(1953-08-10 - 1960-05-26);7367 days [20 year(s), 2 month(s), 1 day(s)];;;;
James Harshaw Fraser, M.P.;1841;Westminster, Canada West;1899-07-28;lawyer;1307 days [3 year(s), 6 month(s), 28 day(s)];(1875-02-18 - 1878-09-16);1307 days [3 year(s), 6 month(s), 28 day(s)];;;;
The Hon. Joan Fraser, Senator;;Halifax, Nova Scotia, Canada;;journalist;7079 days [19 year(s), 4 month(s), 17 day(s)];;;(1998-09-17 - 2018-02-02);7079 days [19 year(s), 4 month(s), 17 day(s)];;
John Fraser, M.P.;1849-03-03;Inverness-shire, Scotland;1928-02-01;oilman;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;
The Hon. John Allen Fraser, P.C., K.C., M.P.;1931-12-15;Yokohama, Japan;2024-04-07;barrister, barrister and solicitor, ambassador, lawyer;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;
John Anderson Fraser, M.P.;1866-04-04;Shakespeare, Canada West;1960-05-08;merchant, teacher;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
The Hon. Sean Fraser, P.C., K.C., M.P.;;Antigonish, Nova Scotia, Canada;;lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English;
The Hon. William Alexander Fraser, M.P., Senator;1886-04-24;Trenton, Ontario, Canada;1962-10-26 (Died in Office);manufacturer, farmer, fruit grower, industrialist;10304 days [28 year(s), 2 month(s), 16 day(s)];(1930-07-28 - 1945-06-10);5432 days [14 year(s), 10 month(s), 15 day(s)];(1949-06-25 - 1962-10-26);4872 days [13 year(s), 4 month(s), 2 day(s)];;
John L. (Jack) Frazer, C.D., O.M.M., M.S.C., M.P.;1931-12-20;Kamloops, British Columbia, Canada;2012-12-17;military;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Antoine Fréchette, M.P.;1905-08-22;Saint-Alexandre, Quebec, Canada;1978-04-17;life insurance broker, life underwriter, insurance agent;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Louis Honoré Fréchette, M.P.;1839-11-16;Pointe-Lévis, Lower Canada;1908-05-31;editor, author, journalist, lawyer;1699 days [4 year(s), 7 month(s), 25 day(s)];(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];;;;
Louis-Israël Côté Alias Fréchette, M.P.;1848-05-06;Saint-Ferdinand, Canada East;1923-07-17;merchant, postmaster;2589 days [7 year(s), 1 month(s), 2 day(s)];(1882-06-20 - 1884-04-01)|(1891-03-05 - 1896-06-22);2589 days [7 year(s), 1 month(s), 2 day(s)];;;;
The Hon. Chrystia Freeland, P.C., M.P.;1968-08-02;Peace River, Alberta, Canada;;editor, author, journalist;4428 days [12 year(s), 1 month(s), 15 day(s)];(2013-11-25 - 2015-10-18)|(2015-10-19 - 2026-01-08);4428 days [12 year(s), 1 month(s), 15 day(s)];;;;First woman to be appointed as Minister of Finance.
Carole Freeman, M.P.;;;;lawyer;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;
Joshua Newton Freeman, M.P.;1816-10-06;Liverpool, Nova Scotia, Canada;1912-11-22;merchant;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
Mylène Freeman, M.P.;1989-03-07;Stouffville, Ontario, Canada;;research assistant, student;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Jules Joseph Taschereau Frémont, M.P.;1855-12-20;Québec, Canada East;1902-03-28;professor, author, lawyer;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;
Jean-Louis Frenette, M.P.;1920-09-21;Saint-Marc-des-Carrières, Quebec, Canada;2008-04-09;architectural draftsman;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
Claude Girven (Girve) Fretz, M.P.;1927-03-04;Ridgeway, Ontario, Canada;2020-11-05;retail merchant, merchant, businessman;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;
Benno Friesen, M.P.;1929-06-27;Nelson, British Columbia, Canada;2021-09-29;professor, administrator;7049 days [19 year(s), 3 month(s), 18 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1988-11-20)|(1988-11-21 - 1990-12-18)|(1990-12-19 - 1993-10-24);7049 days [19 year(s), 3 month(s), 18 day(s)];;;;
The Hon. Alfred Ernest Fripp, K.C., M.P., Senator;1866-06-29;Ottawa, Ontario, Canada;1938-03-25 (Died in Office);lawyer;5276 days [14 year(s), 5 month(s), 11 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];(1933-12-30 - 1938-03-25);1547 days [4 year(s), 2 month(s), 25 day(s)];;
The Hon. Douglas Cockburn Frith, , P.C.;1945-03-05;Brampton, Ontario, Canada;2009-03-21;pharmacist;3199 days [8 year(s), 9 month(s), 3 day(s)];(1980-02-18 - 1988-11-20);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
The Hon. Royce Herbert Frith, Q.C., Senator;1923-11-12;Montreal, Quebec, Canada;2005-03-17;diplomat, lawyer, high commissioner, ambassador;6356 days [17 year(s), 4 month(s), 25 day(s)];;;(1977-04-05 - 1994-08-29);6356 days [17 year(s), 4 month(s), 25 day(s)];;
Jake Froese, M.P.;1925-09-21;Winkler, Manitoba, Canada;2013-01-16;fruit grower;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
The Hon. Francis Theodore Frost, M.P., Senator;1843-12-21;Smiths Falls, Canada West;1916-08-25 (Died in Office);manufacturer;6513 days [17 year(s), 9 month(s), 30 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];(1903-03-12 - 1916-08-25);4916 days [13 year(s), 5 month(s), 16 day(s)];;
The Hon. Liza Frulla, P.C., M.P., C.M., O.Q.;1949-03-30;Montreal, Quebec, Canada;;communicator, executive;1351 days [3 year(s), 8 month(s), 12 day(s)];(2002-05-13 - 2004-06-27)|(2004-06-28 - 2006-01-22);1351 days [3 year(s), 8 month(s), 12 day(s)];;;;
The Hon. Linda Frum, Senator;;Toronto, Ontario, Canada;;author, journalist, columnist;4384 days [12 year(s), 1 day(s)];;;(2009-08-27 - 2021-08-27);4384 days [12 year(s), 1 day(s)];;
The Hon. Hedy Fry, P.C., M.P.;1941-08-06;San Fernando, Trinidad;;physician;11873 days [32 year(s), 6 month(s), 2 day(s)];(1993-10-25 - );11873 days [32 year(s), 6 month(s), 2 day(s)];;;English;
The Hon. Stephen Fuhr, P.C., M.P.;1969-05-27;Edmonton, Alberta, Canada;;executive manager, fighter pilot, flying instructor, military officer;1828 days [5 year(s), 2 day(s)];(2015-10-19 - 2019-10-20)|(2025-04-28 - );1828 days [5 year(s), 2 day(s)];;;English;
George Taylor Fulford, M.P.;1902-05-06;Brockville, Ontario, Canada;1987-12-15;manufacturer, executive;3408 days [9 year(s), 3 month(s), 30 day(s)];(1940-03-26 - 1945-06-10)|(1949-06-27 - 1953-08-09);3408 days [9 year(s), 3 month(s), 30 day(s)];;;;
The Hon. George Taylor Fulford, Senator;1852-08-08;Brockville, Canada West;1905-10-15 (Died in Office);pharmacist;2086 days [5 year(s), 8 month(s), 17 day(s)];;;(1900-01-29 - 1905-10-15);2086 days [5 year(s), 8 month(s), 17 day(s)];;
The Hon. Edmund Davie Fulton, P.C., Q.C., O.C., M.P.;1916-03-10;Kamloops, British Columbia, Canada;2000-05-22;barrister and solicitor;7470 days [20 year(s), 5 month(s), 13 day(s)];(1945-06-11 - 1963-04-07)|(1965-11-08 - 1968-06-24);7470 days [20 year(s), 5 month(s), 13 day(s)];;;;
Frederick John Fulton, K.C., M.P.;1862-12-08;Bedlington, England;1936-07-25;lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
James Ross Fulton, M.P.;1950-01-22;Edmonton, Alberta, Canada;2008-12-21;executive director, probation officer;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;
Oscar Fulton, M.P.;1843-03-22;Cornwall Township, Canada West;1907-11-22;merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;
Raymond John Funk, M.P.;1948-02-13;Saskatoon, Saskatchewan, Canada;;farmer, consultant, educator, researcher, child care worker, businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. George J. Furey, P.C., K.C., Senator;;St. John's, Newfoundland, Canada;;educator, lawyer;8675 days [23 year(s), 9 month(s)];;;(1999-08-11 - 2023-05-11);8675 days [23 year(s), 9 month(s)];;Father of Newfoundland and Labrador Premier Andrew Furey.
Stephen Joseph Furniss, M.P.;1875-05-08;Mara Township, Ontario, Canada;1952-09-02;farmer;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;
Beryl Gaffney, M.P.;1930-04-01;Summerside, Prince Edward Island, Canada;;executive assistant;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;
The Hon. Alfonso Gagliano, P.C., M.P.;1942-01-25;Siculiana, Italy;2020-12-12;ambassador, accountant;6342 days [17 year(s), 4 month(s), 11 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1997-06-01)|(1997-06-02 - 2002-01-14);6342 days [17 year(s), 4 month(s), 11 day(s)];;;;
Jean Alfred Gagné, M.P.;1842-04-17;Murray Bay, Canada East;1910-08-08;merchant, lawyer;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
The Hon. Raymonde Gagné, Senator;;Saint-Pierre-Jolys, Manitoba, Canada;;school superintendent, university president, educational administrator, teacher;3679 days [10 year(s), 27 day(s)];;;(2016-04-01 - );3679 days [10 year(s), 27 day(s)];French, English;Awarded the Order of Manitoba (O.M.) in 2014.
Christiane Gagnon, M.P.;1948-04-16;Chicoutimi, Quebec, Canada;;real estate agent, businesswoman;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;
Marcel Gagnon, M.P.;1936-04-19;Sainte-Brigide-d'Iberville, Quebec, Canada;2025-08-12;businessman;1883 days [5 year(s), 1 month(s), 27 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2006-01-22);1883 days [5 year(s), 1 month(s), 27 day(s)];;;;
The Hon. Onésime Gagnon, P.C., K.C., M.P.;1888-10-23;Saint-Léon-de-Standon, Quebec, Canada;1961-09-30;lawyer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
Patrick Gagnon, M.P.;1962-02-12;New Richmond, Quebec, Canada;;consultant, government relations advisor;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Paul Gagnon, M.P.;1937-09-17;Moose Jaw, Saskatchewan, Canada;;geologist, engineer;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Paul-Edmond Gagnon, M.P.;1909-01-20;Saint-Alexis de la Grande Baie, Quebec, Canada;1981-10-23;merchant;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;
Philippe Gagnon, M.P.;1909-05-09;Saint-Jean de Dieu, Quebec, Canada;2001-09-19;farmer, salesman, agent;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;
Sébastien Gagnon, M.P.;1973-05-21;Metabetchouan, Quebec, Canada;;executive manager, entrepreneur;1141 days [3 year(s), 1 month(s), 15 day(s)];(2002-12-09 - 2004-06-27)|(2004-06-28 - 2006-01-22);1141 days [3 year(s), 1 month(s), 15 day(s)];;;;
Daniel Galbraith, M.P.;1813-02-01;Glasgow, Scotland;1879-12-17 (Died in Office);farmer;2623 days [7 year(s), 2 month(s), 5 day(s)];(1872-10-12 - 1879-12-17);2623 days [7 year(s), 2 month(s), 5 day(s)];;;;
Joseph Bernard Royal Neil Galipeau, M.P.;1947-01-05;St. Isidore, Ontario, Canada;2018-01-27;advisor, corporate director, businessman;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;Grandson of Louis Galipeau (1867-1938), Reeve of the former Township of South Plantagenet (Ontario).Grandson of Omer Lacasse (1899-1985), Councillor of the former Township of Cumberland (Ontario).Nephew of Joseph-Édouard Galipeau (1899-1992), Councillor of the former Township of Cumberland, Ontario.Nephew and godson of Bernard Galipeau (1926-2014), Councillor of the former Township of South Plantagenet, Ontario.Nephew of Léon Nicholas (1925-1998), Councillor of the former Township of South Plantagenet, Ontario.Nephew of Raymond Galipeau, (1921-1988), President the former Police Village of St. Isidore de Prescott, Ontario.Cousin of Arthur Parisien (1905-2002), Deputy Reeve of the former Township of Gloucester.Cousin of Réal Lalonde (1934-2000), former Mayor of St. Isidore (Ontario).
Cheryl Gallant, M.P.;1960-05-23;Sarnia, Ontario, Canada;;office manager;9283 days [25 year(s), 4 month(s), 30 day(s)];(2000-11-27 - 2025-04-27)|(2025-04-28 - );9283 days [25 year(s), 4 month(s), 30 day(s)];;;English;
