Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Ralph Bronson Cowan, M.P.;1902-05-06;Ottawa, Ontario, Canada;1990-04-21;manager, journalist;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;
Walter Davy Cowan, M.P.;1865-12-31;Guelph, Canada West;1934-09-28 (Died in Office);dentist;2974 days [8 year(s), 1 month(s), 22 day(s)];(1917-12-17 - 1921-12-05)|(1930-07-28 - 1934-09-28);2974 days [8 year(s), 1 month(s), 22 day(s)];;;;
Marlene Cowling, M.P.;1941-08-26;Dauphin, Manitoba, Canada;;farmer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
The Hon. George Albertus Cox, Senator;1840-05-07;Colborne, Upper Canada;1914-01-16 (Died in Office);telegrapher, real estate agent, merchant;6273 days [17 year(s), 2 month(s), 3 day(s)];;;(1896-11-13 - 1914-01-16);6273 days [17 year(s), 2 month(s), 3 day(s)];;
Charles Delmar Coyle, M.P.;1887-09-16;Kinglake, Ontario, Canada;1954-01-19 (Died in Office);tobacco manufacturer;3145 days [8 year(s), 7 month(s), 10 day(s)];(1945-06-11 - 1954-01-19);3145 days [8 year(s), 7 month(s), 10 day(s)];;;;
The Hon. Mary Coyle, Senator;;;;development consultant, executive director;3067 days [8 year(s), 4 month(s), 23 day(s)];;;(2017-12-04 - );3067 days [8 year(s), 4 month(s), 23 day(s)];English, French;
Thomas Dixon Craig, M.P.;1842-11-20;London, England;1905-04-04;tanner;3534 days [9 year(s), 8 month(s), 4 day(s)];(1891-03-05 - 1900-11-06);3534 days [9 year(s), 8 month(s), 4 day(s)];;;;
The Hon. George Crawford, Senator;1793;Manorhamilton, County Cavan, Ireland;1870-07-04 (Died in Office);contractor;986 days [2 year(s), 8 month(s), 13 day(s)];;;(1867-10-23 - 1870-07-04);986 days [2 year(s), 8 month(s), 13 day(s)];;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Brother of John Crawford, Brockville alderman and mayor."
James Crawford, M.P.;1816;County Cavan, Ireland;1878-11-22;contractor;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
John Crawford, M.P.;1856-06-17;Kintail, Canada West;1928-05-31;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
The Hon. John Willoughby Crawford, Q.C., M.P.;1817;Manorhamilton, County Cavan, Ireland;1875-05-13;lawyer;2238 days [6 year(s), 1 month(s), 17 day(s)];(1867-09-20 - 1872-10-11)|(1872-10-12 - 1873-11-04);2238 days [6 year(s), 1 month(s), 17 day(s)];;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Son-in-law of Levius Peters Sherwood, Speaker of the House of Assembly of Upper Canada (1821-  ).Brother-in-law of Henry Sherwood, member of the House of Assembly of Upper Canada (1836-41) and of the Legislative Assembly of the Province of Canada  (1843-51) (1853-54)."
Rex Crawford, M.P.;1932-02-25;Detroit, Michigan, United States;2022-07-20;farmer;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;
The Hon. William Lawrence Marven Creaghan, M.P.;1922-05-30;Newcastle, New Brunswick, Canada;2008-10-01;barrister;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;"The Governor General of Canada declared that Judge Creaghan would retain his title of ""honourable"" following his retirement, in recognition of his long years of devoted service."
The Hon. Thomas Alexander Crerar, P.C., C.C., M.P., Senator;1876-06-17;Molesworth, Ontario, Canada;1975-04-11;farmer, grain merchant, managing director, teacher;14234 days [38 year(s), 11 month(s), 20 day(s)];(1917-12-17 - 1925-10-28)|(1930-02-05 - 1930-07-27)|(1935-10-14 - 1945-04-17);6520 days [17 year(s), 10 month(s), 7 day(s)];(1945-04-18 - 1966-05-31);7714 days [21 year(s), 1 month(s), 14 day(s)];;
Leon David Crestohl, M.P.;1900-05-07;Warsaw, Poland;1963-03-21 (Died in Office);lawyer;4659 days [12 year(s), 9 month(s), 2 day(s)];(1950-06-19 - 1963-03-21);4659 days [12 year(s), 9 month(s), 2 day(s)];;;;
Joseph-Alphida Crête, M.P.;1890-07-09;Saint-Sévérin, Quebec, Canada;1964-04-20;optician, optometrist;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;
Paul Crête, M.P.;1953-04-08;Hérouxville, Quebec, Canada;;director of human resources;5688 days [15 year(s), 6 month(s), 26 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2009-05-21);5688 days [15 year(s), 6 month(s), 26 day(s)];;;;
Joan Crockatt, M.P.;1955-12-04;Lloydminster, Alberta, Canada;;commentator, communication consultant, journalist;1057 days [2 year(s), 10 month(s), 23 day(s)];(2012-11-26 - 2015-10-18);1057 days [2 year(s), 10 month(s), 23 day(s)];;;;
The Hon. Oswald Smith Crocket, M.P.;1868-04-13;Chatham, New Brunswick, Canada;1945-03-02;barrister, correspondent, author;3325 days [9 year(s), 1 month(s), 8 day(s)];(1904-11-03 - 1913-12-10);3325 days [9 year(s), 1 month(s), 8 day(s)];;;;
Patrick Dermott Crofton, M.P.;1935-05-29;Ganges, British Columbia, Canada;2016-01-05;farmer, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
William Joseph Croke, M.P.;1840;;1869-03-11 (Died in Office);lawyer;539 days [1 year(s), 5 month(s), 22 day(s)];(1867-09-20 - 1869-03-11);539 days [1 year(s), 5 month(s), 22 day(s)];;;;
The Hon. David Arnold Croll, P.C., Q.C., M.P., Senator;1900-03-12;Moscow, Russia;1991-06-11 (Died in Office);barrister, lawyer;16802 days [46 year(s), 1 day(s)];(1945-06-11 - 1955-07-27);3699 days [10 year(s), 1 month(s), 17 day(s)];(1955-07-28 - 1991-06-11);13103 days [35 year(s), 10 month(s), 15 day(s)];;Canada's first Jewish senator. (Source Encyclopedia of Canada's peoples)
Bonnie Crombie, M.P.;1960-02-05;Toronto, Ontario, Canada;;public affairs consultant, entrepreneur;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
The Hon. David Edward Crombie, P.C., M.P.;1936-04-24;Toronto, Ontario, Canada;;teacher;3517 days [9 year(s), 7 month(s), 17 day(s)];(1978-10-16 - 1988-06-01);3517 days [9 year(s), 7 month(s), 17 day(s)];;;;Awarded the Order of Ontario (O.Ont.) in 2011.
Frederick Robert Cromwell, M.P.;1872-05-13;Leeds, Quebec, Canada;1950-10-16;farmer, manager;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];;;;
Hume Cronyn, M.P.;1864-08-28;London, Canada West;1933-06-19;lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
The Hon. John Carnell Crosbie, P.C., Q.C., M.P.;1931-01-30;St John's, Newfoundland;2020-01-10;lawyer;6216 days [17 year(s), 7 day(s)];(1976-10-18 - 1988-11-20)|(1988-11-21 - 1993-10-24);6216 days [17 year(s), 7 day(s)];;;;Son of Chesley Crosbie, leader of Newfoundland Economic Union Party (1948-49).  Grandson of Sir John Chalker Crosbie, Newfoundland and Labrador cabinet minister (1918-19, 1924-28).
The Hon. Adam Brown Crosby, M.P., Senator;1859-05-05;Belfast, Ireland;1921-03-10 (Died in Office);merchant, exporter;2571 days [7 year(s), 14 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];(1917-01-20 - 1921-03-10);1511 days [4 year(s), 1 month(s), 20 day(s)];;
Howard Edward Crosby, Q.C., M.P.;1933-11-26;Halifax, Nova Scotia, Canada;2003-12-12;barrister, lawyer;5488 days [15 year(s), 9 day(s)];(1978-10-16 - 1979-05-21)|(1979-05-22 - 1993-10-24);5488 days [15 year(s), 9 day(s)];;;;
Charles Wilson Cross, M.P.;1872-11-30;Madoc, Ontario, Canada;1928-06-02;barrister;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
Guy F. Crossman, M.P.;1915-06-14;Bouctouche, New Brunswick, Canada;1989-06-12;contractor;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;
The Hon. Thomas Wilson Crothers, P.C., M.P., Senator;1850-01-01;Northport, Canada West;1921-12-10 (Died in Office);lawyer, teacher;4794 days [13 year(s), 1 month(s), 16 day(s)];(1908-10-26 - 1921-10-02);4725 days [12 year(s), 11 month(s), 7 day(s)];(1921-10-03 - 1921-12-10);69 days [, 2 month(s), 8 day(s)];;
The Hon. Lloyd Roseville Crouse, P.C., M.P.;1918-11-19;Lunenburg, Nova Scotia, Canada;2007-04-28;business executive, administrator;11487 days [31 year(s), 5 month(s), 12 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1988-11-20);11487 days [31 year(s), 5 month(s), 12 day(s)];;;;
Darius Crouter, M.P.;1827-05-05;Haldimand Township, Upper Canada;1910-05-09;farmer, minister;452 days [1 year(s), 2 month(s), 26 day(s)];(1881-03-25 - 1882-06-19);452 days [1 year(s), 2 month(s), 26 day(s)];;;;
Jean Crowder, M.P.;1952-07-07;Montreal, Quebec, Canada;;human resources consultant, manager, consultant;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;
The Hon. Sanford Johnston Crowe, M.P., Senator;1869-02-14;Truro, Nova Scotia, Canada;1931-08-23 (Died in Office);contractor;4998 days [13 year(s), 8 month(s), 7 day(s)];(1917-12-17 - 1921-11-30);1445 days [3 year(s), 11 month(s), 14 day(s)];(1921-12-01 - 1931-08-23);3553 days [9 year(s), 8 month(s), 23 day(s)];;
George Alexander Cruickshank, M.P.;1897-02-13;Minot, North Dakota, United States;1970-11-17;farmer;4885 days [13 year(s), 4 month(s), 15 day(s)];(1940-03-26 - 1953-08-09);4885 days [13 year(s), 4 month(s), 15 day(s)];;;;
Robert Cruise, M.P.;1868-12-11;Lachute, Quebec, Canada;1932-06-19;farmer, businessman;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;
Harold William Culbert, M.P.;1944-05-16;Woodstock, New Brunswick, Canada;2005-03-01;chartered accountant, insurance agent, businessman;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
John Culbert, M.P.;1847-08-21;Elizabethtown, Canada West;1915-04-13;merchant;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
The Hon. Jack Sydney George (Bud) Cullen, P.C., M.P.;1927-04-20;Creighton Mine, Ontario, Canada;2005-07-05;lawyer, judge;5643 days [15 year(s), 5 month(s), 12 day(s)];(1968-06-25 - 1972-10-29)|(1972-10-30 - 1979-05-21)|(1980-02-18 - 1984-09-03);5643 days [15 year(s), 5 month(s), 12 day(s)];;;;
Nathan Cullen, M.P.;1972-07-13;Toronto, Ontario, Canada;;human resources consultant;5593 days [15 year(s), 3 month(s), 23 day(s)];(2004-06-28 - 2019-10-20);5593 days [15 year(s), 3 month(s), 23 day(s)];;;;
The Hon. Roy Cullen, P.C., M.P.;1944-12-31;Montreal, Quebec, Canada;;chartered accountant;4586 days [12 year(s), 6 month(s), 20 day(s)];(1996-03-25 - 2008-10-13);4586 days [12 year(s), 6 month(s), 20 day(s)];;;;
Arthur Patrick Culligan, M.P.;1878-07-29;Belledune, New Brunswick, Canada;1929-03-09;lumberman, farmer;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
Frederick William Cumberland, M.P.;1820-04-10;London, England;1881-08-05;architect, civil engineer;470 days [1 year(s), 3 month(s), 14 day(s)];(1871-06-30 - 1872-10-11);470 days [1 year(s), 3 month(s), 14 day(s)];;;;
James Cumming, M.P.;;;;entrepreneur;700 days [1 year(s), 10 month(s)];(2019-10-21 - 2021-09-19);700 days [1 year(s), 10 month(s)];;;;
John Martin Cummins, M.P.;1942-03-12;Georgetown, Ontario, Canada;2025-03-02;commercial fisherman, teacher;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;
James Cunningham, M.P.;1834;Anyevny, Ireland;1925-05-04;merchant;1462 days [4 year(s), 1 day(s)];(1874-01-22 - 1878-01-22);1462 days [4 year(s), 1 day(s)];;;;
Robert Cunningham, M.P.;1836-05-12;Stewarton, Scotland;1874-07-04 (Died in Office);newspaper owner, newspaper editor, correspondent, author;631 days [1 year(s), 8 month(s), 23 day(s)];(1872-10-12 - 1874-07-04);631 days [1 year(s), 8 month(s), 23 day(s)];;;;
Douglas George Leopold Cunnington, M.C., V.D., M.P.;1885-04-20;Bridgenorth, England;1973-05-09;insurance broker;190 days [, 6 month(s), 7 day(s)];(1939-09-18 - 1940-03-25);190 days [, 6 month(s), 7 day(s)];;;;
The Hon. John Joseph Curran, M.P.;1842-02-22;Montreal, Canada East;1909-10-01;lawyer;4855 days [13 year(s), 3 month(s), 16 day(s)];(1882-06-20 - 1892-12-04)|(1892-12-18 - 1895-10-17);4855 days [13 year(s), 3 month(s), 16 day(s)];;;;
John Allister Currie, M.P.;1868-02-25;Nottawa, Ontario, Canada;1931-06-28;manager, author, journalist, ironworker;4789 days [13 year(s), 1 month(s), 11 day(s)];(1908-10-26 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];;;;
Morley Currie, M.P.;1869-06-23;Picton, Ontario, Canada;1944-07-11;physician, surgeon;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
Joseph Merrill Currier, M.P.;1820;North Troy, Vermont, United States;1884-04-22;lumberman, businessman;5365 days [14 year(s), 8 month(s), 9 day(s)];(1867-09-20 - 1877-04-16)|(1877-05-09 - 1882-06-19);5365 days [14 year(s), 8 month(s), 9 day(s)];;;;Built a house as a wedding gift to his wife situated at 24 Sussex Drive, Ottawa, Ontario.
The Hon. Nathaniel Curry, Senator;1851-03-26;Port Williams, Nova Scotia, Canada;1931-10-23 (Died in Office);manufacturer, miner, railway employee, building contractor;6912 days [18 year(s), 11 month(s), 3 day(s)];;;(1912-11-20 - 1931-10-23);6912 days [18 year(s), 11 month(s), 3 day(s)];;
The Hon. Rufus Curry, Senator;1859-08-31;Avondale, Nova Scotia, Canada;1934-08-18;manufacturer, shipowner;750 days [2 year(s), 20 day(s)];;;(1903-03-12 - 1905-03-30);750 days [2 year(s), 20 day(s)];;
Lemuel Cushing, M.P.;1842;Chatham, Canada East;1881-03-01;lawyer;366 days [1 year(s), 1 day(s)];(1874-11-04 - 1875-11-04);366 days [1 year(s), 1 day(s)];;;;
Edward Octavian Cuthbert, M.P.;1826-12-03;Berthier, Lower Canada;1890-07-28;person of independent means;4378 days [11 year(s), 11 month(s), 25 day(s)];(1875-02-27 - 1887-02-21);4378 days [11 year(s), 11 month(s), 25 day(s)];;;;
Robert Barry Cutler, M.P.;1810-08-11;Westmorland, New Brunswick, Canada;1882-04-03;paymaster;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
The Hon. Rodger Cuzner, Senator, M.P.;;Glace Bay, Nova Scotia, Canada;;organizer of events, advisor, consul general;7812 days [21 year(s), 4 month(s), 20 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2019-10-20);6902 days [18 year(s), 10 month(s), 24 day(s)];(2023-10-31 - );910 days [2 year(s), 5 month(s), 28 day(s)];English;
Alexandre Cyr, M.P.;1922-11-12;Chandler, Quebec, Canada;2006-08-17;public servant, executive, secretary, secretary-treasurer, businessman, accountant;6860 days [18 year(s), 9 month(s), 12 day(s)];(1963-04-08 - 1965-11-07)|(1968-06-25 - 1984-09-03);6860 days [18 year(s), 9 month(s), 12 day(s)];;;;
Joseph Ernest Cyr, M.P.;1854-09-04;Montreal, Quebec, Canada;1929-04-12;journalist, notary, teacher;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
Jean-Claude D'Amours, M.P.;1972-12-19;Edmundston, New Brunswick, Canada;;financial agent / adviser / consultant, account executive, development manager;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;
Joseph-Émile-Stanislas-Émmanuel D'Anjou, M.P.;1884-03-31;Saint-Fabien-de-Rimouski, Quebec, Canada;1966-11-19;insurance broker;4310 days [11 year(s), 9 month(s), 18 day(s)];(1917-12-17 - 1924-07-19)|(1940-03-26 - 1945-06-10);4310 days [11 year(s), 9 month(s), 18 day(s)];;;;
Chris d'Entremont, M.P.;1969;Yarmouth, Nova Scotia, Canada;;salesman, radio host;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;English, French;Recipient of the Ordre de la Pléiades en 2024.
The Hon. Julie Dabrusin, P.C., M.P.;;Montreal, Quebec, Canada;;attorney, lawyer, community activist;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English, French;
The Hon. Jean-Guy Dagenais, Senator;;;;police officer;4765 days [13 year(s), 17 day(s)];;;(2012-01-17 - 2025-02-01);4765 days [13 year(s), 17 day(s)];;
John Dahmer, M.P.;1937-09-05;Red Deer, Alberta, Canada;1988-11-26 (Died in Office);school administrator;6 days [, 6 day(s)];(1988-11-21 - 1988-11-26);6 days [, 6 day(s)];;;;
The Hon. Armand Daigle, Senator;1892-05-16;Saint-Roch, Quebec, Canada;1957-03-08 (Died in Office);businessman;4754 days [13 year(s), 6 day(s)];;;(1944-03-03 - 1957-03-08);4754 days [13 year(s), 6 day(s)];;
Lgen the Hon. Roméo A. Dallaire, O.C., M.S.C., C.M.M., C.D. (Retired), G.O.Q., Senator;1946-06-25;Denekamp, Netherlands;;military;3373 days [9 year(s), 2 month(s), 25 day(s)];;;(2005-03-24 - 2014-06-17);3373 days [9 year(s), 2 month(s), 25 day(s)];;
The Hon. Pierre J. Dalphond, Senator;;Joliette, Quebec, Canada;;legal counsel, mediator, judge;2883 days [7 year(s), 10 month(s), 22 day(s)];;;(2018-06-06 - );2883 days [7 year(s), 10 month(s), 22 day(s)];French, English;
Madeleine Dalphond-Guiral, M.P.;1938-06-06;Montreal, Quebec, Canada;;professor of nursing;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
Marc Dalton, M.P.;;Germany;;teacher;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;English, French;
The Hon. Sir Malachy Bowes Daly, P.C., K.C., K.C.M.G., M.P.;1836-02-06;Québec, Lower Canada;1920-04-26;lawyer;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;
The Hon. Thomas Mayne Daly, P.C., K.C., M.P.;1852-08-16;Stratford, Canada West;1911-06-24;lawyer;3393 days [9 year(s), 3 month(s), 15 day(s)];(1887-02-22 - 1892-10-16)|(1892-11-02 - 1896-06-22);3393 days [9 year(s), 3 month(s), 15 day(s)];;;;Grandson of John Cory Wilson Daly, first mayor of Stratford, Ontario.
Thomas Mayne Daly, M.P.;1827-02-17;Hamilton, Upper Canada;1885-03-04;contractor;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
Pam Damoff, M.P.;;;;city councillor, businesswoman, community activist;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
Arthur Byron Damude, M.P.;1889-10-15;Thorold Township, Ontario, Canada;1941-09-15 (Died in Office);insurance agent;2164 days [5 year(s), 11 month(s), 3 day(s)];(1935-10-14 - 1941-09-15);2164 days [5 year(s), 11 month(s), 3 day(s)];;;;
Raquel Dancho, M.P.;;;;policy analyst, political assistant;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;English, French;
The Right Hon. Raoul Dandurand, P.C., Senator;1861-11-04;Montreal, Canada East;1942-03-11 (Died in Office);author, lawyer, diplomat;16119 days [44 year(s), 1 month(s), 18 day(s)];;;(1898-01-22 - 1942-03-11);16119 days [44 year(s), 1 month(s), 18 day(s)];;Elected President of the League of Nations in 1925.
Harold Warren Danforth, M.P.;1916-04-08;Leamington, Ontario, Canada;1993-05-07;farmer;5649 days [15 year(s), 5 month(s), 18 day(s)];(1958-03-31 - 1962-06-17)|(1963-04-08 - 1968-06-24)|(1968-06-25 - 1974-07-07);5649 days [15 year(s), 5 month(s), 18 day(s)];;;;
Joe Daniel, M.P.;1954-12-05;Dar es Salaam, Tanzania;2025-01-28;engineer, businessman, teacher;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
The Hon. John Waterhouse Daniel, M.P., Senator;1845-01-27;St. Stephen, New Brunswick, Canada;1933-01-11 (Died in Office);physician;10406 days [28 year(s), 5 month(s), 27 day(s)];(1904-02-16 - 1911-09-20)|(1911-09-21 - 1911-10-17);2801 days [7 year(s), 8 month(s), 1 day(s)];(1912-03-18 - 1933-01-11);7605 days [20 year(s), 9 month(s), 26 day(s)];;
Kenneth Roy Daniel, M.P.;1892-08-31;Ingersoll, Ontario, Canada;1965-09-23;farmer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
The Hon. Marcel Danis, P.C.,;1943-10-22;Montreal, Quebec, Canada;;lawyer, professor of law;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. Barnett Jerome Danson, P.C., M.P.;1921-02-08;Toronto, Ontario, Canada;2011-10-17;diplomat, consultant, businessman, consul general;3983 days [10 year(s), 10 month(s), 27 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;;;
Vincent Martin Dantzer, Q.C., M.P.;1923-10-02;Rush Lake, Saskatchewan, Canada;2001-03-13;solicitor, lawyer-economist;3199 days [8 year(s), 9 month(s), 3 day(s)];(1980-02-18 - 1988-11-20);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
Jean-Baptiste Daoust, M.P.;1817-01-18;Saint-Eustache, Lower Canada;1891-12-28 (Died in Office);farmer;7620 days [20 year(s), 10 month(s), 11 day(s)];(1867-09-20 - 1872-10-11)|(1876-03-11 - 1891-12-28);7620 days [20 year(s), 10 month(s), 11 day(s)];;;;
