Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Charles Jérémie Coulombe, M.P.;1846-10-23;Saint-Cuthbert, Canada East;1938-12-01;physician;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
Sixte Coupal dit La Reine, M.P.;1825-05-01;Saint-Cyprien-de-Léry, Lower Canada;1891-06-22;farmer;4684 days [12 year(s), 9 month(s), 27 day(s)];(1867-09-20 - 1872-10-11)|(1874-08-04 - 1875-05-07)|(1875-06-19 - 1882-06-19);4684 days [12 year(s), 9 month(s), 27 day(s)];;;;
Gérard Cournoyer, M.P.;1912-04-18;Sorel, Quebec, Canada;1973-11-11;lawyer;2022 days [5 year(s), 6 month(s), 13 day(s)];(1946-12-23 - 1952-07-05);2022 days [5 year(s), 6 month(s), 13 day(s)];;;;
The Hon. Michel Charles Joseph Coursol, M.P.;1819-10-03;Amherstburg, Upper Canada;1888-08-04 (Died in Office);lawyer;3610 days [9 year(s), 10 month(s), 19 day(s)];(1878-09-17 - 1888-08-04);3610 days [9 year(s), 10 month(s), 19 day(s)];;;;
The Hon. Henri Courtemanche, P.C., M.P., Senator;1916-08-07;Mont-Laurier, Quebec, Canada;1986-03-19;lawyer;3162 days [8 year(s), 7 month(s), 27 day(s)];(1949-06-27 - 1953-08-09)|(1957-06-10 - 1960-01-19);2459 days [6 year(s), 8 month(s), 25 day(s)];(1960-01-20 - 1961-12-22);703 days [1 year(s), 11 month(s), 3 day(s)];;
René Cousineau, M.P.;1930-06-17;Gatineau, Quebec, Canada;2002-09-10;notary, professor of notary law, developer;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;
Clément Couture, M.P.;1939-08-02;Saint-Camille, Quebec, Canada;2021-07-08;industrial commissioner, administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Paul Couture, M.P.;1833-04-15;Saint-Charles, Lower Canada;1913-11-30;farmer;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
Donald James Cowan, M.P.;1883-01-03;Drumbo, Ontario, Canada;1964-01-18;Crown Attorney, barrister;3317 days [9 year(s), 30 day(s)];(1926-09-14 - 1935-10-13);3317 days [9 year(s), 30 day(s)];;;;
George Henry Cowan, M.P.;1858-06-17;Watford, Canada West;1935-09-20;solicitor, author, lawyer;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
The Hon. James S. Cowan, K.C., Senator;1942-01-22;Halifax, Nova Scotia, Canada;;lawyer;4322 days [11 year(s), 9 month(s), 30 day(s)];;;(2005-03-24 - 2017-01-21);4322 days [11 year(s), 9 month(s), 30 day(s)];;
Mahlon K. Cowan, M.P.;1863-05-10;Blytheswood, Canada West;1917-10-28;lawyer;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;
