Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Gerald Richard Cobbe, M.P.;1927-03-22;Kenton, Manitoba, Canada;2004-09-27;mechanical operator, mechanical contractor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
Dennis H. Cochrane, M.P.;1950-10-26;Moncton, New Brunswick, Canada;;school principal, teacher;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Edward Cochrane, M.P.;1834-01-01;Cramahe Township, Upper Canada;1907-03-08 (Died in Office);farmer;8685 days [23 year(s), 9 month(s), 10 day(s)];(1882-06-20 - 1887-02-21)|(1887-12-22 - 1888-10-12)|(1888-11-21 - 1907-03-08);8685 days [23 year(s), 9 month(s), 10 day(s)];;;;
The Hon. Ethel M. Cochrane, Senator;1937-09-23;Lourdes, Newfoundland;;professor - community college, reading specialist, school principal, teacher;9443 days [25 year(s), 10 month(s), 8 day(s)];;;(1986-11-17 - 2012-09-23);9443 days [25 year(s), 10 month(s), 8 day(s)];;
The Hon. Francis Cochrane, P.C., M.P.;1852-11-18;Clarenceville, Canada East;1919-09-22 (Died in Office);merchant;2876 days [7 year(s), 10 month(s), 15 day(s)];(1911-11-08 - 1917-12-16)|(1917-12-17 - 1919-09-22);2876 days [7 year(s), 10 month(s), 15 day(s)];;;;
Kenneth Judson Cochrane, M.P.;1896-08-04;Fox River, Nova Scotia, Canada;1982-01-25;lumberman, shipbuilder, contractor;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
The Hon. Matthew Henry Cochrane, Senator;1823-11-11;Compton, Lower Canada;1903-08-12 (Died in Office);manufacturer, rancher;11256 days [30 year(s), 9 month(s), 25 day(s)];;;(1872-10-17 - 1903-08-12);11256 days [30 year(s), 9 month(s), 25 day(s)];;
Alexander Peter Cockburn, M.P.;1837-04-07;Finch, Upper Canada;1905-06-02;lumberman, merchant, author;5246 days [14 year(s), 4 month(s), 11 day(s)];(1872-10-12 - 1882-06-19)|(1882-06-20 - 1887-02-21);5246 days [14 year(s), 4 month(s), 11 day(s)];;;;
George Ralph Richardson Cockburn, M.P.;1834-02-14;Edinburgh, Scotland;1912-01-18;school principal;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;
James Cockburn, Q.C., M.P.;1819-02-13;Berwick-on-Tweed, England;1883-08-14;lawyer;3471 days [9 year(s), 6 month(s), 1 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1881-11-14);3471 days [9 year(s), 6 month(s), 1 day(s)];;;Father of Confederation, attended the Quebec (Oct. 1864) conference.;
Alan Cockeram, D.S.O., E.D., M.P.;1894-12-06;Topsham, Devonshire, England;1957-09-11;mining entrepreneur, secretary;2088 days [5 year(s), 8 month(s), 19 day(s)];(1940-03-26 - 1941-11-26)|(1945-06-11 - 1949-06-26);2088 days [5 year(s), 8 month(s), 19 day(s)];;;;
William Foster Cockshutt, M.P.;1855-10-17;Brantford, Canada West;1939-11-22;manufacturer, businessman;5182 days [14 year(s), 2 month(s), 8 day(s)];(1904-11-03 - 1908-10-25)|(1911-09-21 - 1921-12-05);5182 days [14 year(s), 2 month(s), 8 day(s)];;;;
Desmond Morton Code, M.P.;1912-11-16;Smiths Falls, Ontario, Canada;1980-01-19;contractor, construction superintendent;2548 days [6 year(s), 11 month(s), 22 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1972-10-29);2548 days [6 year(s), 11 month(s), 22 day(s)];;;;
The Hon. Denis Coderre, P.C., M.P.;1963-07-25;Joliette, Quebec, Canada;;radio announcer, public relations officer, life insurance broker;5845 days [16 year(s), 1 day(s)];(1997-06-02 - 2013-06-02);5845 days [16 year(s), 1 day(s)];;;Awarded the title of Commander of the Ordre de la Pléiade in 2005.;
The Hon. Louis Coderre, P.C., K.C., M.P.;1865-11-01;Saint-Ours, Canada East;1935-03-29;lawyer;1465 days [4 year(s), 4 day(s)];(1911-09-21 - 1912-10-28)|(1912-11-19 - 1915-10-15);1465 days [4 year(s), 4 day(s)];;;;
The Hon. Thomas Coffey, Senator;1843-08-12;Castleconnell, County Limerick, Ireland;1914-06-08 (Died in Office);printer, publisher;4107 days [11 year(s), 2 month(s), 28 day(s)];;;(1903-03-12 - 1914-06-08);4107 days [11 year(s), 2 month(s), 28 day(s)];;
The Hon. Thomas Coffin, P.C., M.P.;1817;Barrington, Nova Scotia, Canada;1890-07-13;shipbuilder, merchant, shipowner;4015 days [10 year(s), 11 month(s), 28 day(s)];(1867-09-20 - 1878-09-16);4015 days [10 year(s), 11 month(s), 28 day(s)];;;;
The Hon. Michel Benoit Cogger, K.C., Senator;1939-03-21;Québec, Quebec, Canada;2025-01-27;lawyer;5237 days [14 year(s), 4 month(s), 2 day(s)];;;(1986-05-02 - 2000-09-01);5237 days [14 year(s), 4 month(s), 2 day(s)];;
Elizabeth Shaughnessy Cohen, M.P.;1948-02-11;London, Ontario, Canada;1998-12-09 (Died in Office);barrister and solicitor, lawyer;1872 days [5 year(s), 1 month(s), 16 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 1998-12-09);1872 days [5 year(s), 1 month(s), 16 day(s)];;;;
The Hon. Erminie Joy Cohen, Senator;1926-07-23;Saint John, New Brunswick, Canada;2019-02-15;businesswoman;2972 days [8 year(s), 1 month(s), 20 day(s)];;;(1993-06-04 - 2001-07-23);2972 days [8 year(s), 1 month(s), 20 day(s)];;
The Hon. Charles Carroll Colby, P.C., M.P.;1827-12-10;Derby, Vermont, United States;1907-01-10;author, lawyer;8547 days [23 year(s), 4 month(s), 24 day(s)];(1867-09-20 - 1889-11-27)|(1889-12-18 - 1891-03-04);8547 days [23 year(s), 4 month(s), 24 day(s)];;;;
The Hon. Major James William Coldwell, P.C., M.P.;1888-12-02;Seaton, Devon, England;1974-08-25;gentleman, author, principal, teacher;8204 days [22 year(s), 5 month(s), 17 day(s)];(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;;
John Cole, M.P.;1942-08-04;Toronto, Ontario, Canada;;optometrist;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. David Michael Collenette, P.C., M.P.;1946-06-24;London, England;;management consultant, administrator, businessman;7338 days [20 year(s), 1 month(s), 3 day(s)];(1974-07-08 - 1979-05-21)|(1980-02-18 - 1984-09-03)|(1993-10-25 - 2004-06-27);7338 days [20 year(s), 1 month(s), 3 day(s)];;;;
A.B. (Bernie) Collins, M.P.;1935-06-18;Regina, Saskatchewan, Canada;2018-03-26;educator, administrator;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Laurel Collins, M.P.;;Kispiox, British Columbia, Canada;;teacher, city councillor, executive director;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;
The Hon. Mary Collins, P.C.,;1940-09-26;Vancouver, British Columbia, Canada;;businesswoman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Charles Wesley Colter, M.P.;1846-02-26;York County, New Brunswick, Canada;1929-07-25;lawyer, publisher, teacher;525 days [1 year(s), 5 month(s), 8 day(s)];(1886-09-08 - 1887-02-21)|(1889-01-30 - 1890-01-22);525 days [1 year(s), 5 month(s), 8 day(s)];;;;
Newton Ramsay Colter, M.P.;1844-07-30;Sheffield, New Brunswick, Canada;1917-04-06;physician;1892 days [5 year(s), 2 month(s), 5 day(s)];(1891-03-05 - 1892-02-20)|(1892-04-06 - 1896-06-22);1892 days [5 year(s), 2 month(s), 5 day(s)];;;;
Joseph (Joe) John Comartin, M.P.;1947-12-26;Stoney Point, Ontario, Canada;;lawyer, managing director, diplomat;5439 days [14 year(s), 10 month(s), 22 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2015-10-18);5439 days [14 year(s), 10 month(s), 22 day(s)];;;;
The Hon. Ambroise-Hilaire Comeau, Senator;1860-09-27;Meteghan River, Nova Scotia, Canada;1911-08-25 (Died in Office);merchant;1684 days [4 year(s), 7 month(s), 10 day(s)];;;(1907-01-15 - 1911-08-25);1684 days [4 year(s), 7 month(s), 10 day(s)];;
The Hon. Gerald J. Comeau, P.C., M.P., Senator;1946-02-01;Meteghan Station, Nova Scotia, Canada;2023-12-04;educator, accountant;10033 days [27 year(s), 5 month(s), 19 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];(1990-08-30 - 2013-11-30);8494 days [23 year(s), 3 month(s), 2 day(s)];Awarded the title of Knight of the Ordre de la Pléiade in 2002.;
