Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Notes;Senator;Service in Senate
Joseph Featherston, M.P.;1843-07-22;Trafalgar, Canada West;1913-07-17;farmer, breeder;3534 days [9 year(s), 8 month(s), 4 day(s)];(1891-03-05 - 1900-11-06);3534 days [9 year(s), 8 month(s), 4 day(s)];;;;
Douglas Fee, M.P.;1944-07-21;Kingston, Ontario, Canada;;vice-principal, personnel manager, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Louise Feltham, M.P.;1935-03-22;Gull Island, Newfoundland;;businesswoman, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Thomas Scott Fennell, M.P.;1928-01-09;Toronto, Ontario, Canada;2012-01-27;insurance executive, businessman;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;
The Hon. Greg Fergus, P.C., M.P.;;;;public affairs executive;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];French, English;First Black parliamentarian to be elected Speaker of the House of Commons.;;
Charles Frederick Ferguson, M.P.;1834-07-20;Kitley Township, Ontario, Canada;1909-09-29;physician;8153 days [22 year(s), 3 month(s), 27 day(s)];(1874-01-22 - 1874-11-10)|(1874-12-16 - 1896-06-22);8153 days [22 year(s), 3 month(s), 27 day(s)];;;;
The Hon. Donald Ferguson, P.C., Senator;1839-03-07;East River, Prince Edward Island, Canada;1909-09-04 (Died in Office);farmer;5844 days [16 year(s)];;;;;(1893-09-04 - 1909-09-04);5844 days [16 year(s)]
Eric W. Ferguson, M.P.;1930-12-31;Tangier, Halifax County, Nova Scotia, Canada;2006-09-23;police officer, police chief, businessman;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
The Hon. John Ferguson, M.P., Senator;1839-04-27;Middlesex County, Upper Canada;1896-09-22 (Died in Office);farmer, contractor, physician;4633 days [12 year(s), 8 month(s), 7 day(s)];(1882-06-20 - 1891-03-04);3180 days [8 year(s), 8 month(s), 15 day(s)];;;(1892-10-01 - 1896-09-22);1453 days [3 year(s), 11 month(s), 22 day(s)]
John Ferguson, M.P.;1840-04-17;Granait, Argyleshire, Scotland;1908-07-07;lumberman, farmer;4845 days [13 year(s), 3 month(s), 6 day(s)];(1887-08-02 - 1900-11-06);4845 days [13 year(s), 3 month(s), 6 day(s)];;;;
Julian Harcourt Ferguson, M.P.;1894-06-02;Barrie, Ontario, Canada;1965-05-06;manufacturer, gentleman, insurance broker, insurance agent;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;
The Hon. Lieut. Col. John Ferguson, Senator;1813-11-20;Ayrshire, Scotland;1888-08-21 (Died in Office);merchant;7609 days [20 year(s), 9 month(s), 30 day(s)];;;;;(1867-10-23 - 1888-08-21);7609 days [20 year(s), 9 month(s), 30 day(s)]
The Hon. Ralph Ferguson, P.C., M.P.;1929-09-13;Mosa Township, Ontario, Canada;2020-08-30;farmer;3459 days [9 year(s), 5 month(s), 20 day(s)];(1980-02-18 - 1984-09-03)|(1988-11-21 - 1993-10-24);3459 days [9 year(s), 5 month(s), 20 day(s)];;;;
