Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Notes;Senator;Service in Senate
Rork Scott Ferguson, M.P.;1884-02-10;Peterborough County, Ontario, Canada;1955-03-04;farmer;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
Thomas Roberts Ferguson, M.P.;1818-12;Drumcor, County Cavan, Ireland;1879-09-15;merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
The Hon. Muriel McQueen Fergusson, P.C., Q.C., Senator;1899-05-26;Shediac, New Brunswick, Canada;1997-04-11;lawyer;8040 days [22 year(s), 5 day(s)];;;;Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1986.;(1953-05-19 - 1975-05-23);8040 days [22 year(s), 5 day(s)]
The Hon. Charles-Édouard Ferland, M.P., Senator;1892-03-02;Sainte-Elisabeth, Quebec, Canada;1974-01-08;lawyer;8158 days [22 year(s), 4 month(s), 1 day(s)];(1928-12-17 - 1935-10-13)|(1935-10-14 - 1945-04-17);5966 days [16 year(s), 4 month(s)];;;(1945-04-18 - 1951-04-18);2192 days [6 year(s), 1 day(s)]
Marc Ferland, M.P.;1942-04-15;Québec, Quebec, Canada;;project coordinator, industrial designer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. Marisa Ferretti Barth, O.Q., Senator;1931-04-28;Ascoli Piceno, Italy;2021-03-28;social worker;3141 days [8 year(s), 7 month(s), 6 day(s)];;;;;(1997-09-22 - 2006-04-28);3141 days [8 year(s), 7 month(s), 6 day(s)]
Gladstone Mansfield Ferrie, M.P.;1891-11-21;Denver, Colorado, United States;1955-07-04;farmer, livestock dealer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
The Hon. James Ferrier, Senator;1800-10-22;Scotland;1888-05-30 (Died in Office);merchant;7526 days [20 year(s), 7 month(s), 8 day(s)];;;;;(1867-10-23 - 1888-05-30);7526 days [20 year(s), 7 month(s), 8 day(s)]
John Ferris, M.P.;1811-01-09;Cambridge, New Brunswick, Canada;1884-11-03;lumber merchant;4015 days [10 year(s), 11 month(s), 28 day(s)];(1867-09-20 - 1878-09-16);4015 days [10 year(s), 11 month(s), 28 day(s)];;;;
J. Émile Ferron, M.P.;1896-09-25;Saint-Léon, Quebec, Canada;1970-03-02;lawyer;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;
Ronald (Ron) William Fewchuk, M.P.;1941-10-28;Selkirk, Manitoba, Canada;2017-09-13;businessman;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
The Right Hon. William Stevens Fielding, P.C., M.P.;1848-11-24;Halifax, Nova Scotia, Canada;1929-06-23;editor, correspondent, journalist;8354 days [22 year(s), 10 month(s), 15 day(s)];(1896-08-05 - 1906-10-08)|(1906-10-31 - 1911-09-20)|(1917-12-17 - 1921-12-28)|(1922-01-19 - 1925-10-28);8354 days [22 year(s), 10 month(s), 15 day(s)];;Member of the United Kingdom Privy Council in 1923.;;
Gilbert Fillion, M.P.;1940-07-27;Sainte-Anne-de-Chicoutimi, Quebec, Canada;2007-05-27;professor;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Andy Fillmore, M.P.;1966-04-25;Bloomington, Indiana, United States;;urban planner, politician, mayor;3240 days [8 year(s), 10 month(s), 14 day(s)];(2015-10-19 - 2024-08-31);3240 days [8 year(s), 10 month(s), 14 day(s)];;;;
James Findlay, M.P.;1833-05-16;Châteauguay, Lower Canada;1923-07-23;newspaper owner, newspaper editor;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
John Walter Findlay, M.P.;1866-02-12;Portage-du-Fort, Quebec, Canada;1943-08-01;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
The Hon. Kerry-Lynne D. Findlay, P.C., K.C., M.P.;1955-01-12;British Columbia, Canada;;lawyer;3647 days [9 year(s), 11 month(s), 25 day(s)];(2011-05-02 - 2015-10-18)|(2019-10-21 - 2025-04-27);3647 days [9 year(s), 11 month(s), 25 day(s)];;;;
The Hon. Sheila Finestone, P.C., M.P., Senator;1927-01-28;Montreal, Quebec, Canada;2009-06-08;political analyst, administrator;6356 days [17 year(s), 4 month(s), 25 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1999-08-10);5454 days [14 year(s), 11 month(s), 6 day(s)];;;(1999-08-11 - 2002-01-28);902 days [2 year(s), 5 month(s), 20 day(s)]
John Finlay, M.P.;1837-04-22;Dummer Township, Upper Canada;1910-11-13;manufacturer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
John Baird Finlay, M.P.;1929-01-29;Santo Domingo, Dominican Republic;2010-10-17;school superintendent, teacher;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
Duncan Finlayson, M.P.;1867-09-12;Grand River, Nova Scotia, Canada;1925-09-25;solicitor, lawyer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
Albert Ernest Finley, M.P.;1870-08-24;Amherst Island, Ontario, Canada;1923-10-04;physician;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
The Hon. Diane Finley, P.C., M.P.;1957-10-03;Hamilton, Ontario, Canada;;executive;6162 days [16 year(s), 10 month(s), 14 day(s)];(2004-06-28 - 2021-05-11);6162 days [16 year(s), 10 month(s), 14 day(s)];;;;
The Hon. Doug Finley, Senator;1946-07-25;Exeter, England;2013-05-11 (Died in Office);business manager, director, administrator-manager;1354 days [3 year(s), 8 month(s), 15 day(s)];;;;;(2009-08-27 - 2013-05-11);1354 days [3 year(s), 8 month(s), 15 day(s)]
Robert Emmett Finn, K.C., M.P.;1877-06-10;Halifax, Nova Scotia, Canada;1951-02-23;barrister, lawyer;2685 days [7 year(s), 4 month(s), 6 day(s)];(1922-12-04 - 1925-10-28)|(1935-10-14 - 1940-03-25);2685 days [7 year(s), 4 month(s), 6 day(s)];;;;
The Hon. Isobel Finnerty, Senator;1930-07-15;Timmins, Ontario, Canada;2016-10-03;political activist, medical secretary;2144 days [5 year(s), 10 month(s), 14 day(s)];;;;;(1999-09-02 - 2005-07-15);2144 days [5 year(s), 10 month(s), 14 day(s)]
Pat Finnigan, M.P.;;Rogersville, New Brunswick, Canada;;farmer, business owner, businessman;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;
Walter (Wally) Firth, M.P.;1935-01-25;Fort McPherson, Northwest Territories, Canada;2024-03-02;flying instructor, broadcaster, airplane pilot, native rights worker, fur trader;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];;Of Métis origin.;;
The Hon. Sir Eugène Fiset, K.C.M.G., M.P.;1874-03-15;Rimouski, Quebec, Canada;1951-06-08;person of independent means, physician, surgeon;5581 days [15 year(s), 3 month(s), 11 day(s)];(1924-09-02 - 1939-12-13);5581 days [15 year(s), 3 month(s), 11 day(s)];;;;
The Hon. Jean-Baptiste Romuald Fiset, M.P., Senator;1843-02-07;Saint-Cuthbert, Canada East;1917-01-05 (Died in Office);physician;12511 days [34 year(s), 3 month(s), 2 day(s)];(1872-10-12 - 1882-06-19)|(1887-02-22 - 1891-03-04)|(1896-06-23 - 1897-10-19);5494 days [15 year(s), 15 day(s)];;;(1897-10-20 - 1917-01-05);7017 days [19 year(s), 2 month(s), 16 day(s)]
Albert Fish, M.P.;1922;Preston, England;2006-04-05;real estate appraiser;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
Charles Elijah Fish, M.P.;1854-01-05;Newcastle, New Brunswick, Canada;1933-07-03;lumber merchant, building contractor, businessman;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
The Hon. Charles Fisher, Q.C., M.P.;1808-08-15;Fredericton, New Brunswick, Canada;1880-12-08;lawyer;380 days [1 year(s), 15 day(s)];(1867-09-20 - 1868-10-03);380 days [1 year(s), 15 day(s)];;Father of Confederation, attended the Quebec (Oct. 1864) and London (Dec. 1866) conferences.;;
The Hon. Darren Fisher, P.C., M.P.;1965-09-10;Dartmouth, Nova Scotia, Canada;;fundraiser, entrepreneur, city councillor;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];English;;;
Douglas Glenn Fisher, M.P.;1942-11-28;Windsor, Ontario, Canada;;publisher, businessman;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;
Douglas Mason Fisher, M.P.;1919-09-19;Sioux Lookout, Ontario, Canada;2009-09-18;journalist, librarian, columnist, teacher;3073 days [8 year(s), 4 month(s), 29 day(s)];(1957-06-10 - 1965-11-07);3073 days [8 year(s), 4 month(s), 29 day(s)];;;;
The Hon. John Henry Fisher, M.P., Senator;1855-04-03;Paris, Canada West;1933-12-01 (Died in Office);merchant;8108 days [22 year(s), 2 month(s), 12 day(s)];(1911-09-21 - 1917-07-25);2135 days [5 year(s), 10 month(s), 5 day(s)];;;(1917-07-26 - 1933-12-01);5973 days [16 year(s), 4 month(s), 7 day(s)]
Ronald (Ron) Claude Fisher, M.P.;1934-07-22;Wadena, Saskatchewan, Canada;;hoistman, minister;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Sydney Arthur Fisher, P.C., M.P.;1850-06-12;Montreal, Quebec, Canada;1921-04-10;farmer;8747 days [23 year(s), 11 month(s), 11 day(s)];(1882-06-20 - 1891-03-04)|(1896-06-23 - 1911-09-20);8747 days [23 year(s), 11 month(s), 11 day(s)];;;;
Brian Fitzpatrick, M.P.;1945-11-18;Assiniboia, Saskatchewan, Canada;;lawyer;2878 days [7 year(s), 10 month(s), 17 day(s)];(2000-11-27 - 2008-10-13);2878 days [7 year(s), 10 month(s), 17 day(s)];;;;
The Right Hon. Sir Charles Fitzpatrick, P.C., K.C., M.P.;1851-12-19;Québec, Canada East;1942-06-17;professor of criminal law, crown prosecutor, lawyer, judge;3632 days [9 year(s), 11 month(s), 10 day(s)];(1896-06-23 - 1906-06-03);3632 days [9 year(s), 11 month(s), 10 day(s)];;;;
The Hon. D. Ross Fitzpatrick, O.C., O.B.C., Senator;1933-02-04;Kelowna, British Columbia, Canada;;businessman;3623 days [9 year(s), 11 month(s), 1 day(s)];;;;;(1998-03-06 - 2008-02-04);3623 days [9 year(s), 11 month(s), 1 day(s)]
William Fitzsimmons, M.P.;1819-03-04;County Donegal, Ireland;1894-07-13;building contractor;1373 days [3 year(s), 9 month(s), 3 day(s)];(1878-09-17 - 1882-06-20);1373 days [3 year(s), 9 month(s), 3 day(s)];;;;
The Hon. James (Jim) Michael Flaherty, P.C., M.P.;1949-12-30;Lachine, Quebec, Canada;2014-04-10 (Died in Office);lawyer;3000 days [8 year(s), 2 month(s), 17 day(s)];(2006-01-23 - 2014-04-10);3000 days [8 year(s), 2 month(s), 17 day(s)];;Spouse of Christine Elliott, member of the Ontario Legislative Assembly (2006-2015).;;
The Hon. Donald Methuen Fleming, P.C., Q.C., M.P.;1905-05-23;Exeter, Ontario, Canada;1986-12-31;barrister;6510 days [17 year(s), 9 month(s), 27 day(s)];(1945-06-11 - 1963-04-07);6510 days [17 year(s), 9 month(s), 27 day(s)];;;;
Gavin Fleming, M.P.;1826-06-05;Falkirk, Stirlingshire, Scotland;1890-05-17;merchant;3538 days [9 year(s), 8 month(s), 8 day(s)];(1872-10-12 - 1882-06-19);3538 days [9 year(s), 8 month(s), 8 day(s)];;;;
Harry Raymond Fleming, C.M., M.P.;1894-10-24;Amherst Island, Ontario, Canada;1942-11-05 (Died in Office);physician, surgeon;2580 days [7 year(s), 23 day(s)];(1935-10-14 - 1942-11-05);2580 days [7 year(s), 23 day(s)];;;;
James Fleming, M.P.;1839-06-20;Vaughan Township, Upper Canada;1902-10-05;Crown Attorney, lawyer, teacher;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
The Hon. James Sydney Clark Fleming, P.C., M.P.;1939-10-30;Kitchener, Ontario, Canada;2023-02-15;commentator, executive assistant, journalist;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
Stuart A. Fleming, M.P.;1920-06-09;Vernon, British Columbia, Canada;1993-02-24;wholesaler;2779 days [7 year(s), 7 month(s), 9 day(s)];(1958-03-31 - 1965-11-07);2779 days [7 year(s), 7 month(s), 9 day(s)];;;;
The Hon. Hugh John Flemming, P.C., M.P.;1899-01-05;Peel, New Brunswick, Canada;1982-10-16;lumberman, merchant;4382 days [11 year(s), 11 month(s), 29 day(s)];(1960-10-31 - 1962-06-17)|(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;
James Kidd Flemming, M.P.;1868-04-27;Woodstock, New Brunswick, Canada;1927-02-10 (Died in Office);lumberman, businessman, teacher;470 days [1 year(s), 3 month(s), 14 day(s)];(1925-10-29 - 1927-02-10);470 days [1 year(s), 3 month(s), 14 day(s)];;;;
William Kingston Flesher, M.P.;1825-06-10;Kingston-upon-Hull, England;1907-07-22;miller;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;
The Hon. Steven John Fletcher, P.C., M.P.;1972-06-17;Rio de Janeiro, Brazil;;engineer, manager;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;First quadriplegic elected to the House of Commons.;;
The Hon. Billa Flint, Senator;1805-02-09;Elizabethtown, Upper Canada;1894-06-15 (Died in Office);lumberman, merchant, miller;9733 days [26 year(s), 7 month(s), 24 day(s)];;;;;(1867-10-23 - 1894-06-15);9733 days [26 year(s), 7 month(s), 24 day(s)]
Thomas Barnard Flint, M.P.;1847-04-28;Yarmouth, Nova Scotia, Canada;1919-04-08;lawyer;4268 days [11 year(s), 8 month(s), 7 day(s)];(1891-03-05 - 1902-11-10);4268 days [11 year(s), 8 month(s), 7 day(s)];;;;
Jesse Philip Flis, M.P.;1933-11-15;Fosston, Saskatchewan, Canada;2026-01-12;educator, school principal;5047 days [13 year(s), 9 month(s), 25 day(s)];(1979-05-22 - 1984-09-03)|(1988-11-21 - 1997-06-01);5047 days [13 year(s), 9 month(s), 25 day(s)];;;;
Edmund Power Flynn, M.P.;1828-08-19;Cape Breton, Nova Scotia, Canada;1900-01-26;merchant, coroner;4543 days [12 year(s), 5 month(s), 8 day(s)];(1874-01-22 - 1882-06-19)|(1887-02-22 - 1891-03-04);4543 days [12 year(s), 5 month(s), 8 day(s)];;;;
The Hon. Jacques Flynn, P.C., Q.C., O.C., M.P., Senator;1915-08-22;Saint-Hyacinthe, Quebec, Canada;2000-09-21;lawyer;11689 days [32 year(s), 1 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;(1962-11-09 - 1990-08-22);10149 days [27 year(s), 9 month(s), 13 day(s)]
Patrick Joseph Flynn, M.P.;1921-09-08;Rathcormac, County Cork, Ireland;1996-06-09;radiographer, public relations officer, management consultant;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;
The Hon. James Gordon Fogo, Q.C., Senator;1896-07-09;Halifax, Nova Scotia, Canada;1952-07-06 (Died in Office);lawyer;1259 days [3 year(s), 5 month(s), 11 day(s)];;;;;(1949-01-25 - 1952-07-06);1259 days [3 year(s), 5 month(s), 11 day(s)]
Raymonde Folco, M.P.;1940-03-16;Paris, France;;manager, senior public servant, educational development advisor, administrator, businesswoman, teacher;5082 days [13 year(s), 10 month(s), 30 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2011-05-01);5082 days [13 year(s), 10 month(s), 30 day(s)];;;;
Frank Sidney Follwell, M.P.;1906-05-06;London, England;1992-12-03;merchant, realtor;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Peter Fonseca, M.P.;1966-10-05;Lisbon, Portugal;;athlete, management consultant, businessman;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];English;;;
Gabriel Fontaine, M.P.;1940-09-17;Saint-Lambert, Quebec, Canada;;consultant, chartered administrator;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Joseph Louis Rosario Fontaine, M.P.;1900-08-26;Saint-Damase, Quebec, Canada;1986-10-16;farmer, merchant, butcher and meat cutter;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;
Joseph-Éloi Fontaine, M.P.;1865-09-14;Beloeil, Canada East;1930-06-11 (Died in Office);physician;4560 days [12 year(s), 5 month(s), 25 day(s)];(1917-12-17 - 1930-06-11);4560 days [12 year(s), 5 month(s), 25 day(s)];;;;
Joseph-Théophile-Adélard Fontaine, Q.C., M.P.;1892-11-30;Saint-Thomas d'Aquin, Quebec, Canada;1967-11-21;lawyer;5114 days [14 year(s), 1 day(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1944-07-27);5114 days [14 year(s), 1 day(s)];;;;
The Hon. Joseph Frank (Joe) Fontana, P.C., M.P.;1950-01-13;Celare, Cosenza, Italy;;insurance executive, businessman;6513 days [17 year(s), 9 month(s), 30 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2006-09-20);6513 days [17 year(s), 9 month(s), 30 day(s)];;;;
The Hon. Judy Foote, P.C., M.P.;1952-06-23;Grand Bank, Newfoundland and Labrador, Canada;;broadcast journalist, director of public relations;3274 days [8 year(s), 11 month(s), 17 day(s)];(2008-10-14 - 2015-10-18)|(2015-10-19 - 2017-09-30);3274 days [8 year(s), 11 month(s), 17 day(s)];;;;
Francis Gordon Forbes, M.P.;1857-12-27;Liverpool, Nova Scotia, Canada;1941-09-04;lawyer;1887 days [5 year(s), 1 month(s)];(1891-03-05 - 1891-11-26)|(1892-02-09 - 1896-06-22)|(1896-06-23 - 1896-07-17);1887 days [5 year(s), 1 month(s)];;;;
James Fraser Forbes, M.P.;1820;Gibraltar;1887-05-18;physician, surgeon;5723 days [15 year(s), 8 month(s), 1 day(s)];(1867-09-20 - 1878-09-16)|(1882-06-20 - 1887-02-21);5723 days [15 year(s), 8 month(s), 1 day(s)];;;;
Richard Elmer Forbes, M.P.;1894-12-05;Bruce County, Ontario, Canada;1978-12-09;farmer, registered seed grower;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;
The Hon. Éric Forest, Senator;;Maria, Quebec, Canada;;mayor, city councillor, executive;3445 days [9 year(s), 5 month(s), 6 day(s)];;;French, English;;(2016-11-21 - );3445 days [9 year(s), 5 month(s), 6 day(s)]
The Hon. Jean Beatrice Forest, Senator;1926-07-24;Minitonas, Manitoba, Canada;2024-01-10;businesswoman, teacher;835 days [2 year(s), 3 month(s), 14 day(s)];;;;;(1996-05-16 - 1998-08-28);835 days [2 year(s), 3 month(s), 14 day(s)]
Yves Forest, Q.C., M.P.;1921-06-25;Sherbrooke, Quebec, Canada;2019-07-18;lawyer;3493 days [9 year(s), 6 month(s), 23 day(s)];(1963-04-08 - 1968-06-24)|(1968-06-25 - 1970-06-25)|(1970-06-26 - 1972-10-29);3493 days [9 year(s), 6 month(s), 23 day(s)];;;;
The Hon. Josée Forest-Niesing, Senator;;;2021-11-20 (Died in Office);lawyer;1137 days [3 year(s), 1 month(s), 11 day(s)];;;;;(2018-10-11 - 2021-11-20);1137 days [3 year(s), 1 month(s), 11 day(s)]
The Hon. Amédée-Emmanuel Forget, Senator;1847-11-12;Marieville, Lower Canada;1923-06-08 (Died in Office);lawyer;4421 days [12 year(s), 1 month(s), 8 day(s)];;;;;(1911-05-02 - 1923-06-08);4421 days [12 year(s), 1 month(s), 8 day(s)]
Sir Joseph David Rodolphe Forget;1861-12-10;Terrebonne, Canada East;1919-02-19;stockbroker, financier, businessman;4792 days [13 year(s), 1 month(s), 14 day(s)];(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;;;
The Hon. Louis Joseph Forget, Senator;1853-03-11;Terrebonne, Canada East;1911-04-07 (Died in Office);banker, stockbroker;5409 days [14 year(s), 9 month(s), 22 day(s)];;;;;(1896-06-15 - 1911-04-07);5409 days [14 year(s), 9 month(s), 22 day(s)]
Victor Forget, M.P.;1916-10-06;Unknown;1986-03-09;medical representative;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
James Moffat Forgie, M.P.;1889-10-31;Pembroke, Ontario, Canada;1969-05-03;barrister, lawyer;4473 days [12 year(s), 2 month(s), 29 day(s)];(1953-08-10 - 1965-11-07);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;
The Hon. Robert Forke, P.C., M.P., Senator;1860-06-02;Gordon, Berwickshire, Scotland;1934-02-02 (Died in Office);farmer;4404 days [12 year(s), 21 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1926-09-14)|(1926-09-14 - 1926-09-24)|(1926-11-02 - 1929-12-29);2908 days [7 year(s), 11 month(s), 16 day(s)];;;(1929-12-30 - 1934-02-02);1496 days [4 year(s), 1 month(s), 5 day(s)]
The Hon. J. Michael Forrestall, M.P., Senator;1932-09-23;Deep Brook, Nova Scotia, Canada;2006-06-08 (Died in Office);manager, journalist, businessman;14148 days [38 year(s), 8 month(s), 26 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1988-11-20);8414 days [23 year(s), 13 day(s)];;;(1990-09-27 - 2006-06-08);5734 days [15 year(s), 8 month(s), 12 day(s)]
William Forrester, M.P.;1855-03-16;St. Mary's, Canada West;1926-10-23;manufacturer, farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
Paul Eugene Forseth, M.P.;1946-12-14;North Vancouver, British Columbia, Canada;;consultant, court counsellor, probation officer;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;
