Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Bernard Rickart Hepburn;1876-05-27;Picton, Ontario, Canada;1939-02-23;businessman;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;
Mitchell Frederick Hepburn;1896-08-12;St. Thomas, Ontario, Canada;1953-01-04;farmer;2825 days [7 year(s), 8 month(s), 25 day(s)];(1926-09-14 - 1934-06-08);2825 days [7 year(s), 8 month(s), 25 day(s)];;;;
Harold Thomas Herbert;1922-06-17;London, England;2003-07-25;construction executive;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
Elwin Norris Hermanson, M.P.;1952-08-22;Swift Current, Saskatchewan, Canada;;farmer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Herbert Wilfred Herridge;1895-02-28;London, England;1973-10-19;forest farmer;8415 days [23 year(s), 14 day(s)];(1945-06-11 - 1968-06-24);8415 days [23 year(s), 14 day(s)];;;;
John Herron, M.P.;1964-10-21;Kentville, Nova Scotia, Canada;;manager, sales and distribution manager, businessman;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
John Herron;1853-11-15;Ashton, Canada West;1936-08-20;rancher;2513 days [6 year(s), 10 month(s), 18 day(s)];(1904-11-03 - 1908-10-25)|(1908-10-26 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;;
The Hon. Céline Hervieux-Payette, P.C., Senator;1941-04-22;L'Assomption, Quebec, Canada;;director of public relations, lawyer, administrator, businesswoman;9636 days [26 year(s), 4 month(s), 18 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];(1995-03-21 - 2016-04-22);7704 days [21 year(s), 1 month(s), 4 day(s)];;
Samuel Rollin Hesson, M.P.;1829-09-29;County Antrim, Ireland;1915-11-19;merchant;4552 days [12 year(s), 5 month(s), 17 day(s)];(1878-09-17 - 1891-03-04);4552 days [12 year(s), 5 month(s), 17 day(s)];;;;
Joseph Ingolph Hetland;1896-07-30;Chicago, Illinois, United States;1982-03-10;farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
Charles Bernhard Heyd, M.P.;1842-02-23;Rochester, New York, United States;1929-09-16;grocer;2828 days [7 year(s), 8 month(s), 28 day(s)];(1897-02-04 - 1904-11-02);2828 days [7 year(s), 8 month(s), 28 day(s)];;;;
Charles Erastus Hickey;1840-03-24;Williamsburg, Upper Canada;1908-09-19;physician;3180 days [8 year(s), 8 month(s), 15 day(s)];(1882-06-20 - 1891-03-04);3180 days [8 year(s), 8 month(s), 15 day(s)];;;;
Patricia (Bonnie) Hickey, M.P.;1955-03-05;St John's, Newfoundland and Labrador, Canada;;travel agent, homemaker, executive assistant;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
The Hon. Henry Davies Hicks, Q.C., Senator;1915-03-05;Bridgetown, Nova Scotia, Canada;1990-12-09;lawyer;6522 days [17 year(s), 10 month(s), 9 day(s)];;;(1972-04-27 - 1990-03-05);6522 days [17 year(s), 10 month(s), 9 day(s)];;
Robert Nelson David Hicks;1933-06-04;Toronto, Ontario, Canada;2014-11-25;educator, principal;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
William Harold Hicks, M.P.;1888-11-12;Lauder, Manitoba, Canada;1974-05-14;agrologist;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Russ Hiebert, M.P.;1969-02-08;Steinbach, Manitoba, Canada;;attorney, businessman;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;
Gordon Francis Higgins;1905-10-08;St. John's, Newfoundland;1957-10-13;barrister;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
The Hon. John Gilbert Higgins, Senator;1891-05-07;St. John's, Newfoundland;1963-07-01 (Died in Office);lawyer;1629 days [4 year(s), 5 month(s), 16 day(s)];;;(1959-01-15 - 1963-07-01);1629 days [4 year(s), 5 month(s), 16 day(s)];;
Nathaniel Higinbotham, M.P.;1830;County Cavan, Ireland;1911-01-09;pharmacist;2125 days [5 year(s), 9 month(s), 25 day(s)];(1872-10-12 - 1875-02-03)|(1875-03-18 - 1878-09-17);2125 days [5 year(s), 9 month(s), 25 day(s)];;;;
Kenneth James Higson;1934-03-14;London, England;1988-09-22;barrister and solicitor, lawyer;888 days [2 year(s), 5 month(s), 6 day(s)];(1972-10-30 - 1974-07-07)|(1979-05-22 - 1980-02-17);888 days [2 year(s), 5 month(s), 6 day(s)];;;;
Burton Maxwell Hill;1883-06-21;St. Stephen, New Brunswick, Canada;1963-01-07;civil engineer;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;
The Hon. Grant Hill, P.C., M.P.;1943-09-20;Montreal, Quebec, Canada;;physician, surgeon;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
The Hon. Jay D. Hill, P.C., M.P.;1952-12-27;Fort St. John, British Columbia, Canada;;farmer;6210 days [17 year(s), 1 day(s)];(1993-10-25 - 2010-10-25);6210 days [17 year(s), 1 day(s)];;;;
George Hilliard, M.P.;1827-05;Morrisburg, Upper Canada;1892-06-23;lumber merchant;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;
James (Jim) Nation Hillyer, M.P.;1974-07-08;Lethbridge, Alberta, Canada;2016-03-23 (Died in Office);advisor, business consultant, educator;1788 days [4 year(s), 10 month(s), 23 day(s)];(2011-05-02 - 2015-10-18)|(2015-10-19 - 2016-03-23);1788 days [4 year(s), 10 month(s), 23 day(s)];;;;
Howard E. Hilstrom, M.P.;1947-03-18;Estevan, Saskatchewan, Canada;;police officer, rancher;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
The Hon. Sir Francis Hincks, , P.C.;;;;;;;;;;;
The Hon. Sir William Hales Hingston, K.C.B., Senator;1829-06-29;Hinchinbrook, Lower Canada;1907-02-19 (Died in Office);physician, author, surgeon;4066 days [11 year(s), 1 month(s), 18 day(s)];;;(1896-01-02 - 1907-02-19);4066 days [11 year(s), 1 month(s), 18 day(s)];;
Betty Hinton, M.P.;1950-02-22;Trail, British Columbia, Canada;;businesswoman;2878 days [7 year(s), 10 month(s), 17 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2008-10-13);2878 days [7 year(s), 10 month(s), 17 day(s)];;;;
Anthony Hlynka;1907-05-28;Ukraine;1957-04-25;journalist, publisher;3380 days [9 year(s), 3 month(s), 2 day(s)];(1940-03-26 - 1949-06-26);3380 days [9 year(s), 3 month(s), 2 day(s)];;;;
The Hon. John Hnatyshyn, Q.C., Senator;1907-01-20;Ukraine;1967-05-02 (Died in Office);barrister;3030 days [8 year(s), 3 month(s), 17 day(s)];;;(1959-01-15 - 1967-05-02);3030 days [8 year(s), 3 month(s), 17 day(s)];;
The Right Hon. Ramon John Hnatyshyn, P.C., Q.C., M.P.;1934-03-16;Saskatoon, Saskatchewan, Canada;2002-12-18;reservist, lecturer, military, lawyer;5250 days [14 year(s), 4 month(s), 15 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1988-11-20);5250 days [14 year(s), 4 month(s), 15 day(s)];;;Second Canadian of Ukrainian origin appointed Governor General of Canada (1990-1995) (Source Programme parlementaire Canada-Ukraine Parliamentary Program Newsletter, Fall 2007);
Randy Hoback, M.P.;1967-12-19;Prince Albert, Saskatchewan, Canada;;farmer, businessman;6406 days [17 year(s), 6 month(s), 14 day(s)];(2008-10-14 - );6406 days [17 year(s), 6 month(s), 14 day(s)];;;;English
Frederick George Hoblitzell;1891-01-02;Rahway, New Jersey, United States;1964-09-06;president / manager, managing director;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
The Hon. Horatio Clarence Hocken, M.P., Senator;1857-10-12;Toronto, Canada West;1937-02-18 (Died in Office);journalist, publisher;5753 days [15 year(s), 9 month(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-07-27);4606 days [12 year(s), 7 month(s), 10 day(s)];(1933-12-30 - 1937-02-18);1147 days [3 year(s), 1 month(s), 21 day(s)];;
The Hon. Thomas Hockin, , P.C.;1938-03-05;London, Ontario, Canada;;professor, businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. Nancy Hodges, Senator;1888-10-28;London, England;1969-12-15;journalist;4238 days [11 year(s), 7 month(s), 7 day(s)];;;(1953-11-05 - 1965-06-12);4238 days [11 year(s), 7 month(s), 7 day(s)];;
Adam King Hodgins;1859-11-01;Lucan, Canada West;1932-05-15;farmer, automobile dealer;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;
Archie Latimer Hodgins;1876-06-19;Eltrick, Ontario, Canada;1966-07-04;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
George Frederick Hodgins;1865-12-17;Shawville, Canada East;1940-01-17;merchant;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
William Thomas Hodgins, M.P.;1857-02-27;Goulbourn Township, Canada West;1909-12-03;farmer;3534 days [9 year(s), 8 month(s), 4 day(s)];(1891-03-05 - 1900-11-06);3534 days [9 year(s), 8 month(s), 4 day(s)];;;;
Clayton Wesley Hodgson;1897-03-20;Burnt River, Ontario, Canada;1970-04-14;lumber merchant;6510 days [17 year(s), 9 month(s), 27 day(s)];(1945-06-11 - 1963-04-07);6510 days [17 year(s), 9 month(s), 27 day(s)];;;;
Jake E. Hoeppner, M.P.;1936-02-01;Morden, Manitoba, Canada;2015-10-22;farmer;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
Robert Alexander Hoey;1883-09-12;Enniskillen, County Fermanagh, Ireland;1965-11-15;organizer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
Andrew Hogan;1923-10-28;Glace Bay, Nova Scotia, Canada;2002-04-10;professor, economist, priest;2051 days [5 year(s), 7 month(s), 12 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1980-02-17);2051 days [5 year(s), 7 month(s), 12 day(s)];;;;
Douglas Aird Hogarth, Q.C., M.P.;1927-05-09;Saskatoon, Saskatchewan, Canada;1996-09-17;barrister and solicitor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
Gordie Hogg, M.P.;1946-08-24;;;probation officer, rehabilitation counsellor;678 days [1 year(s), 10 month(s), 9 day(s)];(2017-12-11 - 2019-10-20);678 days [1 year(s), 10 month(s), 9 day(s)];;;;
Jean-Pierre Hogue;1927-11-24;Montreal, Quebec, Canada;2012-06-17;professor, consultant psychologist, author;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Ed Holder, P.C., M.P.;1954-07-14;Toronto, Ontario, Canada;;insurance executive, insurance broker, insurance benefits consultant;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;
The Hon. Mark Holland, P.C., M.P.;1974-10-16;Pickering, Ontario, Canada;;political assistant, financial agent / adviser / consultant, director general;5978 days [16 year(s), 4 month(s), 12 day(s)];(2004-06-28 - 2011-05-01)|(2015-10-19 - 2025-04-27);5978 days [16 year(s), 4 month(s), 12 day(s)];;;;
Daniel Fulton Hollands;1927-01-20;Clover Bar, Alberta, Canada;2006-07-07;farmer;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
The Hon. Malcolm Mercer Hollett, Senator;1891-12-09;Great Burin, Newfoundland;1985-09-23;magistrate;3464 days [9 year(s), 5 month(s), 25 day(s)];;;(1961-10-06 - 1971-03-31);3464 days [9 year(s), 5 month(s), 25 day(s)];;
Allan Henry Hollingworth, , Q.C.;1918-08-28;Brockville, Ontario, Canada;2005-08-16;lawyer;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
The Hon. John Holmes, Senator;1789-03;Ross-shire, Scotland;1876-06-03 (Died in Office);;3147 days [8 year(s), 7 month(s), 12 day(s)];;;(1867-10-23 - 1876-06-03);3147 days [8 year(s), 7 month(s), 12 day(s)];;
John Holmes, M.P.;1828;Newtownforbes, Longford, Ireland;1879-09-24;land surveyor;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
John Robert Holmes, M.P.;1927-09-03;Tilbury, Ontario, Canada;2011-12-29;physician;2667 days [7 year(s), 3 month(s), 19 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1980-02-17);2667 days [7 year(s), 3 month(s), 19 day(s)];;;;
Robert Holmes;1852-09-14;St. Catharines, Canada West;1934-03-21;printer, publisher;2081 days [5 year(s), 8 month(s), 12 day(s)];(1899-02-21 - 1904-11-02);2081 days [5 year(s), 8 month(s), 12 day(s)];;;;
Ambrose A. Holowach;1914-07-22;Edmonton, Alberta, Canada;1993-02-27;business manager, choreographer, musician, businessman;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];;;;
Simma Holt, C.M.;1922-03-27;Vegreville, Alberta, Canada;2015-01-23;lecturer, editor, author, journalist, teacher;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;
Felix Holtmann, M.P.;1944-12-05;Rosser, Manitoba, Canada;;farmer, businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Edward Holton, M.P.;1844-09;Montreal, Canada East;1907-08-10;lawyer;3974 days [10 year(s), 10 month(s), 18 day(s)];(1880-04-17 - 1891-03-04);3974 days [10 year(s), 10 month(s), 18 day(s)];;;;
Luther Hamilton Holton, M.P.;1817-01-22;Sheffield's Corner, Upper Canada;1880-03-14 (Died in Office);merchant;4560 days [12 year(s), 5 month(s), 25 day(s)];(1867-09-20 - 1880-03-14);4560 days [12 year(s), 5 month(s), 25 day(s)];;;;
Joshua Attwood Reynolds Homer, M.P.;1827-08;Barrington, Nova Scotia, Canada;1886-09-20 (Died in Office);merchant;1657 days [4 year(s), 6 month(s), 13 day(s)];(1882-03-09 - 1886-09-20);1657 days [4 year(s), 6 month(s), 13 day(s)];;;;
Karl Kenneth Homuth;1893-12-12;Preston, Ontario, Canada;1951-03-19 (Died in Office);manufacturer;4509 days [12 year(s), 4 month(s), 4 day(s)];(1938-11-14 - 1951-03-19);4509 days [12 year(s), 4 month(s), 4 day(s)];;;;
Russell Clayton Honey, Q.C., M.P.;1921-08-28;Riverhurst, Saskatchewan, Canada;2007-01-07;barrister, lawyer;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;
Edmund John Glyn Hooper, M.P.;1818-07-07;Devonshire, England;1889-10-05;lumberman, merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;
The Hon. Adam Hope, Senator;1813-01-08;West Fenton, East Lothian, Scotland;1882-08-07 (Died in Office);businessman;2043 days [5 year(s), 7 month(s), 4 day(s)];;;(1877-01-03 - 1882-08-07);2043 days [5 year(s), 7 month(s), 4 day(s)];;
Edward Nicholas Hopkins;1854-10-03;Brownsville, Canada West;1935-07-14;manufacturer, farmer;933 days [2 year(s), 6 month(s), 20 day(s)];(1923-04-10 - 1925-10-28);933 days [2 year(s), 6 month(s), 20 day(s)];;;;
Leonard Donald Hopkins, M.P.;1930-06-12;Argyle, Ontario, Canada;2007-02-06;school principal, teacher;11529 days [31 year(s), 6 month(s), 23 day(s)];(1965-11-08 - 1972-10-29)|(1972-10-30 - 1979-05-21)|(1979-05-22 - 1988-11-20)|(1988-11-21 - 1989-12-28)|(1989-12-29 - 1997-06-01);11529 days [31 year(s), 6 month(s), 23 day(s)];;;;
Albert Ralph Horner, M.P.;1913-04-26;Shawville, Quebec, Canada;2009-01-02;farmer;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;
Hugh Macarthur Horner, M.P.;1925-02-01;Blaine Lake, Saskatchewan, Canada;1997-03-25;physician, surgeon;3326 days [9 year(s), 1 month(s), 9 day(s)];(1958-03-31 - 1967-05-08);3326 days [9 year(s), 1 month(s), 9 day(s)];;;;
The Hon. John (Jack) Henry Horner, P.C., M.P.;1927-07-20;Blaine Lake, Saskatchewan, Canada;2004-11-18;farmer, rancher;7722 days [21 year(s), 1 month(s), 22 day(s)];(1958-03-31 - 1968-06-24)|(1968-06-25 - 1979-05-21);7722 days [21 year(s), 1 month(s), 22 day(s)];;;;
Norval Alic Horner;1930-08-21;Blaine Lake, Saskatchewan, Canada;2014-04-03;farmer, school principal, businessman;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
The Hon. Ralph Byron Horner, Senator;1884-06-26;North Clarendon, Quebec, Canada;1964-12-14 (Died in Office);farmer;11308 days [30 year(s), 11 month(s), 16 day(s)];;;(1933-12-30 - 1964-12-14);11308 days [30 year(s), 11 month(s), 16 day(s)];;
Robert Nesbitt Horner, M.P.;1932-07-03;Shawville, Quebec, Canada;2008-06-27;veterinarian, RCMP officer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Edward Allan Horning, M.P.;1939-06-11;Regina, Saskatchewan, Canada;2023-03-20;shipper, realtor, orchardist, businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Edward Henry Horsey;1867-03-07;Ottawa, Ontario, Canada;1902-07-23 (Died in Office);physician;624 days [1 year(s), 8 month(s), 16 day(s)];(1900-11-07 - 1902-07-23);624 days [1 year(s), 8 month(s), 16 day(s)];;;;
The Hon. Henry Herbert Horsey, Senator;1871-05-31;Kingston, Ontario, Canada;1942-01-06 (Died in Office);businessman;4772 days [13 year(s), 24 day(s)];;;(1928-12-14 - 1942-01-06);4772 days [13 year(s), 24 day(s)];;
Horace Horton, M.P.;1823-10-09;Stallisfield, Kent, England;1902-02-18;insurance agent;2190 days [5 year(s), 11 month(s), 29 day(s)];(1872-10-12 - 1878-10-10);2190 days [5 year(s), 11 month(s), 29 day(s)];;;;
Henry Alfred Hosking;1908-08-06;Bellows Falls, Vermont, United States;1957-06-03 (Died in Office);mechanical engineer, garage owner / operator, merchant;2899 days [7 year(s), 11 month(s), 7 day(s)];(1949-06-27 - 1957-06-03);2899 days [7 year(s), 11 month(s), 7 day(s)];;;;
William Limburg Houck;1893-05-10;Buffalo, New York, United States;1960-05-05 (Died in Office);merchant, coal dealer, fuel dealer;2461 days [6 year(s), 8 month(s), 27 day(s)];(1953-08-10 - 1960-05-05);2461 days [6 year(s), 8 month(s), 27 day(s)];;;;
Camillien Houde;1889-08-13;Montreal, Quebec, Canada;1958-09-11;insurance agent;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
Frédéric Houde, M.P.;1847-09-23;Louiseville, Canada East;1884-11-15 (Died in Office);newspaper owner, newspaper editor, journalist;2252 days [6 year(s), 1 month(s)];(1878-09-17 - 1884-11-15);2252 days [6 year(s), 1 month(s)];;;;
Charles Frederick Houghton, M.P.;1839-04-26;County Kilkenny, Ireland;1898-08-13;farmer, rancher;298 days [, 9 month(s), 24 day(s)];(1871-12-19 - 1872-10-11);298 days [, 9 month(s), 24 day(s)];;;;
The Hon. Leo Housakos, Senator;;Montreal, Quebec, Canada;;business manager, director;6320 days [17 year(s), 3 month(s), 20 day(s)];;;(2009-01-08 - );6320 days [17 year(s), 3 month(s), 20 day(s)];;French, English
Anthony Housefather, M.P.;;Montreal, Quebec, Canada;;attorney, lawyer, mayor;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English, French
Stanley John Hovdebo, M.P.;1925-08-20;Domremy, Saskatchewan, Canada;2018-01-14;educator;5089 days [13 year(s), 11 month(s), 6 day(s)];(1979-11-19 - 1988-11-20)|(1988-11-21 - 1993-10-24);5089 days [13 year(s), 11 month(s), 6 day(s)];;;;
