Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
The Hon. Paul Theodore Hellyer, P.C., M.P.;1923-08-06;County Waterford, Ontario, Canada;2021-08-08;builder, engineer, merchant, author, businessman;8589 days [23 year(s), 6 month(s), 5 day(s)];(1949-06-27 - 1957-06-09)|(1958-12-15 - 1974-07-07);8589 days [23 year(s), 6 month(s), 5 day(s)];;;;
Francis Heselton Helme;1899-08-26;Liverpool, England;1984-05-11;agent, dealer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
Richard Coe Henders;1853-07-06;Yelverton, Canada West;1932-05-02;farmer, minister;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Charles Albert Henderson, M.P.;1883-01-14;Pana, Illinois, United States;1957-12-11;farmer;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
David Henderson, M.P.;1841-02-18;Nelson Township, Canada West;1922-12-07;banker, merchant;9873 days [27 year(s), 11 day(s)];(1888-02-07 - 1888-07-17)|(1891-03-05 - 1891-11-16)|(1892-01-28 - 1917-12-16);9873 days [27 year(s), 11 day(s)];;;;
George Roland Henderson, M.P.;1935-11-10;Freeland, Prince Edward Island, Canada;2020-05-05;farmer, shellfish technician, electrical engineer, businessman;3101 days [8 year(s), 5 month(s), 27 day(s)];(1980-02-18 - 1988-08-14);3101 days [8 year(s), 5 month(s), 27 day(s)];;;;
Robert James Henderson, M.P.;1877-08-15;Brooke Township, Ontario, Canada;1953-04-24;farmer, teacher, clerk;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
Walter Clarence Henderson, M.P.;1891-02-28;Carberry, Manitoba, Canada;1968-09-20;farmer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
William James Henderson, M.P.;1916-10-13;Empress, Alberta, Canada;2006-05-15;barrister, lawyer;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
Charles Henry;1911-07-05;Toronto, Ontario, Canada;1989-06-04;barrister, lawyer;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Robert Henry, M.P.;1845-11-30;Perthshire, Scotland;1918-01-30;grocer;176 days [, 5 month(s), 24 day(s)];(1896-06-23 - 1896-12-15);176 days [, 5 month(s), 24 day(s)];;;;
Georges-Henri Héon;1902-09-06;Saint-Wenceslas, Quebec, Canada;1965-01-08;Crown Attorney, lawyer;2234 days [6 year(s), 1 month(s), 13 day(s)];(1938-02-28 - 1940-03-25)|(1945-06-11 - 1949-06-26);2234 days [6 year(s), 1 month(s), 13 day(s)];;;;
