Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
Greg Kerr, M.P.;1947-10-08;Annapolis Royal, Nova Scotia, Canada;;farmer, teacher;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
The Hon. James Kirkpatrick Kerr, P.C., K.C., Senator;1841-08-01;Guelph, Canada West;1916-12-04 (Died in Office);lawyer;5017 days [13 year(s), 8 month(s), 26 day(s)];;;(1903-03-12 - 1916-12-04);5017 days [13 year(s), 8 month(s), 26 day(s)];;;
The Hon. William Kerr, K.C., M.P., Senator;1836-02-27;Ameliasburg, Upper Canada;1906-11-22 (Died in Office);lawyer;4457 days [12 year(s), 2 month(s), 13 day(s)];(1874-01-22 - 1874-09-26)|(1874-11-17 - 1878-09-16);1648 days [4 year(s), 6 month(s), 4 day(s)];(1899-03-15 - 1906-11-22);2809 days [7 year(s), 8 month(s), 9 day(s)];;;
The Hon. Stan Kazmierczak Keyes, P.C., M.P.;1953-05-17;Hamilton, Ontario, Canada;;broadcast journalist, diplomat;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;Of Polish origin.;;
Iqra Khalid, M.P.;1986;Rukanpur, Rahim Yar Khan, Pakistan;;lawyer, legal expert;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English, French;
Wajid Khan, M.P.;1946-04-24;Lahore, Pakistan;;businessman;1569 days [4 year(s), 3 month(s), 17 day(s)];(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;;;
The Hon. Kamal Khera, P.C., M.P.;1989-02-04;New Dehli, India;;political activist, registered nurse;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;
The Hon. Thomas Joseph Kickham, M.P., Senator;1901-03-11;Souris West, Prince Edward Island, Canada;1974-12-01 (Died in Office);farmer, trader;5974 days [16 year(s), 4 month(s), 8 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];(1966-07-08 - 1974-12-01);3069 days [8 year(s), 4 month(s), 25 day(s)];;;
Edward Kidd, M.P.;1849-09-09;Oxford Township, Canada West;1912-09-16 (Died in Office);farmer, cheese maker;2838 days [7 year(s), 9 month(s), 7 day(s)];(1900-11-07 - 1905-01-19)|(1909-02-22 - 1912-09-16);2838 days [7 year(s), 9 month(s), 7 day(s)];;;;;
Thomas Ashmore Kidd, V.D., M.P.;1889-05-01;Burritt's Rapids, Ontario, Canada;1973-12-19;manufacturer, representative;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
The Hon. Eric William Kierans, P.C., M.P.;1914-02-02;Montreal, Quebec, Canada;2004-05-10;professor, economist;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;
Alexandre Edouard Kierzkowski, M.P.;1816-11-21;Poland;1870-08-04 (Died in Office);civil engineer, author;1050 days [2 year(s), 10 month(s), 16 day(s)];(1867-09-20 - 1870-08-04);1050 days [2 year(s), 10 month(s), 16 day(s)];;;;;
Robert (Bob) Peter Paul  Kilger, M.P.;1944-06-29;Cornwall, Ontario, Canada;2021-11-29;linesman / referee, businessman;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 1999-03-10)|(1999-03-11 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;;
The Hon. David Kilgour, P.C., M.P.;1941-02-18;Winnipeg, Manitoba, Canada;2022-04-05;barrister and solicitor, author, lawyer;9743 days [26 year(s), 8 month(s), 4 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2006-01-22);9743 days [26 year(s), 8 month(s), 4 day(s)];;;;;
Frank Killam, M.P.;1843-09-03;Yarmouth, Nova Scotia, Canada;1911-04-23;merchant, shipowner;4809 days [13 year(s), 1 month(s)];(1869-04-20 - 1882-06-19);4809 days [13 year(s), 1 month(s)];;;;;
The Hon. Thomas Killam, M.P.;1802-02-08;Yarmouth, Nova Scotia, Canada;1868-12-15 (Died in Office);shipbuilder, shipowner;453 days [1 year(s), 2 month(s), 27 day(s)];(1867-09-20 - 1868-12-15);453 days [1 year(s), 2 month(s), 27 day(s)];;;;;
Marie Thérèse Rollande Killens, M.P.;1927-06-29;Trois-Rivières, Quebec, Canada;;administrator;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1984-09-03)|(1984-09-04 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;;
Francis Edwin Kilvert, M.P.;1838-12-17;Hamilton Township, Upper Canada;1910-08-21;lawyer;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;;
Lawrence Elliott Kindt, M.P.;1901-02-23;Kiona, Washington, United States;1973-04;economist, farmer;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;;
Alex Kindy, M.P.;1930-01-08;Warsaw, Poland;2011-05-06;physician;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
Frederick John King, M.P.;1923-06-11;Kaleden, British Columbia, Canada;2016-08-30;farmer, public servant, orchardist;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;;
The Hon. George Gerald King, M.P., Senator;1836-12-11;Springfield, New Brunswick, Canada;1928-04-28 (Died in Office);businessman;14901 days [40 year(s), 9 month(s), 17 day(s)];(1878-09-17 - 1887-02-21)|(1891-03-05 - 1892-02-25)|(1896-06-23 - 1896-07-01);3447 days [9 year(s), 5 month(s), 8 day(s)];(1896-12-18 - 1928-04-28);11454 days [31 year(s), 4 month(s), 9 day(s)];;;
The Hon. James Horace King, P.C., M.P., Senator;1873-01-18;Chipman, New Brunswick, Canada;1955-07-14 (Died in Office);physician;12147 days [33 year(s), 3 month(s), 3 day(s)];(1922-03-14 - 1926-10-10)|(1926-11-09 - 1930-06-06);2978 days [8 year(s), 1 month(s), 26 day(s)];(1930-06-07 - 1955-07-14);9169 days [25 year(s), 1 month(s), 8 day(s)];;;
John Warwick King, M.P.;1856-12-26;Smiths Falls, Canada West;1927-01-14 (Died in Office);farmer, teacher;1866 days [5 year(s), 1 month(s), 10 day(s)];(1921-12-06 - 1927-01-14);1866 days [5 year(s), 1 month(s), 10 day(s)];;;;;
The Right Hon. William Lyon Mackenzie King, P.C., O.M., C.M.G., M.P.;1874-12-17;Berlin (Kitchener), Ontario, Canada;1950-07-22;gentleman, labour expert, senior public servant, editor, author, journalist, lawyer;11695 days [32 year(s), 7 day(s)];(1908-10-26 - 1911-09-20)|(1919-10-20 - 1921-12-05)|(1921-12-06 - 1921-12-28)|(1922-01-19 - 1925-10-28)|(1926-02-15 - 1926-10-10)|(1926-11-02 - 1945-06-10)|(1945-08-06 - 1949-06-26);11695 days [32 year(s), 7 day(s)];;;Grandson of William Lyon Mackenzie, mayor of Toronto and member of the assembly of the Province of Canada.;;pneumonia
The Hon. John James Kinley, V.D., M.P., Senator;1881-10-15;Lunenburg, Nova Scotia, Canada;1971-08-23;pharmaceutical chemist, industrialist;13026 days [35 year(s), 7 month(s), 29 day(s)];(1935-10-14 - 1945-04-17);3474 days [9 year(s), 6 month(s), 4 day(s)];(1945-04-18 - 1971-06-12);9552 days [26 year(s), 1 month(s), 26 day(s)];;;
The Hon. Mary Elizabeth Kinnear, Senator;1898-04-03;Wainfleet Township, Ontario, Canada;1991-12-24;shipper, clerk;2190 days [5 year(s), 11 month(s), 29 day(s)];;;(1967-04-06 - 1973-04-03);2190 days [5 year(s), 11 month(s), 29 day(s)];;;
Joseph Robbins Kinney, M.P.;1839-04-15;Annapolis, Nova Scotia, Canada;1919-11-07;merchant, notary;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;
The Hon. Noël Augustus Kinsella, P.C., Senator;1939-11-28;Saint John, New Brunswick, Canada;2023-12-06;professor, public servant, administrator;8843 days [24 year(s), 2 month(s), 16 day(s)];;;(1990-09-12 - 2014-11-27);8843 days [24 year(s), 2 month(s), 16 day(s)];;;
The Hon. Michael J.L. Kirby, O.C., Senator;1941-08-05;Montreal, Quebec, Canada;;operations analyst, professor, lecturer, senior public servant;8328 days [22 year(s), 9 month(s), 19 day(s)];;;(1984-01-13 - 2006-10-31);8328 days [22 year(s), 9 month(s), 19 day(s)];;;
The Hon. John Nesbitt Kirchhoffer, Senator;1848-05-05;Ballyvourney, County Cork, Ireland;1914-12-22 (Died in Office);lawyer;8041 days [22 year(s), 6 day(s)];;;(1892-12-16 - 1914-12-22);8041 days [22 year(s), 6 day(s)];;;
James Ralph Kirk, M.P.;1895-11-14;Antigonish, Nova Scotia, Canada;1963-11-06;merchant;7756 days [21 year(s), 2 month(s), 25 day(s)];(1936-03-16 - 1957-06-09);7756 days [21 year(s), 2 month(s), 25 day(s)];;;;;
John Angus Kirk, M.P.;1837-03-01;Glenelg, Nova Scotia, Canada;1910-09-13;farmer;4879 days [13 year(s), 4 month(s), 9 day(s)];(1874-01-22 - 1878-09-16)|(1882-06-20 - 1891-03-04);4879 days [13 year(s), 4 month(s), 9 day(s)];;;;;
Thomas Andrew Murray Kirk, M.P.;1906-01-17;Yarmouth, Nova Scotia, Canada;1966-08-10;school inspector, administrator, teacher;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;;
Gordon Kirkby, M.P.;1958-09-26;Melfort, Saskatchewan, Canada;;barrister and solicitor, lawyer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;
The Hon. Sir George Airey Kirkpatrick, P.C., M.P.;1841-09-13;Kingston, Canada West;1899-12-13;lawyer;8070 days [22 year(s), 1 month(s), 5 day(s)];(1870-04-27 - 1892-05-30);8070 days [22 year(s), 1 month(s), 5 day(s)];;;;;
Thomas Kirkpatrick, Q.C., M.P.;1805-12-25;Coolmine, Ireland;1870-03-26 (Died in Office);lawyer;919 days [2 year(s), 6 month(s), 6 day(s)];(1867-09-20 - 1870-03-26);919 days [2 year(s), 6 month(s), 6 day(s)];;;;;
Robert Gordon Kitchen, M.P.;;Poole, England;;chiropractor;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;
Milton L. Klein, Q.C.,;1910-02-21;Montreal, Quebec, Canada;2007-12-31;lawyer;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;;
James Bell Klock, M.P.;1856-10-05;Aylmer, Canada West;1927-06-14;lumber merchant, farmer, rancher;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;;
Christian Kloepfer, M.P.;1847-12-22;New Germany, Canada West;1913-02-09;wholesaler;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;;
The Hon. Marty Klyne, Senator;;Regina, British Columbia, Canada;;businessman, publisher;2773 days [7 year(s), 7 month(s), 3 day(s)];;;(2018-09-24 - );2773 days [7 year(s), 7 month(s), 3 day(s)];Of Cree Métis origin.;English;
Tom Kmiec, M.P.;;;;research administrator, researcher, political attaché;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English, French;
Robert Ross (Roy) Knight, M.P.;1891-12-12;Cookstown, County Tyrone, Northern Ireland;1971-09-11;farmer, teacher;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;;
William George Knight, M.P.;1947-10-24;Estevan, Saskatchewan, Canada;;teacher;973 days [2 year(s), 7 month(s), 30 day(s)];(1971-11-08 - 1974-07-07);973 days [2 year(s), 7 month(s), 30 day(s)];;;;;
John Evans Knowles, M.P.;1914-11-30;North Walsingham Township, Ontario, Canada;2011-12-19;farmer;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;;
The Hon. Stanley Howard Knowles, P.C., M.P.;1908-06-18;Los Angeles, California, United States;1997-06-09;printer, clergyperson, minister;13714 days [37 year(s), 6 month(s), 17 day(s)];(1942-11-30 - 1958-03-30)|(1962-06-18 - 1984-09-03);13714 days [37 year(s), 6 month(s), 17 day(s)];;;Founding member of the New Democratic Party.In 1984, made honorary officer of Parliament by Prime Minister Pierre Elliott Trudeau.;;
William David Knowles, M.P.;1908-02-16;Langton, Ontario, Canada;2000-11-23;teacher;3983 days [10 year(s), 10 month(s), 27 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;;;;
William Erskine Knowles, K.C., M.P.;1872-11-28;Alliston, Ontario, Canada;1951-07-17;barrister, lawyer;4332 days [11 year(s), 10 month(s), 10 day(s)];(1906-02-06 - 1908-10-25)|(1908-10-26 - 1917-12-16);4332 days [11 year(s), 10 month(s), 10 day(s)];;;;;
Andrew Knox, M.P.;1866-04-26;Ballymoral, County Derry, Ireland;1946-08-04;farmer;2873 days [7 year(s), 10 month(s), 12 day(s)];(1917-12-17 - 1925-10-28);2873 days [7 year(s), 10 month(s), 12 day(s)];;;;;
The Hon. Gar Knutson, P.C., M.P.;1956-05-04;Toronto, Ontario, Canada;;manager, lawyer;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;
The Hon. Vim Kochhar, Senator;1936-09-21;Lahore, India;;president / manager, engineer, business manager;601 days [1 year(s), 7 month(s), 23 day(s)];;;(2010-01-29 - 2011-09-21);601 days [1 year(s), 7 month(s), 23 day(s)];First Canadian of Indian origin appointed to the Senate.;;
The Hon. Ernest Leo Kolber, Senator;1929-01-18;Montreal, Quebec, Canada;2020-01-08;lawyer, businessman;7332 days [20 year(s), 27 day(s)];;;(1983-12-23 - 2004-01-18);7332 days [20 year(s), 27 day(s)];;;
Ed Komarnicki, M.P.;1949-11-18;Cudworth, Saskatchewan, Canada;;lawyer;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;;
Margaret McTavish Konantz, O.B.E., M.P.;1899-04-30;Winnipeg, Manitoba, Canada;1967-05-11;homemaker;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;;;;
Derrek P. Konrad, M.P.;1943-12-12;Brooks, Alberta, Canada;;land surveyor, businessman;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;
Stanley James Korchinski, M.P.;1929-01-29;Rama, Saskatchewan, Canada;2000-05-13;farmer;9654 days [26 year(s), 5 month(s), 6 day(s)];(1958-03-31 - 1984-09-03);9654 days [26 year(s), 5 month(s), 6 day(s)];;;;;
Maka Kotto, M.P.;1961-12-07;Douala, Cameroon;;stage director, comedian, author;1355 days [3 year(s), 8 month(s), 16 day(s)];(2004-06-28 - 2008-03-13);1355 days [3 year(s), 8 month(s), 16 day(s)];;;;;
Allan Koury;1930-11-22;Sainte-Agathe-des-Monts, Quebec, Canada;2004-09-05;trader, businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;
Annie Koutrakis, M.P.;1960-11-22;;;vice president and branch manager, investment advisor;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;Of Greek origin.;French, English, Greek;
Karen Kraft Sloan, M.P.;1952-04-03;Kitchener, Ontario, Canada;;public servant, public policy consultant, teacher, ambassador;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;
Michael Kram, M.P.;;;;programmer analyst;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;English;
Daryl Kramp, M.P.;1947-06-14;Kirkland Lake, Ontario, Canada;2024-02-08;promoter, police officer, international affairs consultant, businessman;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;;
Hugo Kranz, M.P.;1834-06-13;Lehrbach, Germany;1902-06-01;town clerk;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;;
Lyle Stuart Kristiansen, M.P.;1939-05-09;Vancouver, British Columbia, Canada;2015-06-18;financial secretary, executive secretary, woodworker;3459 days [9 year(s), 5 month(s), 20 day(s)];(1980-02-18 - 1984-09-03)|(1988-11-21 - 1993-10-24);3459 days [9 year(s), 5 month(s), 20 day(s)];;;;;
The Hon. Richard H. Kroft, C.M., Senator;1938-05-22;Winnipeg, Manitoba, Canada;;businessman;2298 days [6 year(s), 3 month(s), 16 day(s)];;;(1998-06-11 - 2004-09-24);2298 days [6 year(s), 3 month(s), 16 day(s)];;;
John William Kucherepa, , M.P.;1919-05-27;Toronto, Ontario, Canada;1990-03-25;physician;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;;
Walter Frederick Kuhl, M.P.;1905-06-25;Spruce Grove, Alberta, Canada;1991-01-11;teacher;5005 days [13 year(s), 8 month(s), 14 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;;;;
Harry Kuntz, M.P.;1929;;1973-11-16 (Died in Office);seismic drilling contractor;383 days [1 year(s), 18 day(s)];(1972-10-30 - 1973-11-16);383 days [1 year(s), 18 day(s)];;;;;
Damien C. Kurek, M.P.;;;;farmer;2066 days [5 year(s), 7 month(s), 27 day(s)];(2019-10-21 - 2025-06-16);2066 days [5 year(s), 7 month(s), 27 day(s)];;;;;
John Kushner, M.P.;1923-06-22;Poland;1984-03-02 (Died in Office);security officer;1747 days [4 year(s), 9 month(s), 12 day(s)];(1979-05-22 - 1984-03-02);1747 days [4 year(s), 9 month(s), 12 day(s)];;;;;
Stephanie Kusie, M.P.;;Calgary, Alberta, Canada;;businesswoman, foreign-service officer;3313 days [9 year(s), 26 day(s)];(2017-04-03 - );3313 days [9 year(s), 26 day(s)];;;;English, French, Spanish, German;
Irek Kusmierczyk, M.P.;;;;city councillor;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;
The Hon. Stan Kutcher, Senator;;Toronto, Ontario, Canada;;professor, doctor;2694 days [7 year(s), 4 month(s), 15 day(s)];;;(2018-12-12 - );2694 days [7 year(s), 4 month(s), 15 day(s)];Awarded the Order of Nova Scotia (O.N.S.) in 2014;English;
Jenny Wai Ching Kwan, , M.P.;1967;Hong Kong, United Kingdom;;community development officer, community activist;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English, Cantonese;
George William Kyte, K.C., M.P.;1864-07-10;St. Peter's, Nova Scotia, Canada;1940-11-06;barrister, lawyer;4762 days [13 year(s), 14 day(s)];(1908-10-26 - 1917-12-16)|(1921-12-06 - 1925-10-28);4762 days [13 year(s), 14 day(s)];;;;;
The Hon. David Ovide L'Espérance, Senator;1864-01-06;Montmagny, Canada East;1941-08-31 (Died in Office);manufacturer;10524 days [28 year(s), 9 month(s), 23 day(s)];(1911-09-21 - 1916-06-06);1721 days [4 year(s), 8 month(s), 17 day(s)];(1917-07-26 - 1941-08-31);8803 days [24 year(s), 1 month(s), 7 day(s)];;;
Yvon L'Heureux, M.P.;1914-03-20;Saint-Cyrille-de-Wendover, Quebec, Canada;1984-05-29;manufacturer, merchant;1428 days [3 year(s), 10 month(s), 28 day(s)];(1957-06-10 - 1958-03-30)|(1971-05-31 - 1974-07-07);1428 days [3 year(s), 10 month(s), 28 day(s)];;;;;
The Hon. Roch La Salle, P.C., M.P.;1929-08-06;Saint-Paul, Quebec, Canada;2007-08-20;business agent, manager, public relations officer, sales manager, director of public relations;7301 days [19 year(s), 11 month(s), 26 day(s)];(1968-06-25 - 1981-03-16)|(1981-08-17 - 1988-11-20);7301 days [19 year(s), 11 month(s), 26 day(s)];;;;;
Armand Renaud La Vergne, K.C., M.P.;1880-02-21;Arthabaska, Quebec, Canada;1935-03-05 (Died in Office);editor, journalist, lawyer;3243 days [8 year(s), 10 month(s), 17 day(s)];(1904-02-16 - 1908-05-25)|(1930-07-28 - 1935-03-05);3243 days [8 year(s), 10 month(s), 17 day(s)];;;;;
Jean-Baptiste Labelle, M.P.;1836-05-27;Sorel, Lower Canada;1887-08-03 (Died in Office);passenger agent, ship captain;163 days [, 5 month(s), 11 day(s)];(1887-02-22 - 1887-08-03);163 days [, 5 month(s), 11 day(s)];;;;;
The Hon. Patti LaBoucane-Benson, Senator;;;;research director, lecturer, author;2764 days [7 year(s), 6 month(s), 24 day(s)];;;(2018-10-03 - );2764 days [7 year(s), 6 month(s), 24 day(s)];;English;
Simon Labrosse, M.P.;1836;Saint-Benoît, Lower Canada;1896-08-29;merchant, postmaster;3180 days [8 year(s), 8 month(s), 15 day(s)];(1882-06-20 - 1891-03-04);3180 days [8 year(s), 8 month(s), 15 day(s)];;;;;
