Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
Cyril Frost Kennedy, M.P.;1915-04-20;Hilden, Nova Scotia, Canada;1974-01-12;lumberman, building contractor, businessman;3752 days [10 year(s), 3 month(s), 9 day(s)];(1957-06-10 - 1967-09-17);3752 days [10 year(s), 3 month(s), 9 day(s)];;;;;
Donald MacBeth Kennedy, M.P.;1884-08-21;Ballinlaig, Perthshire, Scotland;1957-09-25;farmer;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;;
Dougald Kennedy, M.P.;1869-09-12;Halton County, Ontario, Canada;1937-05-31;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;
Gerard Kennedy, M.P.;1960-07-24;The Pas, Manitoba, Canada;;professor, food bank director;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;;
James Buckham Kennedy, M.P.;1844-02-23;Bytown, Canada West;1930-09-25;lumberman;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;;
John Wilfred Kennedy, M.P.;1879-10-10;Apple Hill, Ontario, Canada;1949-11-19;farmer;2194 days [6 year(s), 3 day(s)];(1919-10-27 - 1925-10-28);2194 days [6 year(s), 3 day(s)];;;;;
Orvis A. Kennedy, M.P.;1907-08-05;Dryden, Ontario, Canada;1997-04-02;salesman, manager, organizer, executive;736 days [2 year(s), 6 day(s)];(1938-03-21 - 1940-03-25);736 days [2 year(s), 6 day(s)];;;;;
The Hon. William Costello Kennedy, P.C., M.P.;1868-08-27;Ottawa, Ontario, Canada;1923-01-17 (Died in Office);business executive;1837 days [5 year(s), 11 day(s)];(1917-12-17 - 1921-12-28)|(1922-01-19 - 1923-01-17);1837 days [5 year(s), 11 day(s)];;;;;
William Walker Kennedy, Q.C., M.P.;1882-10-06;Westport, Ontario, Canada;1963-02-10;barrister, journalist;2224 days [6 year(s), 1 month(s), 3 day(s)];(1925-10-29 - 1926-09-13)|(1930-07-28 - 1935-10-13);2224 days [6 year(s), 1 month(s), 3 day(s)];;;;;
The Hon. Jason Kenney, P.C., M.P.;1968-05-30;Oakville, Ontario, Canada;;taxpayer advocate, executive director;7054 days [19 year(s), 3 month(s), 23 day(s)];(1997-06-02 - 2015-10-18)|(2015-10-19 - 2016-09-23);7054 days [19 year(s), 3 month(s), 23 day(s)];;;;;
The Hon. Colin Kenny, Senator;;Montreal, Quebec, Canada;;business executive;12272 days [33 year(s), 7 month(s), 6 day(s)];;;(1984-06-29 - 2018-02-02);12272 days [33 year(s), 7 month(s), 6 day(s)];;;
The Hon. Sir Edward Kenny, P.C., Senator;1800-07;County Kerry, Ireland;1891-05-16;manager;3094 days [8 year(s), 5 month(s), 20 day(s)];;;(1867-10-23 - 1876-04-11);3094 days [8 year(s), 5 month(s), 20 day(s)];;;
Thomas Edward Kenny, M.P.;1833-10-12;Halifax, Nova Scotia, Canada;1908-10-25;merchant;3380 days [9 year(s), 3 month(s), 2 day(s)];(1887-02-22 - 1892-01-13)|(1892-02-11 - 1896-06-22);3380 days [9 year(s), 3 month(s), 2 day(s)];;;;;
The Hon. Peter Kent, P.C., M.P.;1943-07-27;Bramshott, Sussex, England;;broadcast journalist, broadcasting executive;4724 days [12 year(s), 11 month(s), 6 day(s)];(2008-10-14 - 2021-09-19);4724 days [12 year(s), 11 month(s), 6 day(s)];;;;;
William Richard Kent, Q.C., M.P.;1905-12-16;St. John's, Newfoundland;1964-01-01;barrister;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;
The Hon. Wilbert Joseph Keon, Senator;1935-05-17;Sheenboro, Quebec, Canada;2019-04-07;cardiologist, cardiac surgeon, physician, administrator, teacher;7173 days [19 year(s), 7 month(s), 20 day(s)];;;(1990-09-27 - 2010-05-17);7173 days [19 year(s), 7 month(s), 20 day(s)];Awarded the Order of Ontario (O.Ont.) in 1990.;;
Allan Edward Joseph Kerpan, M.P.;1954-12-09;Kenaston, Saskatchewan, Canada;;farmer;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;Of Croatian origin.;;
