Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Elliott William Hardey;1932-01-03;Chatham, Ontario, Canada;;farmer;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Isabel J. Tibbie Hardie, M.P.;1916-02-04;Toronto, Ontario, Canada;2006-11-14;homemaker;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;Northwest Territories first female MP
Ken Hardie, M.P.;1947;Edmonton, Alberta, Canada;;broadcaster, communications director, reporter, public affairs executive;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
Mervyn Arthur Hardie;1918-07-31;Regina, Saskatchewan, Canada;1961-10-18 (Died in Office);manager, airplane pilot;2992 days [8 year(s), 2 month(s), 9 day(s)];(1953-08-10 - 1961-10-18);2992 days [8 year(s), 2 month(s), 9 day(s)];;;;
Randolph Harding, M.P.;1914-09-17;Silverton, British Columbia, Canada;1996-03-03;teacher;2204 days [6 year(s), 13 day(s)];(1968-06-25 - 1974-07-07);2204 days [6 year(s), 13 day(s)];;;;
The Hon. Richard Charles Hardisty, Senator;1831-03-03;Baie-du-Poste, Quebec, Canada;1889-10-15 (Died in Office);fur trader;601 days [1 year(s), 7 month(s), 23 day(s)];;;(1888-02-23 - 1889-10-15);601 days [1 year(s), 7 month(s), 23 day(s)];;Of Métis origin.
The Hon. Arthur Charles Hardy, P.C., Senator;1872-12-03;Brantford, Ontario, Canada;1962-03-13 (Died in Office);lawyer;14642 days [40 year(s), 1 month(s), 2 day(s)];;;(1922-02-10 - 1962-03-13);14642 days [40 year(s), 1 month(s), 2 day(s)];;
Louise Hardy, M.P.;1959-11-30;Whitehorse, Yukon, Canada;;social worker;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;
Jack Hare;1920-06-08;Vancouver, British Columbia, Canada;2009-03-23;professor, consultant, agrologist;218 days [, 7 month(s), 5 day(s)];(1978-10-16 - 1979-05-21);218 days [, 7 month(s), 5 day(s)];;;;
John Hargraft, M.P.;1865-02-26;Cobourg, Canada West;1918-07-10;merchant;290 days [, 9 month(s), 16 day(s)];(1891-03-05 - 1891-12-19);290 days [, 9 month(s), 16 day(s)];;;;
Herbert Thomas (Bert) Hargrave, M.P.;1917-03-30;Medicine Hat, Alberta, Canada;1996-09-24;rancher;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
The Hon. Douglas Scott Harkness, P.C., M.P.;1903-03-29;Toronto, Ontario, Canada;1999-05-02;farmer, teacher;10003 days [27 year(s), 4 month(s), 19 day(s)];(1945-06-11 - 1953-08-09)|(1953-08-10 - 1968-06-24)|(1968-06-25 - 1972-10-29);10003 days [27 year(s), 4 month(s), 19 day(s)];;;;
Archibald Harley, M.P.;1824-10-10;Newcastle, New Brunswick, Canada;1904-05-19;farmer;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
Harry Cruickshank Harley, M.P.;1926-06-04;Toronto, Ontario, Canada;2014-09-27;physician;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;
The Hon. William James Harmer, Senator;1872-10-18;Napanee, Ontario, Canada;1947-09-09 (Died in Office);railroad telegrapher;10809 days [29 year(s), 7 month(s), 4 day(s)];;;(1918-02-05 - 1947-09-09);10809 days [29 year(s), 7 month(s), 4 day(s)];;
John Paul Harney;1931-02-02;Québec, Quebec, Canada;2021-10-04;professor;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
John Harold;1873-11-09;Brantford, Ontario, Canada;1947-02-16;manufacturer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Edward (Ed) Harper, M.P.;1931-04-09;Toronto, Ontario, Canada;;businessman;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Elijah Harper, M.P.;1949-03-03;Red Sucker Lake, Manitoba, Canada;2013-05-17;consultant, aboriginal leader, policy analyst;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;Member of the Ojibway-Cree Nation of Manitoba.
Louis George Harper, M.P.;1830-02-28;Cap-Santé, Lower Canada;1884-04-16;prothonotary;363 days [, 11 month(s), 28 day(s)];(1874-01-22 - 1875-01-19);363 days [, 11 month(s), 28 day(s)];;;;
The Right Hon. Stephen Joseph Harper, P.C., M.P.;1959-04-30;Toronto, Ontario, Canada;;economist, lecturer, author;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 1997-01-14)|(2002-05-13 - 2015-10-18)|(2015-10-19 - 2016-08-26);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;
Maurice James Harquail, M.P.;1938-12-02;Matapédia, Quebec, Canada;;claim adjuster;3248 days [8 year(s), 10 month(s), 22 day(s)];(1975-10-14 - 1984-09-03);3248 days [8 year(s), 10 month(s), 22 day(s)];;;;
Hu Harries, M.P.;1921-12-08;Strathmore, Alberta, Canada;1986-08-26;economist;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
Dan Harris, M.P.;1979-08-03;Scarborough, Ontario, Canada;;activist, information technology technician;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Jack Harris, K.C., M.P.;1948-10-27;St John's, Newfoundland and Labrador;;community-development worker, journalist, lawyer;3751 days [10 year(s), 3 month(s), 8 day(s)];(1987-07-20 - 1988-11-20)|(2008-10-14 - 2015-10-18)|(2019-10-21 - 2021-09-19);3751 days [10 year(s), 3 month(s), 8 day(s)];;;;
Joseph Henry Harris;1888-12-13;Toronto, Ontario, Canada;1952-10-24 (Died in Office);manufacturer, manager, director, businessman;11281 days [30 year(s), 10 month(s), 20 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1935-10-13)|(1935-10-14 - 1952-10-24);11281 days [30 year(s), 10 month(s), 20 day(s)];;;;
Lloyd Harris;1867-03-14;Beamsville, Ontario, Canada;1925-09-27;businessman;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
Richard M. Harris, M.P.;1944-09-06;Vancouver, British Columbia, Canada;;businessman;8029 days [21 year(s), 11 month(s), 24 day(s)];(1993-10-25 - 2004-06-27)|(2004-06-28 - 2015-10-18);8029 days [21 year(s), 11 month(s), 24 day(s)];;;;
The Hon. Walter Edward Harris, P.C., Q.C., M.P.;1904-01-14;Kimberley, Ontario, Canada;1999-01-10;barrister, lawyer;6285 days [17 year(s), 2 month(s), 15 day(s)];(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];;;;
Charles Robert Harrison;1868-07-03;Frodingham, England;1946-02-07;train conductor;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Jeremy Harrison, M.P.;1978-01-29;Saskatoon, Saskatchewan, Canada;;communication consultant, forester;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;
John Hornby Harrison;1908-05-23;Bradford, England;1964-09-24;merchant, agent, trader;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
Robert Alexander Harrison, M.P.;1833-08-03;Montreal, Lower Canada;1878-11-01;author, lawyer;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
James (Jim) Alexander Hart, M.P.;1955-10-30;Edmonton, Alberta, Canada;;radio host, advertising executive;2458 days [6 year(s), 8 month(s), 24 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-07-17);2458 days [6 year(s), 8 month(s), 24 day(s)];;;;
David James Hartigan;1887-11-08;Sydney Mines, Nova Scotia, Canada;1952-01-16;physician;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
The Hon. Nancy Hartling, Senator;;;;executive director, lecturer, social worker;3005 days [8 year(s), 2 month(s), 22 day(s)];;;(2016-11-10 - 2025-01-31);3005 days [8 year(s), 2 month(s), 22 day(s)];;"Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 2011.
Awarded the Order of New Brunswick (O.N.B.) in 2016."
Maurice Hartt;1895-04-15;Dorohoi, Romania;1950-03-15 (Died in Office);lawyer;1081 days [2 year(s), 11 month(s), 16 day(s)];(1947-03-31 - 1950-03-15);1081 days [2 year(s), 11 month(s), 16 day(s)];;;;
Thomas Aaron Hartt;1858-10-31;Fredericton Junction, New Brunswick, Canada;1930-07-13;farmer, merchant, teacher;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;
The Hon. William Harty;1847-03-08;Biddulph Township, Canada West;1929-04-01;businessman;3536 days [9 year(s), 8 month(s), 6 day(s)];(1902-01-15 - 1911-09-20);3536 days [9 year(s), 8 month(s), 6 day(s)];;;;
The Hon. John Harvard, P.C., O.M., M.P.;1938-06-04;Glenboro, Manitoba, Canada;2016-01-09;broadcaster, journalist;5646 days [15 year(s), 5 month(s), 15 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 1998-06-17)|(1998-06-18 - 2004-05-06);5646 days [15 year(s), 5 month(s), 15 day(s)];;;;
The Hon. André Harvey, P.C., M.P.;1941-09-16;Chicoutimi, Quebec, Canada;;consultant, teacher;5921 days [16 year(s), 2 month(s), 16 day(s)];(1984-09-04 - 1993-10-24)|(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27);5921 days [16 year(s), 2 month(s), 16 day(s)];;;;
Luc Harvey, M.P.;1964-04-04;Chicoutimi, Quebec, Canada;;business manager, computer engineer;995 days [2 year(s), 8 month(s), 22 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;;;
Ross Harvey;1952-04-25;Vancouver, British Columbia, Canada;;information manager, research director, researcher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Thomas J. Harvey, M.P.;1982-08-23;;;agronomist, businessman;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
William Harvey, M.P.;1821-04-03;Malahide, Upper Canada;1874-06-14 (Died in Office);municipal councillor;611 days [1 year(s), 8 month(s), 3 day(s)];(1872-10-12 - 1874-06-14);611 days [1 year(s), 8 month(s), 3 day(s)];;;;
Henry Stanislas Harwood, M.P.;1838-08-08;Vaudreuil, Lower Canada;1911-08-28;farmer, land surveyor;4532 days [12 year(s), 4 month(s), 27 day(s)];(1891-03-05 - 1892-01-08)|(1893-04-12 - 1904-11-02);4532 days [12 year(s), 4 month(s), 27 day(s)];;;;
Robert William Harwood, M.P.;1826-10-27;Montreal, Lower Canada;1897-06-29;farmer;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;
Andrew Haslam, M.P.;1846-06-23;Woodhill, Donegal, Ireland;1923-04-10;lumber merchant, sawmiller, businessman;1148 days [3 year(s), 1 month(s), 22 day(s)];(1893-05-02 - 1896-06-22);1148 days [3 year(s), 1 month(s), 22 day(s)];;;;
Sana Hassainia, M.P.;1974-11-01;Tunis, Tunisia;;radio host, printer, editor, French teacher;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
The Hon. Earl Adams Hastings, Senator;1924-01-07;Regina, Saskatchewan, Canada;1996-05-05 (Died in Office);oilman, businessman;11029 days [30 year(s), 2 month(s), 11 day(s)];;;(1966-02-24 - 1996-05-05);11029 days [30 year(s), 2 month(s), 11 day(s)];;
Horace Haszard;1853-11-02;Charlottetown, Prince Edward Island, Canada;1922-05-11;grocery wholesaler;261 days [, 8 month(s), 18 day(s)];(1904-02-16 - 1904-11-02);261 days [, 8 month(s), 18 day(s)];;;;
Heber Harold Hatfield;1885-04-17;Middle Simonds, New Brunswick, Canada;1952-01-03 (Died in Office);farmer, produce dealer;4301 days [11 year(s), 9 month(s), 9 day(s)];(1940-03-26 - 1952-01-03);4301 days [11 year(s), 9 month(s), 9 day(s)];;;;
The Hon. Paul Lacombe Hatfield, M.P., Senator;1873-03-13;Chebogue, Nova Scotia, Canada;1935-01-28 (Died in Office);master mariner, broker, insurance agent;4802 days [13 year(s), 1 month(s), 24 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1926-10-06);1766 days [4 year(s), 10 month(s), 1 day(s)];(1926-10-07 - 1935-01-28);3036 days [8 year(s), 3 month(s), 23 day(s)];;
The Hon. Richard Bennett Hatfield, P.C., Senator;1931-04-09;Woodstock, New Brunswick, Canada;1991-04-26 (Died in Office);sales manager;232 days [, 7 month(s), 19 day(s)];;;(1990-09-07 - 1991-04-26);232 days [, 7 month(s), 19 day(s)];;
The Hon. Thomas Heath Haviland, Senator;1822-11-13;Charlottetown, Prince Edward Island, Canada;1895-09-11;lawyer, notary;2083 days [5 year(s), 8 month(s), 14 day(s)];;;(1873-10-18 - 1879-07);2083 days [5 year(s), 8 month(s), 14 day(s)];;Father of Confederation, attended the Quebec (Oct. 1864) conference.
Frederick James (Jim) Hawkes;1934-06-21;Calgary, Alberta, Canada;2019-05-09;professor, businessman;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;
The Hon. Charles G. Hawkins, Senator;1887-10-15;Lawrencetown, Nova Scotia, Canada;1958-08-14 (Died in Office);lumberman;3027 days [8 year(s), 3 month(s), 14 day(s)];;;(1950-05-02 - 1958-08-14);3027 days [8 year(s), 3 month(s), 14 day(s)];;
John Joseph Hawkins, M.P.;1840;Brantford, Upper Canada;1916-06-02;grocer;616 days [1 year(s), 8 month(s), 8 day(s)];(1882-06-20 - 1884-02-25);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
The Hon. Laurie Hawn, P.C., M.P.;1947-05-11;Winnipeg, Manitoba, Canada;;broker, fighter pilot, businessman, investment counsellor;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;
Francis Wellington Hay;1864-11-17;Listowel, Canada West;1932-04-01;grain merchant;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;
Robert Hay, M.P.;1808-05-18;Tippermuir, Perthshire, Scotland;1890-07-24;manufacturer;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;
Thomas Hay;1872-08-06;St. Andrews, Manitoba, Canada;1939-10-02;farmer;3674 days [10 year(s), 22 day(s)];(1917-12-17 - 1921-12-05)|(1925-10-29 - 1926-09-13)|(1930-07-28 - 1935-10-13);3674 days [10 year(s), 22 day(s)];;;;
The Hon. Salter Adrian Hayden, Q.C., Senator;1896-05-31;Ottawa, Ontario, Canada;1987-01-05;barrister, lawyer;15972 days [43 year(s), 8 month(s), 23 day(s)];;;(1940-02-09 - 1983-11-01);15972 days [43 year(s), 8 month(s), 23 day(s)];;
The Hon. Andrew Haydon, Senator;1867-06-28;Pakenham, Ontario, Canada;1932-11-10 (Died in Office);lawyer;3168 days [8 year(s), 8 month(s), 3 day(s)];;;(1924-03-10 - 1932-11-10);3168 days [8 year(s), 8 month(s), 3 day(s)];;
Bryan Hayes, M.P.;1958-10-08;Marville, France;;financial analyst, businessman;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Sharon Ruth Hayes, M.P.;1948-01-15;Toronto, Ontario, Canada;;homemaker, instructor - computer science, programmer analyst;1438 days [3 year(s), 11 month(s), 7 day(s)];(1993-10-25 - 1997-10-01);1438 days [3 year(s), 11 month(s), 7 day(s)];;;;
William Hayhurst;1887-12-31;Lyvennet Mill, Morland, England;1975-05-19;farmer, principal, teacher;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
The Hon. Daniel Hays, P.C., Senator;1939-04-24;Calgary, Alberta, Canada;;lawyer, rancher;8402 days [23 year(s), 1 day(s)];;;(1984-06-29 - 2007-06-30);8402 days [23 year(s), 1 day(s)];;Awarded the title of Grand Officer of the Ordre de la Pléiade in 2005.
The Hon. Harry William Hays, P.C., M.P.;1909-12-25;Carstairs, Alberta, Canada;1982-05-04 (Died in Office);businessman, rancher;6859 days [18 year(s), 9 month(s), 11 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];(1966-02-24 - 1982-05-04);5914 days [16 year(s), 2 month(s), 9 day(s)];;
The Hon. Robert Poore Haythorne, Senator;1815-12-02;Clifton, Bristol, England;1891-05-07 (Died in Office);farmer, magistrate;6411 days [17 year(s), 6 month(s), 19 day(s)];;;(1873-10-18 - 1891-05-07);6411 days [17 year(s), 6 month(s), 19 day(s)];;
Douglas King Hazen, M.P.;1885-09-30;Fredericton, New Brunswick, Canada;1974-07-04;barrister;3380 days [9 year(s), 3 month(s), 2 day(s)];(1940-03-26 - 1949-06-26);3380 days [9 year(s), 3 month(s), 2 day(s)];;;;
The Hon. Sir John Douglas Hazen, P.C., M.P.;1860-06-05;Oromocto, New Brunswick, Canada;1937-12-27;lawyer;4180 days [11 year(s), 5 month(s), 10 day(s)];(1891-03-05 - 1896-06-22)|(1911-10-27 - 1917-12-16);4180 days [11 year(s), 5 month(s), 10 day(s)];;;;
The Hon. Robert Leonard Hazen, Senator;1808-10-15;Fredericton, New Brunswick, Canada;1874-08-15 (Died in Office);lawyer;2489 days [6 year(s), 9 month(s), 24 day(s)];;;(1867-10-23 - 1874-08-15);2489 days [6 year(s), 9 month(s), 24 day(s)];;
Albert Frederick Healy;1873-08-08;Adelaide, Ontario, Canada;1944-03-07;lawyer;973 days [2 year(s), 7 month(s), 30 day(s)];(1923-03-01 - 1925-10-28);973 days [2 year(s), 7 month(s), 30 day(s)];;;;
Thomas Patrick Healy;1894-04-19;Montreal, Quebec, Canada;1957-04-12 (Died in Office);manager, contractor;6227 days [17 year(s), 18 day(s)];(1940-03-26 - 1957-04-12);6227 days [17 year(s), 18 day(s)];;;;
Daniel (Dan) James Macdonnell Heap, M.P.;1925-09-24;Winnipeg, Manitoba, Canada;2014-04-25;printer, priest, worker;4452 days [12 year(s), 2 month(s), 8 day(s)];(1981-08-17 - 1988-11-20)|(1988-11-21 - 1993-10-24);4452 days [12 year(s), 2 month(s), 8 day(s)];;;;
Abraham Albert Heaps;1885-12-24;Leeds, England;1954-04-04;upholsterer, agent;5262 days [14 year(s), 4 month(s), 27 day(s)];(1925-10-29 - 1940-03-25);5262 days [14 year(s), 4 month(s), 27 day(s)];;;;
John Hearn, M.P.;1827-01-04;County Waterford, Ireland;1894-05-17 (Died in Office);real estate agent;812 days [2 year(s), 2 month(s), 21 day(s)];(1892-02-26 - 1894-05-17);812 days [2 year(s), 2 month(s), 21 day(s)];;;;
The Hon. Loyola Hearn, P.C., M.P.;1943-03-25;Renews, Newfoundland;;diplomat, principal, businessman, businessman, teacher;3074 days [8 year(s), 4 month(s), 30 day(s)];(2000-05-15 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2008-10-13);3074 days [8 year(s), 4 month(s), 30 day(s)];;;;
Edmund Heath, M.P.;1813-09-13;Bristol, England;1883-01-21;crown lands agent;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
The Hon. Jacques Hébert, P.C., O.C., Senator;1923-06-21;Montreal, Quebec, Canada;2007-12-06;author, journalist, publisher;5542 days [15 year(s), 2 month(s), 2 day(s)];;;(1983-04-20 - 1998-06-21);5542 days [15 year(s), 2 month(s), 2 day(s)];;
Richard Hébert, M.P.;;Quebec, Canada;;entrepreneur, mayor;728 days [1 year(s), 11 month(s), 28 day(s)];(2017-10-23 - 2019-10-20);728 days [1 year(s), 11 month(s), 28 day(s)];;;;
The Hon. Peter Heenan, , P.C.;1875-02-19;Tullaree, Ireland;1948-05-12;locomotive engineer;3154 days [8 year(s), 7 month(s), 19 day(s)];(1925-10-29 - 1926-10-10)|(1926-11-02 - 1934-07-09);3154 days [8 year(s), 7 month(s), 19 day(s)];;;;
The Hon. George Harris Hees, P.C., M.P.;1910-06-17;Toronto, Ontario, Canada;1996-06-11;manufacturer, military, military, industrialist, professional football player, businessman;13125 days [35 year(s), 11 month(s), 6 day(s)];(1950-05-15 - 1963-04-07)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1979-05-21)|(1979-05-22 - 1988-11-20);13125 days [35 year(s), 11 month(s), 6 day(s)];;;;
The Hon. Kent Hehr, P.C., M.P.;1969-12-16;Calgary, Alberta, Canada;;lawyer;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
