Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
The Hon. Robert Leith Hanbidge, M.P.;1891-03-16;Southampton, Ontario, Canada;1974-07-25;barrister;1834 days [5 year(s), 8 day(s)];(1958-03-31 - 1963-04-07);1834 days [5 year(s), 8 day(s)];;;;
Wilfred Hanbury;1887-01-16;Brandon, Manitoba, Canada;1966-01-09;manufacturer, lumberman;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
Art Hanger, M.P.;1943-02-19;Three Hills, Alberta, Canada;;police officer;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
Adelbert Edward Hanna;1863-05-29;Harlem, Canada West;1918-02-27 (Died in Office);physician, surgeon;1538 days [4 year(s), 2 month(s), 16 day(s)];(1913-12-13 - 1917-12-16)|(1917-12-17 - 1918-02-27);1538 days [4 year(s), 2 month(s), 16 day(s)];;;;
Charles Edward Hanna;1884-05-17;Belleville, Ontario, Canada;1932-10-10;merchant;338 days [, 11 month(s), 3 day(s)];(1924-11-25 - 1925-10-28);338 days [, 11 month(s), 3 day(s)];;;;
Richmond Francis Lionel Hanna;1913-02-26;Monaghan, Ireland;1985-01-17;salesman, insurance agent, teacher;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
Hannes Marino Hannesson,;1885-11-27;Iceland;1958-06-11;barrister;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
Hugh F. Hanrahan, M.P.;1947-01-16;Antigonish, Nova Scotia, Canada;1999-05-19;author, teacher;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Rev. Ernest George Hansell;1895-05-14;Norwich, England;1965-12-09;clergyperson, minister;8204 days [22 year(s), 5 month(s), 17 day(s)];(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;;
Olof Hanson;1882-06-03;Tannas, Sweden;1952-06-04;lumberman, businessman;5401 days [14 year(s), 9 month(s), 14 day(s)];(1930-07-28 - 1945-05-10);5401 days [14 year(s), 9 month(s), 14 day(s)];;;;
The Hon. Richard Burpee Hanson, , P.C.;1879-03-20;Bocabec, New Brunswick, Canada;1948-07-14;barrister;7155 days [19 year(s), 7 month(s), 2 day(s)];(1921-05-28 - 1935-10-13)|(1940-03-26 - 1945-06-10);7155 days [19 year(s), 7 month(s), 2 day(s)];;;;
The Hon. Mac Harb, Senator;1953-11-10;Chaat, Lebanon;;engineer;9045 days [24 year(s), 9 month(s), 5 day(s)];(1988-11-21 - 2003-09-08);5405 days [14 year(s), 9 month(s), 18 day(s)];(2003-09-09 - 2013-08-26);3640 days [9 year(s), 11 month(s), 18 day(s)];;
Cheryl Hardcastle, M.P.;1962;Tecumseh, Ontario, Canada;;editor, reporter;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Peter Harder, P.C., Senator;;Winnipeg, Manitoba, Canada;;senior public servant, executive manager, political adviser;3688 days [10 year(s), 1 month(s), 6 day(s)];;;(2016-03-23 - );3688 days [10 year(s), 1 month(s), 6 day(s)];English, French;
Rachael Thomas, M.P.;;;;sociologist, youth and young adult consultant;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English;First woman elected as member of parliament for the riding of Lethbridge, Alberta.
