Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
John Andrew Wishart Drysdale, M.P.;1926-05-31;Winnipeg, Manitoba, Canada;1996-01-31;barrister, lawyer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
The Hon. Pamphile Réal Blaise Nugent Du Tremblay, M.P., Senator;1879-03-05;Sainte-Anne de la Pérade, Quebec, Canada;1955-10-06 (Died in Office);lawyer;6155 days [16 year(s), 10 month(s), 7 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;(1942-11-19 - 1955-10-06);4705 days [12 year(s), 10 month(s), 18 day(s)];
Antoine Dubé, M.P.;1947-05-15;Sainte-Rita, Quebec, Canada;;recreationist, director, administrator;3431 days [9 year(s), 4 month(s), 22 day(s)];(1993-10-25 - 1998-06-17)|(1998-06-18 - 2003-03-17);3431 days [9 year(s), 4 month(s), 22 day(s)];;;;
Jean F. Dubé, M.P.;1962-06-29;Campbellton, New Brunswick, Canada;;company head, businessman;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;
The Hon. Jean-Eudes Dubé, P.C., Q.C., M.P.;1926-11-06;Matapédia, Quebec, Canada;2019-01-05;lawyer, judge;4678 days [12 year(s), 9 month(s), 21 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1975-04-08);4678 days [12 year(s), 9 month(s), 21 day(s)];;;;
Matthew Dubé, M.P.;1988-05-03;Montreal, Quebec, Canada;;student;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2015-10-18)|(2015-10-19 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;
Paul-Léon Dubé, M.P.;1892-04-27;Saint-Denis, Quebec, Canada;1969-06-06;locomotive engineer;1386 days [3 year(s), 9 month(s), 16 day(s)];(1949-10-24 - 1953-08-09);1386 days [3 year(s), 9 month(s), 16 day(s)];;;;
Joseph Adélard Dubeau, M.P.;1873-03-25;Saint-Ambroise-de-Kildare, Quebec, Canada;1937-10-10;lawyer;2513 days [6 year(s), 10 month(s), 18 day(s)];(1904-11-03 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;;
Jean-Guy Dubois, M.P.;1948-04-02;Sainte-Cécile-de-Lèvrard, Quebec, Canada;;professor, lawyer, judge;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;
Lucien Dubois, M.P.;1893-04-30;Gentilly, Quebec, Canada;1948-11-08 (Died in Office);farmer;6679 days [18 year(s), 3 month(s), 14 day(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1948-11-08);6679 days [18 year(s), 3 month(s), 14 day(s)];;;;
V. Florent Dubois, M.P.;1906-03-12;Saint-Paul-de-Chester, Quebec, Canada;1987-12-18;manager, merchant;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Emmanuel Dubourg, M.P.;1958-12-26;Saint-Marc, Haiti;;chartered professional accountant, teacher;4172 days [11 year(s), 5 month(s), 2 day(s)];(2013-11-25 - 2025-04-27);4172 days [11 year(s), 5 month(s), 2 day(s)];;;;
The Hon. Sir Joseph Dubuc, M.P.;1840-12-26;Sainte-Martine, Lower Canada;1914-01-07;correspondent, lawyer;422 days [1 year(s), 1 month(s), 27 day(s)];(1878-09-17 - 1879-11-12);422 days [1 year(s), 1 month(s), 27 day(s)];;;;
Julien-Édouard-Alfred Dubuc, M.P.;1871-01-21;Saint-Hugues, Quebec, Canada;1947-10-27;manufacturer, director, bank manager;7165 days [19 year(s), 7 month(s), 12 day(s)];(1925-10-29 - 1945-06-10);7165 days [19 year(s), 7 month(s), 12 day(s)];;;;
Gilles Duceppe, M.P.;1947-07-22;Montreal, Quebec, Canada;;political commentator, union organiser;7502 days [20 year(s), 6 month(s), 14 day(s)];(1990-08-13 - 2004-06-27)|(2004-09-01 - 2011-05-01);7502 days [20 year(s), 6 month(s), 14 day(s)];;;;
The Hon. Antoine Juchereau Duchesnay, Senator;1809-11-08;Québec, Lower Canada;1886-09-10;lawyer;1173 days [3 year(s), 2 month(s), 16 day(s)];;;;(1867-10-23 - 1871-01-07);1173 days [3 year(s), 2 month(s), 16 day(s)];
The Hon. Henri Elzéar Juchereau Duchesnay, Senator;1809-07-19;Beauport, Lower Canada;1871-05-12 (Died in Office);lawyer;1298 days [3 year(s), 6 month(s), 19 day(s)];;;;(1867-10-23 - 1871-05-12);1298 days [3 year(s), 6 month(s), 19 day(s)];
Henri Jules Juchereau Duchesnay, M.P.;1845-07-06;Sainte-Marie de Beauce, Canada East;1887-07-06 (Died in Office);dairy farmer, lawyer;135 days [, 4 month(s), 13 day(s)];(1887-02-22 - 1887-07-06);135 days [, 4 month(s), 13 day(s)];;;;
The Hon. Jean-Yves Duclos, P.C., M.P.;1965;Québec, Quebec, Canada;;professor, economist, professor of economics;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];French, English;;;
Louis Duclos, M.P.;1939-08-02;Québec, Quebec, Canada;;consul, administrator;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;
The Hon. William Duff, M.P., Senator;1872-04-28;Carbonear, Newfoundland;1953-04-25 (Died in Office);merchant, shipowner, fish merchant;12788 days [35 year(s), 4 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1926-09-13)|(1927-01-18 - 1936-02-27);6521 days [17 year(s), 10 month(s), 8 day(s)];;(1936-02-28 - 1953-04-25);6267 days [17 year(s), 1 month(s), 28 day(s)];
The Hon. Joseph James Duffus, M.P., Senator;1876-06-17;Peterborough, Ontario, Canada;1957-02-07 (Died in Office);farmer, merchant, building contractor, businessman;7788 days [21 year(s), 3 month(s), 27 day(s)];(1935-10-14 - 1940-02-14);1585 days [4 year(s), 4 month(s), 2 day(s)];;(1940-02-15 - 1957-02-07);6203 days [16 year(s), 11 month(s), 24 day(s)];
The Hon. Michael Duffy, Senator;1946-05-27;Charlottetown, Prince Edward Island, Canada;;broadcast journalist, political commentator, reporter;4528 days [12 year(s), 4 month(s), 23 day(s)];;;;(2009-01-02 - 2021-05-26);4528 days [12 year(s), 4 month(s), 23 day(s)];
Nicolas Dufour, M.P.;1987-06-01;Montreal, Quebec, Canada;;political attaché;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
J.-Wilfrid Dufresne, M.P.;1911-08-05;Québec, Quebec, Canada;1982-06-30;promoter, interior decorator, public servant, teacher;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
Joseph Dufresne, M.P.;1805-12-02;Lavaltrie, Lower Canada;1873-11-05;notary;1393 days [3 year(s), 9 month(s), 23 day(s)];(1867-09-20 - 1871-07-13);1393 days [3 year(s), 9 month(s), 23 day(s)];;;;
Firmin Dugas, M.P.;1830-03-08;Rawdon Township, Lower Canada;1889-03-16;miller;5639 days [15 year(s), 5 month(s), 8 day(s)];(1871-09-15 - 1887-02-21);5639 days [15 year(s), 5 month(s), 8 day(s)];;;;
François Octave Dugas, K.C., M.P.;1857-04-12;Saint-Jacques de l'Achigan, Canada East;1918-06-22;crown prosecutor, lawyer;3225 days [8 year(s), 9 month(s), 29 day(s)];(1900-11-07 - 1909-09-05);3225 days [8 year(s), 9 month(s), 29 day(s)];;;;
Joseph Louis Euclide Dugas, M.P.;1861-08-30;Montcalm, Canada East;1943-12-27;farmer;3498 days [9 year(s), 6 month(s), 28 day(s)];(1891-03-05 - 1892-01-28)|(1892-03-05 - 1900-11-06);3498 days [9 year(s), 6 month(s), 28 day(s)];;;;
The Hon. James Duggan, Senator;1903-09-18;Riverhead, Newfoundland;1980-08-13;station agent, train dispatcher, union officer, railroad telegrapher, railway employee;4254 days [11 year(s), 7 month(s), 23 day(s)];;;;(1966-07-08 - 1978-02-28);4254 days [11 year(s), 7 month(s), 23 day(s)];
Joseph Duguay, M.P.;1816-04-27;Baie-du-Febvre, Lower Canada;1891-08-02;merchant;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
Joseph Léonard Duguay, M.P.;1900-10-08;Sainte-Adélaïde-de-Pabos, Quebec, Canada;1946-12-03;dentist;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
Léo Duguay, M.P.;1944-03-13;Saint-Boniface, Manitoba, Canada;;educator, school administrator;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Terry Duguid, P.C., M.P.;;Winnipeg, Manitoba, Canada;;environmental consultant, executive, community activist;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];English, French;;;
The Hon. Ron J. Duhamel, P.C., M.P., Senator;1938-03-02;Saint-Boniface, Manitoba, Canada;2002-09-30 (Died in Office);educator;5062 days [13 year(s), 10 month(s), 10 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2002-01-14);4803 days [13 year(s), 1 month(s), 25 day(s)];;(2002-01-15 - 2002-09-30);259 days [, 8 month(s), 16 day(s)];
Cyrille Dumaine, M.P.;1897-07-08;Saint-Hugues, Quebec, Canada;1946-10-11;notary;2086 days [5 year(s), 8 month(s), 17 day(s)];(1930-01-27 - 1935-10-13);2086 days [5 year(s), 8 month(s), 17 day(s)];;;;
Armand Dumas, M.P.;1905-08-05;Notre-Dame des Bois, Quebec, Canada;1963-11-14;land surveyor, forest engineer;4739 days [12 year(s), 11 month(s), 21 day(s)];(1949-06-27 - 1962-06-17);4739 days [12 year(s), 11 month(s), 21 day(s)];;;;
Maurice Dumas, M.P.;1927-05-01;Montreal, Quebec, Canada;2015-01-18;professor;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1999-03-10)|(1999-03-11 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
Bernard Dumont, M.P.;1927-01-15;Saint-Henri, Quebec, Canada;1974-09-25;insurance executive, agent, insurance broker, administrator, businessman;945 days [2 year(s), 7 month(s), 2 day(s)];(1962-06-18 - 1963-04-07)|(1968-06-25 - 1970-04-06);945 days [2 year(s), 7 month(s), 2 day(s)];;;;
Joseph Dumont, M.P.;1847-04-19;Saint-André de Kamouraska, Canada East;1912-01-15;merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;
The Hon. Léandre Dumouchel, Senator;1811-03-29;Saint-Benoît, Lower Canada;1882-09-24 (Died in Office);physician;5451 days [14 year(s), 11 month(s), 3 day(s)];;;;(1867-10-23 - 1882-09-24);5451 days [14 year(s), 11 month(s), 3 day(s)];Baptized Vital-Léandre.
Eric Duncan, M.P.;1987-11-10;Winchester, Ontario, Canada;;businessman;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];English, French;;;
The Hon. John Duncan, P.C., M.P.;1948-12-19;Winnipeg, Manitoba, Canada;;consultant, forester;7034 days [19 year(s), 3 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2006-01-22)|(2008-10-14 - 2015-10-18);7034 days [19 year(s), 3 month(s), 3 day(s)];;;;
The Hon. Kirsty Duncan, P.C., M.P.;1966-10-31;Etobicoke, Ontario, Canada;2026-01-26;professor, lecturer, athlete, author, geographer;6040 days [16 year(s), 6 month(s), 13 day(s)];(2008-10-14 - 2025-04-27);6040 days [16 year(s), 6 month(s), 13 day(s)];;;;Member of the 2007 Nobel Peace Prize-winning Intergovernmental  Panel on Climate Change.
Linda Francis Duncan, M.P.;1949-06-25;Edmonton, Alberta, Canada;;environmental consultant, lawyer, professor of law;4024 days [11 year(s), 6 day(s)];(2008-10-14 - 2015-10-18)|(2015-10-19 - 2019-10-20);4024 days [11 year(s), 6 day(s)];;;;
Matthew Robert Duncan, M.P.;1863-07-08;Owen Sound, Canada West;1938-02-23;merchant;1743 days [4 year(s), 9 month(s), 8 day(s)];(1921-12-06 - 1926-09-13);1743 days [4 year(s), 9 month(s), 8 day(s)];;;;
The Hon. Pat Duncan, Senator;;Edmonton, Alberta, Canada;;consultant, public servant;2694 days [7 year(s), 4 month(s), 15 day(s)];;;English;(2018-12-12 - );2694 days [7 year(s), 4 month(s), 15 day(s)];First woman to serve as Premier of Yukon (2000 to 2002).
Joseph Rutherford Dundas, M.P.;1836-01-20;Drum, County Monaghan, Ireland;1896-01-24;merchant, grain merchant;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
The Hon. Christopher Dunkin, P.C., M.P.;1812-09-25;Walworth, England;1881-01-06;editor, lawyer, teacher;1483 days [4 year(s), 22 day(s)];(1867-09-20 - 1869-11-15)|(1869-11-29 - 1871-10-24);1483 days [4 year(s), 22 day(s)];;;;
The Hon. Charles Avery Dunning, , P.C.;1885-07-31;Croft, Leicestershire, England;1958-10-01;farmer;3115 days [8 year(s), 6 month(s), 10 day(s)];(1926-03-16 - 1926-10-04)|(1926-11-02 - 1930-07-27)|(1935-12-30 - 1940-03-25);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;
Claude Duplain, M.P.;1954-01-10;Saint-Raymond de Portneuf, Quebec, Canada;;contractor;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;
Flavien Dupont, M.P.;1847;Saint-Simon, Canada East;1898-03-12 (Died in Office);notary;5671 days [15 year(s), 6 month(s), 9 day(s)];(1882-09-02 - 1898-03-12);5671 days [15 year(s), 6 month(s), 9 day(s)];;;;
Raymond Dupont, M.P.;1942-12-27;Montreal, Quebec, Canada;;labour relations consultant, technical adviser, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
Maurice Dupras, M.P.;1923-09-13;Saint-Jérôme, Quebec, Canada;2009-12-31;insurance broker, businessman;5041 days [13 year(s), 9 month(s), 19 day(s)];(1970-11-16 - 1984-09-03);5041 days [13 year(s), 9 month(s), 19 day(s)];;;;
Hercule Dupré, M.P.;1844-08-11;Verchères, Canada East;1927-05-03;lumber merchant, farmer, businessman;1598 days [4 year(s), 4 month(s), 15 day(s)];(1896-06-23 - 1900-11-07);1598 days [4 year(s), 4 month(s), 15 day(s)];;;;
The Hon. Maurice Dupré, P.C., K.C., M.P.;1888-03-20;Lévis, Quebec, Canada;1941-10-03;lawyer;1887 days [5 year(s), 1 month(s)];(1930-07-28 - 1930-08-06)|(1930-08-25 - 1935-10-14);1887 days [5 year(s), 1 month(s)];;;;
Hector Dupuis, M.B.E., M.P.;1896-02-13;Montreal, Quebec, Canada;1967-11-12;agent, insurance broker, businessman;2723 days [7 year(s), 5 month(s), 14 day(s)];(1950-10-16 - 1953-08-09)|(1953-08-10 - 1958-03-30);2723 days [7 year(s), 5 month(s), 14 day(s)];;;;
The Hon. Renée Dupuis, Senator;;Québec, Quebec, Canada;;author, lawyer, human rights consultant;2624 days [7 year(s), 2 month(s), 6 day(s)];;;;(2016-11-10 - 2024-01-16);2624 days [7 year(s), 2 month(s), 6 day(s)];
The Hon. Vincent Dupuis, Q.C., M.P., Senator;1889-01-22;Saint-Philippe-de-Laprairie, Quebec, Canada;1967-05-11 (Died in Office);lawyer;13808 days [37 year(s), 9 month(s), 20 day(s)];(1929-07-22 - 1935-10-13)|(1935-10-14 - 1945-04-17);5749 days [15 year(s), 8 month(s), 27 day(s)];;(1945-04-18 - 1967-05-11);8059 days [22 year(s), 24 day(s)];
The Hon. Yvon Dupuis, P.C., M.P.;1926-10-11;Montreal, Quebec, Canada;2017-01-01;merchant, businessman;2779 days [7 year(s), 7 month(s), 9 day(s)];(1958-03-31 - 1965-11-07);2779 days [7 year(s), 7 month(s), 9 day(s)];;;;
The Hon. Michel Dupuy, P.C., M.P.;1930-01-11;Paris, France;2023-07-09;professor, ambassador, journalist, political adviser, foreign policy adviser;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Gérard Duquet, M.P.;1909-04-17;Montmorency, Quebec, Canada;1986-01-26;business agent, manager, businessman;6875 days [18 year(s), 9 month(s), 27 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1984-09-03);6875 days [18 year(s), 9 month(s), 27 day(s)];;;;
The Hon. Alfred Duranleau, P.C., K.C., M.P.;1871-11-01;West Farnham, Quebec, Canada;1951-03-11;lawyer;1800 days [4 year(s), 11 month(s), 4 day(s)];(1930-07-28 - 1930-08-06)|(1930-08-25 - 1935-07-19);1800 days [4 year(s), 11 month(s), 4 day(s)];;;;
Richard John Joseph Durante, M.P.;1930-08-17;New Westminster, British Columbia, Canada;2003-09-11;supervising principal;235 days [, 7 month(s), 22 day(s)];(1968-06-25 - 1969-02-14);235 days [, 7 month(s), 22 day(s)];;;;
Eugène Durocher, M.P.;1881-08-27;Montreal, Quebec, Canada;1944-05-10 (Died in Office);insurance broker;1606 days [4 year(s), 4 month(s), 23 day(s)];(1939-12-18 - 1944-05-10);1606 days [4 year(s), 4 month(s), 23 day(s)];;;;
Joseph-Étienne Dussault, M.P.;1884-10-17;Lévis, Quebec, Canada;1943-12-25;contractor, editor, industrialist;3359 days [9 year(s), 2 month(s), 11 day(s)];(1925-10-29 - 1930-07-28)|(1935-10-14 - 1940-03-25);3359 days [9 year(s), 2 month(s), 11 day(s)];;;;
Pierre-Luc Dusseault, M.P.;1991-05-31;Granby, Quebec, Canada;;student;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;
Scott Duvall, M.P.;1956-07-01;;;union officer, municipal councillor;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;
The Hon. Lillian Eva Quan Dyck, Senator;;North Battleford, Saskatchewan, Canada;;activist, professor, dean (associate), scientist, researcher, neurochemist;5632 days [15 year(s), 5 month(s), 1 day(s)];;;;(2005-03-24 - 2020-08-23);5632 days [15 year(s), 5 month(s), 1 day(s)];Member of the Gordon First Nation. Cree
Eugène Alphonse Dyer, M.P.;1838-12-12;Sutton, Lower Canada;1911-12-02;farmer, merchant;1847 days [5 year(s), 21 day(s)];(1891-03-05 - 1891-12-10)|(1892-03-10 - 1896-06-22);1847 days [5 year(s), 21 day(s)];;;;
Richard Dykstra, M.P.;1966-04-10;Grimsby, Ontario, Canada;;businessman, public affairs executive;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;
Albert Edward Dyment, M.P.;1869-02-23;Lynden, Ontario, Canada;1944-05-12;lumber merchant, stockbroker;4507 days [12 year(s), 4 month(s), 2 day(s)];(1896-06-23 - 1904-11-02)|(1904-11-03 - 1908-10-25);4507 days [12 year(s), 4 month(s), 2 day(s)];;;;
Alfred Hutchinson Dymond, M.P.;1827-08-21;Croydon, England;1903-05-11;lecturer, editor, author, writer;1669 days [4 year(s), 6 month(s), 25 day(s)];(1874-01-22 - 1875-05-29)|(1875-06-29 - 1878-09-16);1669 days [4 year(s), 6 month(s), 25 day(s)];;;;
Julie Dzerowicz, M.P.;;Toronto, Ontario, Canada;;director, political assistant;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];English, French;;;
Gordon S. Earle, M.P.;1943-02-27;Halifax, Nova Scotia, Canada;;senior public servant;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;
Thomas Earle, M.P.;1837-09-27;Landsdowne Township, Upper Canada;1911-07-13;store manager, businessman;5484 days [15 year(s), 5 day(s)];(1889-10-28 - 1904-11-02);5484 days [15 year(s), 5 day(s)];;;;
The Hon. Wayne Easter, P.C., M.P.;1949-06-22;North Wiltshire, Prince Edward Island, Canada;;farmer;10192 days [27 year(s), 10 month(s), 26 day(s)];(1993-10-25 - 2021-09-19);10192 days [27 year(s), 10 month(s), 26 day(s)];;;;
The Hon. Nicole Eaton, Senator;;Montreal, Quebec, Canada;;trustee, director, columnist;4036 days [11 year(s), 18 day(s)];;;;(2009-01-02 - 2020-01-20);4036 days [11 year(s), 18 day(s)];
