Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
Robert Doull, M.P.;1828;Wick, Caithness-shire, Scotland;1906-12-09;merchant;1839 days [5 year(s), 13 day(s)];(1872-10-12 - 1874-01-21)|(1878-09-17 - 1882-06-19);1839 days [5 year(s), 13 day(s)];;;;
Terry Dowdall, M.P.;;;;businessman;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];English;;;
The Hon. Percy E. Downe, Senator;;Charlottetown, Prince Edward Island, Canada;;public servant;8342 days [22 year(s), 10 month(s), 3 day(s)];;;English;(2003-06-26 - );8342 days [22 year(s), 10 month(s), 3 day(s)];
Cliff Downey, M.P.;1928-05-24;Castor, Alberta, Canada;2018-05-03;farmer;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
The Hon. Norman E. Doyle, M.P., Senator;;Avondale, Newfoundland, Canada;;businessman;7384 days [20 year(s), 2 month(s), 18 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2008-10-13);4152 days [11 year(s), 4 month(s), 12 day(s)];;(2012-01-06 - 2020-11-10);3232 days [8 year(s), 10 month(s), 6 day(s)];
The Hon. Richard J. Doyle, O.C., Senator;1923-03-10;Toronto, Ontario, Canada;2003-04-09;journalist;4740 days [12 year(s), 11 month(s), 22 day(s)];;;;(1985-03-19 - 1998-03-10);4740 days [12 year(s), 11 month(s), 22 day(s)];
Cyrille Doyon, M.P.;1842-10-28;St. Isidore, Canada East;1918-01-07;farmer, merchant;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
The Hon. Sir Henry Lumley Drayton, P.C., K.C., M.P.;1869-04-27;Kingston, Ontario, Canada;1950-08-28;Crown Attorney, barrister;3109 days [8 year(s), 6 month(s), 4 day(s)];(1919-10-20 - 1921-12-05)|(1921-12-06 - 1928-04-23);3109 days [8 year(s), 6 month(s), 4 day(s)];;;;
Earl Dreeshen, M.P.;1953-07-09;Red Deer, Alberta, Canada;;farmer, teacher;6040 days [16 year(s), 6 month(s), 13 day(s)];(2008-10-14 - 2015-10-18)|(2015-10-19 - 2025-04-27);6040 days [16 year(s), 6 month(s), 13 day(s)];;;;
The Hon. George Alexander Drew, , P.C., C.C.;1894-05-07;Guelph, Ontario, Canada;1973-01-04;barrister, ambassador, author;2942 days [8 year(s), 20 day(s)];(1948-12-20 - 1957-01-08);2942 days [8 year(s), 20 day(s)];;;;
George Alexander Drew, Q.C., M.P.;1826-02-21;Williamstown, Upper Canada;1891-07-05;lawyer;3221 days [8 year(s), 9 month(s), 25 day(s)];(1867-09-20 - 1872-10-11)|(1878-09-17 - 1882-06-19);3221 days [8 year(s), 9 month(s), 25 day(s)];;;;
Stanley Peter (Stan) Dromisky, M.P.;1931-06-25;Fort William, Ontario, Canada;2023-09-08;professor, art dealer;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
Robert Earle Drope, M.P.;1898-10-14;Harwood, Ontario, Canada;1969-10-07;farmer, manager;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
The Hon. Claude Drouin, P.C., M.P.;1956-05-26;Frampton, Quebec, Canada;;foreman, political adviser;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;
Francis Drouin, M.P.;1983-10-07;Hawkesbury, Ontario, Canada;;communication consultant, political assistant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
The Hon. Mark Robert Drouin, P.C., Senator;1903-10-24;Québec, Quebec, Canada;1963-10-12 (Died in Office);lawyer;2200 days [6 year(s), 9 day(s)];;;;(1957-10-04 - 1963-10-12);2200 days [6 year(s), 9 day(s)];
Noël Drouin, M.P.;1912-07-07;Saint-Maxime, Quebec, Canada;2001-10-05;manufacturer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Vincent Drouin, M.P.;1932-03-29;Saint-Benoît, Quebec, Canada;1979-09-01;lawyer;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
Sir George Alexander Drummond, K.C.M.G., C.V.O., Senator;1829-10-11;Edinburgh, Scotland;1910-02-02 (Died in Office);manager;7733 days [21 year(s), 2 month(s), 2 day(s)];;;;(1888-12-01 - 1910-02-02);7733 days [21 year(s), 2 month(s), 2 day(s)];
John Douglas Fraser Drummond, M.P.;1860-04-23;McGillivray Township, Canada West;1925-05-24 (Died in Office);farmer;1266 days [3 year(s), 5 month(s), 18 day(s)];(1921-12-06 - 1925-05-24);1266 days [3 year(s), 5 month(s), 18 day(s)];;;;
The Hon. Charles Mills (Bud) Drury, P.C., Q.C., C.B.E., D.S.O., M.P.;1912-05-07;Westmount, Quebec, Canada;1991-01-12;lawyer, public servant, businessman;5702 days [15 year(s), 7 month(s), 10 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1978-01-26);5702 days [15 year(s), 7 month(s), 10 day(s)];;;;
The Hon. Kenneth Wayne (Ken) Dryden, P.C., M.P.;1947-08-08;Hamilton, Ontario, Canada;2025-09-05;professional hockey player, lawyer, executive manager, writer;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;
