Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Philip Gerald Givens, Q.C., M.P.;1922-04-24;Toronto, Ontario, Canada;1995-11-30;barrister and solicitor;1199 days [3 year(s), 3 month(s), 12 day(s)];(1968-06-25 - 1971-10-06);1199 days [3 year(s), 3 month(s), 12 day(s)];;;;
The Hon. James Gladstone, Senator;1887-05-21;Mountain Hill, Northwest Territories, Canada;1971-09-04;farmer, rancher;4808 days [13 year(s), 1 month(s), 30 day(s)];;;(1958-01-31 - 1971-03-31);4808 days [13 year(s), 1 month(s), 30 day(s)];First North American Indian appointed to the Senate.  Member of the Blood Tribe in the Blackfoot Nation of Alberta.;
The Hon. Robert William Gladstone, M.P., Senator;1879-09-13;Oxford, Ontario, Canada;1951-06-01 (Died in Office);manufacturer, gentleman, manager, teacher;5638 days [15 year(s), 5 month(s), 7 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];(1949-09-07 - 1951-06-01);633 days [1 year(s), 8 month(s), 25 day(s)];;
Joseph Ernest Oscar Gladu, M.P.;1870-10-25;Saint-François du Lac, Quebec, Canada;1920-12-25 (Died in Office);notary;3618 days [9 year(s), 10 month(s), 27 day(s)];(1904-11-03 - 1911-09-20)|(1917-12-17 - 1920-12-25);3618 days [9 year(s), 10 month(s), 27 day(s)];;;;
Marilyn Gladu, M.P.;1962;;;engineer, consultant;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;English
The Hon. John Glasier, Senator;1809-09-03;Lincoln, New Brunswick, Canada;1894-07-07 (Died in Office);lumber merchant;9612 days [26 year(s), 3 month(s), 25 day(s)];;;(1868-03-14 - 1894-07-07);9612 days [26 year(s), 3 month(s), 25 day(s)];;
David Glass, M.P.;1829-07-20;Westminster, Upper Canada;1906-07-17;lawyer;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
Samuel Francis Glass, M.P.;1861-01-08;London Township, Canada West;1925-04-06;real estate agent, insurance broker;2968 days [8 year(s), 1 month(s), 16 day(s)];(1913-10-21 - 1921-12-05);2968 days [8 year(s), 1 month(s), 16 day(s)];;;;
Alfred Pullen Gleave, M.P.;1911-06-06;Embro, Ontario, Canada;1999-08-19;farmer, grain grower, seed grower;2204 days [6 year(s), 13 day(s)];(1968-06-25 - 1974-07-07);2204 days [6 year(s), 13 day(s)];;;;
Francis Wayland Glen, M.P.;1836-09-05;Minaville, New York, United States;1912-05-05;manufacturer;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;
The Hon. James Allison Glen, P.C., M.P.;1877-12-18;Renton, Scotland;1950-06-28;barrister, lawyer;6184 days [16 year(s), 11 month(s), 5 day(s)];(1926-09-14 - 1930-07-27)|(1935-10-14 - 1948-11-04);6184 days [16 year(s), 11 month(s), 5 day(s)];;;;
Charles Auguste Maximilien Globensky, M.P.;1830-11-15;Saint-Eustache, Lower Canada;1906-02-12;person of independent means, author;351 days [, 11 month(s), 16 day(s)];(1875-02-26 - 1876-02-11);351 days [, 11 month(s), 16 day(s)];;;;
The Hon. Shelly Glover, P.C., M.P.;1967-01-02;Saskatoon, Saskatchewan, Canada;;police officer;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;Of Métis origin.;
The Hon. Samuel Gobeil, , P.C.;1875-08-17;La Patrie, Quebec, Canada;1961-01-01;farmer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Joseph Godbout, M.P., Senator;1850-05-12;Saint-Vital de Lambton, Canada East;1923-04-01 (Died in Office);physician;13187 days [36 year(s), 1 month(s), 8 day(s)];(1887-02-22 - 1901-04-03);5154 days [14 year(s), 1 month(s), 11 day(s)];(1901-04-04 - 1923-04-01);8033 days [21 year(s), 11 month(s), 28 day(s)];;
The Hon. Joseph Adélard Godbout, Senator;1892-09-24;Saint-Éloi, Quebec, Canada;1956-09-18 (Died in Office);agronomist, farmer, teacher;2643 days [7 year(s), 2 month(s), 25 day(s)];;;(1949-06-25 - 1952-09-18);2643 days [7 year(s), 2 month(s), 25 day(s)];;
Marc Godbout, M.P.;1951-06-08;Ottawa, Ontario, Canada;;consultant, educator, senior public servant, school administrator;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;
The Hon. John Ferguson Godfrey, P.C., M.P.;1942-12-19;Toronto, Ontario, Canada;2023-12-18;economist, historian, research administrator, journalist;5395 days [14 year(s), 9 month(s), 8 day(s)];(1993-10-25 - 2008-08-01);5395 days [14 year(s), 9 month(s), 8 day(s)];;;;
The Hon. John Morrow Godfrey, Q.C., Senator;1912-06-28;Port Credit, Ontario, Canada;2001-03-08;counsel;5015 days [13 year(s), 8 month(s), 24 day(s)];;;(1973-10-05 - 1987-06-28);5015 days [13 year(s), 8 month(s), 24 day(s)];;
François Benjamin Godin, M.P.;1828-03-28;Saint-Constant, Lower Canada;1888-03-03;lawyer;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Joël Godin, M.P.;1965-03;;;communication consultant, sales director, political adviser;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;French
Maurice Godin, M.P.;1932-10-21;Montreal, Quebec, Canada;2024-06-14;manager - divisional;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
Osias.-J. Godin, M.P.;1911-05-06;Verner, Ontario, Canada;1988-04-20;barrister, lawyer;2779 days [7 year(s), 7 month(s), 9 day(s)];(1958-03-31 - 1965-11-07);2779 days [7 year(s), 7 month(s), 9 day(s)];;;;
Roland Godin, M.P.;1926-10-11;Neuville, Quebec, Canada;2009-06-22;manager;3164 days [8 year(s), 7 month(s), 29 day(s)];(1965-11-08 - 1974-07-07);3164 days [8 year(s), 7 month(s), 29 day(s)];;;;
Yvon Godin, M.P.;1955-05-12;Bathurst, New Brunswick, Canada;;labour representative;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;Awarded the title of Knight of the Ordre de la Pléiade in 2003.;
Robert Goguen, , M.P.;1957-01-24;Moncton, New Brunswick, Canada;;lecturer, lawyer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
The Hon. Marc Gold, P.C., Senator;;Montreal, Quebec, Canada;;dean (associate), professor of law;3139 days [8 year(s), 7 month(s), 4 day(s)];;;(2016-11-25 - 2025-06-29);3139 days [8 year(s), 7 month(s), 4 day(s)];;
The Hon. Carl H. Goldenberg, Q.C., Senator;1907-10-20;Montreal, Quebec, Canada;1996-07-22;lawyer;4004 days [10 year(s), 11 month(s), 17 day(s)];;;(1971-11-04 - 1982-10-20);4004 days [10 year(s), 11 month(s), 17 day(s)];;
The Hon. William Henry Golding, M.P., Senator;1878-04-14;Hibbert Township, Ontario, Canada;1961-12-31 (Died in Office);machinist;10682 days [29 year(s), 2 month(s), 29 day(s)];(1932-10-03 - 1935-10-13)|(1935-10-14 - 1949-06-24);6109 days [16 year(s), 8 month(s), 22 day(s)];(1949-06-25 - 1961-12-31);4573 days [12 year(s), 6 month(s), 7 day(s)];;
Peter Goldring, M.P.;1944-12-12;Toronto, Ontario, Canada;;manager, businessman;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27)|(2004-06-28 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;;
Pamela Goldsmith-Jones, M.P.;1961;West Vancouver, British Columbia, Canada;;business consultant, public affairs consultant, mayor;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Yoine Goldstein, Senator;1934-05-11;Montreal, Quebec, Canada;2020-03-18;lawyer;1352 days [3 year(s), 8 month(s), 13 day(s)];;;(2005-08-29 - 2009-05-11);1352 days [3 year(s), 8 month(s), 13 day(s)];;
William Charles Good, M.P.;1876-02-24;Brantford Township, Ontario, Canada;1967-11-16;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
The Hon. Ralph Goodale, P.C., M.P.;1949-10-05;Regina, Saskatchewan, Canada;;business executive, broadcaster, barrister and solicitor, businessman, ambassador, high commissioner;11271 days [30 year(s), 10 month(s), 10 day(s)];(1974-07-08 - 1979-05-21)|(1993-10-25 - 1997-06-01)|(1997-06-02 - 2015-10-18)|(2015-10-19 - 2019-10-20);11271 days [30 year(s), 10 month(s), 10 day(s)];;;;
Thomas Henry Goode, M.P.;1933-11-25;Burnaby, British Columbia, Canada;1994-05-28;builder, developer, teacher;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
Tom Goode, M.P.;1902-11-09;Walthamstow, Essex, England;1983-09-12;sales manager;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Arthur Samuel Goodeve, M.P.;1860-12-15;Guelph, Canada West;1920-11-23;pharmacist;1286 days [3 year(s), 6 month(s), 7 day(s)];(1908-10-26 - 1912-05-03);1286 days [3 year(s), 6 month(s), 7 day(s)];;;;
William Thomas Goodison, M.P.;1876-02-16;Strathroy, Ontario, Canada;1928-12-03 (Died in Office);business executive, manufacturer, business manager;1132 days [3 year(s), 1 month(s), 6 day(s)];(1925-10-29 - 1928-12-03);1132 days [3 year(s), 1 month(s), 6 day(s)];;;;
The Hon. Gary Goodyear, P.C., M.P.;1958-03-10;Cambridge, Ontario, Canada;;chiropractor, columnist, administrator (health services);4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;
Adam Gordon, M.P.;1831-09-16;Forfar, Scotland;1876-05-28 (Died in Office);merchant, postmaster;858 days [2 year(s), 4 month(s), 6 day(s)];(1874-01-22 - 1876-05-28);858 days [2 year(s), 4 month(s), 6 day(s)];;;;
David Alexander Gordon, M.P.;1858-01-18;Wallaceburg, Canada West;1919-03-09;manufacturer;4792 days [13 year(s), 1 month(s), 14 day(s)];(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;;;
David William Gordon, M.P.;1832-02-27;Camden Township, Upper Canada;1893-02-19 (Died in Office);builder, contractor;3898 days [10 year(s), 8 month(s), 3 day(s)];(1882-06-20 - 1893-02-19);3898 days [10 year(s), 8 month(s), 3 day(s)];;;;
The Hon. George Gordon, M.P., Senator;1865-05-02;Pakenham, Canada West;1942-02-03 (Died in Office);lumber merchant;11797 days [32 year(s), 3 month(s), 18 day(s)];(1908-10-26 - 1911-10-25);1095 days [2 year(s), 11 month(s), 30 day(s)];(1912-10-17 - 1942-02-03);10702 days [29 year(s), 3 month(s), 19 day(s)];;
The Hon. George Newcombe Gordon, , P.C.;1879-04-15;Brighton, Ontario, Canada;1949-03-21;barrister;1725 days [4 year(s), 8 month(s), 21 day(s)];(1921-02-07 - 1925-10-28);1725 days [4 year(s), 8 month(s), 21 day(s)];;;;
The Hon. Walter Lockhart Gordon, P.C., C.C., F.C.A., M.P.;1906-01-27;Toronto, Ontario, Canada;1987-03-21;chartered accountant;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;
The Hon. Wesley Ashton Gordon, , P.C.;1884-02-11;Owen Sound, Ontario, Canada;1943-02-09;barrister;1886 days [5 year(s), 1 month(s), 30 day(s)];(1930-07-28 - 1930-08-06)|(1930-08-25 - 1935-10-13);1886 days [5 year(s), 1 month(s), 30 day(s)];;;;
John Kenneth Gormley, M.P.;1957-08-02;Singapore;;broadcaster, radio-commentator, journalist;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Bal Gosal, P.C., M.P.;1960-05-04;Punjab, India;;insurance broker, financial agent / adviser / consultant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Henri A. Gosselin, M.P.;1888-12-06;Lee, Massachusetts, United States;1952-01-27 (Died in Office);telegrapher, farmer, train dispatcher;945 days [2 year(s), 7 month(s), 2 day(s)];(1949-06-27 - 1952-01-27);945 days [2 year(s), 7 month(s), 2 day(s)];;;;
Louis Gosselin, M.P.;1879-10-01;Saint-Alexandre d'Iberville, Quebec, Canada;1954-06-18;farmer, lawyer;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
Eccles James Gott, M.P.;1884-09-04;Amherstburg, Ontario, Canada;1939-06-15;real estate broker;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
William (Bill) Gottselig, M.P.;1934-12-01;Balgonie, Saskatchewan, Canada;2000-01-04;farmer, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Monson Henry Goudge, M.P.;1829-10-22;Windsor, Nova Scotia, Canada;1920-03-01;merchant;1900 days [5 year(s), 2 month(s), 13 day(s)];(1873-07-05 - 1878-09-16);1900 days [5 year(s), 2 month(s), 13 day(s)];;;;
The Hon. Léon Mercier Gouin, Q.C., Senator;1891-12-24;Montreal, Quebec, Canada;1983-10-16;professor, barrister, author;12916 days [35 year(s), 4 month(s), 10 day(s)];;;(1940-11-07 - 1976-03-18);12916 days [35 year(s), 4 month(s), 10 day(s)];;
The Hon. Sir Lomer Gouin, , P.C.;1861-03-19;Grondines, Canada East;1929-03-28;lawyer;1402 days [3 year(s), 10 month(s), 2 day(s)];(1921-12-06 - 1921-12-28)|(1922-01-19 - 1925-10-28);1402 days [3 year(s), 10 month(s), 2 day(s)];;;;
James William (Jim) Gouk, M.P.;1946-04-15;Toronto, Ontario, Canada;2025-05-27;air traffic controller, realtor, businessman;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 1998-06-17)|(1998-06-18 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;
Isaac James Gould, M.P.;1839-11-13;Uxbridge, Upper Canada;1915-06-06;banker, farmer;1750 days [4 year(s), 9 month(s), 15 day(s)];(1900-01-18 - 1904-11-02);1750 days [4 year(s), 9 month(s), 15 day(s)];;;;
The Hon. Karina Gould, P.C., M.P.;1987-06-28;Burlington, Ontario, Canada;;consultant, community activist;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;First federal cabinet minister to give birth while in office;English, French, Spanish
Oliver Robert Gould, M.P.;1874-04-04;Hants County, England;1951-10-07;carpenter, farmer;2194 days [6 year(s), 3 day(s)];(1919-10-27 - 1925-10-28);2194 days [6 year(s), 3 day(s)];;;;
Alfred Goulet, M.P.;1875-06-05;Wendover, Ontario, Canada;1961-03-17;merchant;7165 days [19 year(s), 7 month(s), 12 day(s)];(1925-10-29 - 1945-06-10);7165 days [19 year(s), 7 month(s), 12 day(s)];;;;
Joseph-Omer Gour, M.P.;1893-11-12;Saint-Victor D'Alfred, Ontario, Canada;1959-03-24 (Died in Office);farmer, merchant;5035 days [13 year(s), 9 month(s), 13 day(s)];(1945-06-11 - 1959-03-24);5035 days [13 year(s), 9 month(s), 13 day(s)];;;;
David Gourd, M.P.;1885-02-10;Saint-Victor D'Alfred, Ontario, Canada;1981-12-29;person of independent means, merchant, financier;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;
Robert Gourd, M.P.;1933;Amos, Quebec, Canada;2015-03-22;manufacturer, administrator;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;
Gaston Gourde, M.P.;1950-03-17;St. Isidore, Quebec, Canada;;lawyer;1219 days [3 year(s), 4 month(s), 1 day(s)];(1981-05-04 - 1984-09-03);1219 days [3 year(s), 4 month(s), 1 day(s)];;;;
Jacques Gourde, M.P.;1964-01-13;Saint-Narcisse-de-Beaurivage, Quebec, Canada;;farmer;7400 days [20 year(s), 3 month(s), 4 day(s)];(2006-01-23 - 2015-10-18)|(2015-10-19 - );7400 days [20 year(s), 3 month(s), 4 day(s)];;;;French
Seymour Eugene Gourley, M.P.;1854-12-20;Brookfield, Nova Scotia, Canada;1906-01-05;lawyer;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
Sir James Robert Gowan;1815-12-22;Cahore, County Wexford, Ireland;1909-03-18;judge, lawyer;8062 days [22 year(s), 27 day(s)];;;(1885-01-29 - 1907-02);8062 days [22 year(s), 27 day(s)];;
The Hon. Jean-Pierre Goyer, P.C., Q.C., M.P.;1932-01-17;Saint-Laurent, Quebec, Canada;2011-05-24;lawyer;4802 days [13 year(s), 1 month(s), 24 day(s)];(1965-11-08 - 1978-12-31);4802 days [13 year(s), 1 month(s), 24 day(s)];;;;
The Hon. William Heward Grafftey, , P.C., Q.C.;1928-08-05;Montreal, Quebec, Canada;2010-02-11;lumber merchant, merchant, author, lawyer, businessman;6406 days [17 year(s), 6 month(s), 14 day(s)];(1958-03-31 - 1968-06-24)|(1972-10-30 - 1979-05-21)|(1979-05-22 - 1980-02-17);6406 days [17 year(s), 6 month(s), 14 day(s)];;;"Known affectionately as ""the Gnome from Brome"".";
The Hon. Jerahmiel S. Grafstein, K.C., Senator;1935-01-02;London, Ontario, Canada;;lawyer;9487 days [25 year(s), 11 month(s), 21 day(s)];;;(1984-01-13 - 2010-01-02);9487 days [25 year(s), 11 month(s), 21 day(s)];;
The Hon. B. Alasdair Graham, P.C., Senator;1929-05-21;Dominion, Nova Scotia, Canada;2015-04-22;corporate executive, broadcaster, journalist, teacher;11713 days [32 year(s), 25 day(s)];;;(1972-04-27 - 2004-05-21);11713 days [32 year(s), 25 day(s)];;
The Hon. William (Bill) Carvel Graham, P.C., Q.C., M.P.;1939-03-17;Montreal, Quebec, Canada;2022-08-07;lawyer, professor of law, teacher;4999 days [13 year(s), 8 month(s), 8 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2007-07-02);4999 days [13 year(s), 8 month(s), 8 day(s)];;;;
David de Burgh Graham, M.P.;1981-07-29;Sainte-Lucie-des-Laurentides, Quebec, Canada;;journalist, political assistant;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
Duncan Graham, M.P.;1845-10-05;Mara Township, Canada West;1934-02-07;farmer;1371 days [3 year(s), 9 month(s), 1 day(s)];(1897-02-04 - 1900-11-06);1371 days [3 year(s), 9 month(s), 1 day(s)];;;;
The Right Hon. George Perry Graham, P.C., M.P., Senator;1859-03-31;Eganville, Canada West;1943-01-01 (Died in Office);editor, journalist;10848 days [29 year(s), 8 month(s), 13 day(s)];(1907-09-18 - 1911-09-20)|(1912-02-22 - 1917-12-16)|(1921-12-06 - 1921-12-28)|(1922-01-19 - 1925-10-28);4991 days [13 year(s), 7 month(s), 30 day(s)];(1926-12-20 - 1943-01-01);5857 days [16 year(s), 13 day(s)];;
Roy Theodore Graham, M.P.;1887-12-11;Smiths Falls, Ontario, Canada;1965-02-26;barrister;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
Stan Graham, M.P.;1926-01-29;Northern Ireland;2010-09-30;businessman;1811 days [4 year(s), 11 month(s), 15 day(s)];(1979-05-22 - 1980-02-17)|(1984-09-04 - 1988-11-20);1811 days [4 year(s), 11 month(s), 15 day(s)];;;;
Paul Étienne Grandbois, M.P.;1846;Sainte-Philomène, Canada East;1907-09-18;physician;6489 days [17 year(s), 9 month(s), 6 day(s)];(1878-09-17 - 1896-06-22);6489 days [17 year(s), 9 month(s), 6 day(s)];;;;
The Hon. Charles Ronald McKay Granger, P.C., O.C., M.P.;1912-08-12;Catalina, Newfoundland;1995-04-22;journalist;3278 days [8 year(s), 11 month(s), 21 day(s)];(1958-03-31 - 1966-08-01)|(1967-11-06 - 1968-06-24);3278 days [8 year(s), 11 month(s), 21 day(s)];;;;
George Davidson Grant, M.P.;1870-06-25;Waterdown, Ontario, Canada;1915-03-17;lawyer;2057 days [5 year(s), 7 month(s), 18 day(s)];(1903-03-10 - 1908-10-25);2057 days [5 year(s), 7 month(s), 18 day(s)];;;;
Sir James Alexander Grant, K.C.M.G., M.R.C.S, F.R.C.P.C., M.P.;1831-08-11;Inverness, Scotland;1920-02-05;physician;3245 days [8 year(s), 10 month(s), 19 day(s)];(1867-09-20 - 1874-01-21)|(1893-12-07 - 1896-06-22);3245 days [8 year(s), 10 month(s), 19 day(s)];;;;
The Hon. Robert Patterson Grant, Senator;1814-04-12;Inverness, Scotland;1892-11-13 (Died in Office);merchant;5764 days [15 year(s), 9 month(s), 11 day(s)];;;(1877-02-02 - 1892-11-13);5764 days [15 year(s), 9 month(s), 11 day(s)];;
The Hon. Thomas Vincent Grant, M.P., Senator;1876-12-21;Peakes, Prince Edward Island, Canada;1966-12-24;coroner, physician, teacher, clerk;10903 days [29 year(s), 10 month(s), 7 day(s)];(1935-10-14 - 1949-06-24);5003 days [13 year(s), 8 month(s), 12 day(s)];(1949-06-25 - 1965-08-19);5900 days [16 year(s), 1 month(s), 26 day(s)];;
Michel Gravel, M.P.;1939-08-04;Montreal, Quebec, Canada;;company head, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Raymond Gravel, M.P.;1952-11-04;Saint-Damien-de-Brandon, Quebec, Canada;2014-08-11;priest;687 days [1 year(s), 10 month(s), 18 day(s)];(2006-11-27 - 2008-10-13);687 days [1 year(s), 10 month(s), 18 day(s)];;;;
Claude Gravelle, M.P.;1949-10-26;Chelmsford, Ontario, Canada;;machinist;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;
Darryl L. Gray, M.P.;1946-12-29;Campbellton, New Brunswick, Canada;;professor, farmer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Right Hon. Herbert Eser (Herb) Gray, P.C., Q.C., M.P.;1931-05-25;Windsor, Ontario, Canada;2014-04-21;lawyer;14456 days [39 year(s), 6 month(s), 28 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 2002-01-14);14456 days [39 year(s), 6 month(s), 28 day(s)];;;;
John Hamilton Gray, Q.C., M.P.;1814;Saint-George, Bermuda;1889-06-05;lawyer;1747 days [4 year(s), 9 month(s), 12 day(s)];(1867-09-20 - 1872-07-01);1747 days [4 year(s), 9 month(s), 12 day(s)];;;Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864) conferences.;
Ross Wilfred Gray, M.P.;1897-01-05;Moore Township, Ontario, Canada;1968-12-11;barrister;5992 days [16 year(s), 4 month(s), 26 day(s)];(1929-01-14 - 1945-06-10);5992 days [16 year(s), 4 month(s), 26 day(s)];;;;
