Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Fernand Girard, M.P.;1924-02-19;Saint-Cyriac, Quebec, Canada;2004-07-02;journalist;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
Joseph Girard, M.P.;1853-08-02;Saint-Urbain, Canada East;1933-03-30;farmer;6250 days [17 year(s), 1 month(s), 11 day(s)];(1900-11-07 - 1917-12-17);6250 days [17 year(s), 1 month(s), 11 day(s)];;;;
The Hon. Marc-Amable Girard, Senator;1822-04-25;Varennes, Lower Canada;1892-09-12 (Died in Office);lawyer, notary;7580 days [20 year(s), 9 month(s), 1 day(s)];;;(1871-12-13 - 1892-09-12);7580 days [20 year(s), 9 month(s), 1 day(s)];;
Jocelyne Girard-Bujold, M.P.;1943;Arvida, Quebec, Canada;;political assistant, political attaché, businesswoman;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
The Hon. Désiré Girouard, M.P.;1836-07-07;Saint-Timothée, Lower Canada;1911-03-22;author, lawyer;6220 days [17 year(s), 11 day(s)];(1878-09-17 - 1895-09-27);6220 days [17 year(s), 11 day(s)];;;;
Gérard Girouard, M.P.;1933-03-27;Saint-Hyacinthe, Quebec, Canada;2017-05-22;lawyer, professor of law;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;;;
Gilbert Anselme Girouard, M.P.;1846-10-26;Sainte-Marie-de-Kent, New Brunswick, Canada;1885-01-13;merchant;1788 days [4 year(s), 10 month(s), 23 day(s)];(1878-09-17 - 1883-08-09);1788 days [4 year(s), 10 month(s), 23 day(s)];;;;
Joseph Girouard, M.P.;1854-04-08;Saint-Benoît, Canada East;1933-03-29;notary;1578 days [4 year(s), 3 month(s), 26 day(s)];(1892-02-27 - 1896-06-22);1578 days [4 year(s), 3 month(s), 26 day(s)];;;;
Wilfrid Girouard, M.P.;1891-09-09;Drummondville, Quebec, Canada;1980-10-26;lawyer;5088 days [13 year(s), 11 month(s), 5 day(s)];(1925-10-29 - 1939-10-03);5088 days [13 year(s), 11 month(s), 5 day(s)];;;;
The Hon. Edward Lavin Girroir, Senator;1871-08-26;Tracadie, Nova Scotia, Canada;1932-05-08 (Died in Office);lecturer, lawyer;7110 days [19 year(s), 5 month(s), 18 day(s)];;;(1912-11-20 - 1932-05-08);7110 days [19 year(s), 5 month(s), 18 day(s)];;
