Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Duncan Macmillan, M.P.;1837-02-11;London Township, Upper Canada;1903-04-21;lawyer;4408 days [12 year(s), 25 day(s)];(1875-01-28 - 1887-02-21);4408 days [12 year(s), 25 day(s)];;;;
;;;;;;;;;;;
John Angus MacMillan, M.P.;1889-03-27;East Lake Ainslie, Nova Scotia, Canada;1956-08-12;barrister;2346 days [6 year(s), 5 month(s), 3 day(s)];(1933-10-23 - 1940-03-25);2346 days [6 year(s), 5 month(s), 3 day(s)];;;;
The Hon. John Watson MacNaught, P.C., M.P.;1904-06-19;Coleman, Prince Edward Island, Canada;1984-12-25;barrister;5327 days [14 year(s), 7 month(s), 1 day(s)];(1945-06-11 - 1957-06-09)|(1963-04-08 - 1965-11-07);5327 days [14 year(s), 7 month(s), 1 day(s)];;;;
The Hon. Alan Aylesworth Macnaughton, P.C., Q.C., M.P., Senator;1903-07-30;Napanee, Ontario, Canada;1999-07-16;barrister and solicitor, lawyer;10384 days [28 year(s), 5 month(s), 5 day(s)];(1949-06-27 - 1965-11-07);5978 days [16 year(s), 4 month(s), 12 day(s)];(1966-07-08 - 1978-07-30);4406 days [12 year(s), 23 day(s)];;
Charles Grant MacNeil, M.P.;1892-12-12;Uptergrove, Ontario, Canada;1976-03-31;sales manager, secretary, businessman;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
John Ritchie MacNicol, M.P.;1878-08-31;Beaverton, Ontario, Canada;1950-06-18;manufacturer, gentleman, teacher;6909 days [18 year(s), 10 month(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1949-06-26);6909 days [18 year(s), 10 month(s)];;;;
George Taylor MacNutt, M.P.;1865-12-19;Stewiacke, Nova Scotia, Canada;1937-05-24;lumber merchant, contractor;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;
Thomas MacNutt, M.P.;1850-08-03;Campbellton, New Brunswick, Canada;1927-02-05;farmer;4789 days [13 year(s), 1 month(s), 11 day(s)];(1908-10-26 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];;;;
Agnes Campbell Macphail, M.P.;1890-03-24;Proton Township, Ontario, Canada;1954-02-13;farmer, teacher;6685 days [18 year(s), 3 month(s), 20 day(s)];(1921-12-06 - 1935-10-13)|(1935-10-14 - 1940-03-25);6685 days [18 year(s), 3 month(s), 20 day(s)];;;First woman elected to the House of Commons.First Canadian woman of Scottish origin  elected to the House of Commons.;
The Hon. Sir David Lewis Macpherson, P.C., K.C.M.G., Senator;1818-09-12;Castle Leathers, Inverness, Scotland;1896-08-16 (Died in Office);contractor;10526 days [28 year(s), 9 month(s), 25 day(s)];;;(1867-10-23 - 1896-08-16);10526 days [28 year(s), 9 month(s), 25 day(s)];;
Robert George Macpherson, M.P.;1866-01-28;Erin Township, Canada West;1926-10-27;pharmacist, insurance executive;2091 days [5 year(s), 8 month(s), 22 day(s)];(1903-02-04 - 1904-11-02)|(1904-11-03 - 1908-10-25);2091 days [5 year(s), 8 month(s), 22 day(s)];;;;
Thomas Henry MacPherson, M.P.;1842-06;Perth, Scotland;1903-06-17;merchant;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;
The Hon. Heath Nelson Macquarrie, M.P., Senator;1919-09-18;Victoria, Prince Edward Island, Canada;2002-01-02;professor, radio-commentator, political scientist, author, teacher;13481 days [36 year(s), 10 month(s), 28 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1979-05-21);8016 days [21 year(s), 11 month(s), 11 day(s)];(1979-10-03 - 1994-09-18);5465 days [14 year(s), 11 month(s), 17 day(s)];;
John Chester MacRae, M.C., M.P.;1912-08-29;Hopetown, Quebec, Canada;1997-10-05;teacher;5621 days [15 year(s), 4 month(s), 20 day(s)];(1957-06-10 - 1972-10-29);5621 days [15 year(s), 4 month(s), 20 day(s)];;;;
John David MacRae, M.P.;1876-02-19;Apple Hill, Ontario, Canada;1967-02-20;farmer;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
The Hon. Duncan Kenneth MacTavish, Q.C., Senator;1899-08-03;Ottawa, Ontario, Canada;1963-11-15 (Died in Office);lawyer;158 days [, 5 month(s), 6 day(s)];;;(1963-06-11 - 1963-11-15);158 days [, 5 month(s), 6 day(s)];;
Lyle Dean MacWilliam, M.P.;1949-07-31;Vancouver, British Columbia, Canada;;market researcher-educator, instructor - martial arts, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
James William Maddin, M.P.;1874-09-08;Westville, Nova Scotia, Canada;1961-09-29;lawyer;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
Frank Madill, M.P.;1852-11-23;Scott Township, Canada West;1895-10-25 (Died in Office);lawyer;3168 days [8 year(s), 8 month(s), 3 day(s)];(1887-02-22 - 1895-10-25);3168 days [8 year(s), 8 month(s), 3 day(s)];;;;
John Ellwood Madill, M.P.;1915-01-15;Melancthon, Ontario, Canada;1999-12-05;farmer, life underwriter, businessman;2521 days [6 year(s), 10 month(s), 26 day(s)];(1963-04-08 - 1968-06-24)|(1972-10-30 - 1974-07-07);2521 days [6 year(s), 10 month(s), 26 day(s)];;;;
Joseph Alexandre Camille Madore, M.P.;1858-08-03;Blue Bonnet's, Canada East;1906-11-03;lawyer;2722 days [7 year(s), 5 month(s), 13 day(s)];(1896-06-23 - 1903-12-06);2722 days [7 year(s), 5 month(s), 13 day(s)];;;;
Charles Magill, M.P.;1816-03-01;Westport, County Mayo, Ireland;1898-12-01;merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Charles Alexander Magrath, M.P.;1860-04-22;North Augusta, Canada West;1949-10-30;land surveyor;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
Larry Maguire, M.P.;1949-06-01;Souris, Manitoba, Canada;;farmer, business owner;4172 days [11 year(s), 5 month(s), 2 day(s)];(2013-11-25 - 2025-04-27);4172 days [11 year(s), 5 month(s), 2 day(s)];;;;
John Archibald Maharg, M.P.;1872-02-12;Orangeville, Ontario, Canada;1944-11-23;farmer, rancher;1251 days [3 year(s), 5 month(s), 3 day(s)];(1917-12-17 - 1921-05-20);1251 days [3 year(s), 5 month(s), 3 day(s)];;;;
The Hon. Shirley Maheu, M.P., Senator;1931-10-07;Montreal, Quebec, Canada;2006-02-01 (Died in Office);insurance broker, administrator;6282 days [17 year(s), 2 month(s), 12 day(s)];(1988-11-21 - 1989-12-28)|(1989-12-29 - 1996-01-31);2628 days [7 year(s), 2 month(s), 10 day(s)];(1996-02-01 - 2006-02-01);3654 days [10 year(s), 2 day(s)];;
The Hon. Patrick Morgan Mahoney, P.C., Q.C., M.P.;1929-01-20;Winnipeg, Manitoba, Canada;2012-06-08;lawyer, businessman, judge;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
The Hon. Steve Mahoney, P.C., M.P.;1947-07-18;Sault Ste Marie, Ontario, Canada;;consultant, businessman;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
The Hon. Frank W. Mahovlich, C.M., Senator;1938-01-10;Timmins, Ontario, Canada;;professional hockey player, businessman;5328 days [14 year(s), 7 month(s), 2 day(s)];;;(1998-06-11 - 2013-01-10);5328 days [14 year(s), 7 month(s), 2 day(s)];;
Hoang Mai, M.P.;1973-06-14;Montreal, Quebec, Canada;;notary;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;of Vietnamese origin.;
Élie Mailloux, M.P.;1830-10-03;Saint-Georges-de-Cacouna, Lower Canada;1893-07-03;clerk;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
Claudy Mailly, M.P.;1938-11-30;Montreal, Quebec, Canada;;economic consultant, corporate affairs consultant, author;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Francis (Frank) William Maine, M.P.;1937-09-15;Hayes, Kent, England;2018-09-29;consultant, scientist, professional engineer, research chemist;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;
Charles Beautron Major, M.P.;1851-03-18;Sainte-Scholastique, Canada East;1924-05-15;lawyer;1368 days [3 year(s), 8 month(s), 29 day(s)];(1907-12-23 - 1911-09-20);1368 days [3 year(s), 8 month(s), 29 day(s)];;;;
Robert Benoit Major, M.P.;1915-02-17;Ottawa, Ontario, Canada;1997-08-07;administrator;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
William Joseph Major, M.P.;1896-04-12;North Lancaster, Ontario, Canada;1966-02-24;poultry farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
The Hon. James Malcolm, P.C., M.P.;1880-07-14;Kincardine, Ontario, Canada;1935-12-06;industrialist;5042 days [13 year(s), 9 month(s), 20 day(s)];(1921-12-06 - 1926-10-21)|(1926-11-09 - 1935-10-13);5042 days [13 year(s), 9 month(s), 20 day(s)];;;;
Sheila Malcolmson, M.P.;1966-03-26;;;manager, executive manager, policy analyst;1172 days [3 year(s), 2 month(s), 15 day(s)];(2015-10-19 - 2019-01-02);1172 days [3 year(s), 2 month(s), 15 day(s)];;;;
Jean-Claude Malépart, M.P.;1938-12-03;Montreal, Quebec, Canada;1989-11-16 (Died in Office);social worker, administrator;3832 days [10 year(s), 5 month(s), 28 day(s)];(1979-05-22 - 1984-09-03)|(1984-09-04 - 1988-11-20)|(1988-11-21 - 1989-11-16);3832 days [10 year(s), 5 month(s), 28 day(s)];;;;
The Hon. Gurbax Singh Malhi, P.C., M.P.;1949-10-12;Chugha Kalan, Punjab, India;;realtor;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 1998-06-17)|(1998-06-18 - 2004-06-27)|(2004-06-28 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;The first Sikh to be elected to the House of Commons.;
The Hon. Charles-Christophe Malhiot, Senator;1808-10-11;Verchères, Lower Canada;1874-11-09 (Died in Office);person of independent means, physician;2575 days [7 year(s), 18 day(s)];;;(1867-10-23 - 1874-11-09);2575 days [7 year(s), 18 day(s)];;
Joseph Léon Vital Mallette, M.P.;1888-09-16;Pointe-Claire, Quebec, Canada;1939-04-17 (Died in Office);miller, secretary-treasurer;1282 days [3 year(s), 6 month(s), 3 day(s)];(1935-10-14 - 1939-04-17);1282 days [3 year(s), 6 month(s), 3 day(s)];;;;
Albert Elhanon Mallory, M.P., C.M.;1848-02-01;Cobourg, Canada West;1904-10-04;physician;268 days [, 8 month(s), 25 day(s)];(1887-02-22 - 1887-11-16);268 days [, 8 month(s), 25 day(s)];;;;
Luc Malo, M.P.;1973-11-02;Contrecoeur, Quebec, Canada;;advisor, business development consultant;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;
;;;;;;;;;;;
Arthur Edward Martin Maloney, M.P.;1919-11-26;Eganville, Ontario, Canada;1984-09-20;lawyer;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
James Maloney, M.P.;;Thunder Bay, Ontario, Canada;;lawyer;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English
John Maloney, M.P.;1945-01-05;Welland, Ontario, Canada;;lawyer;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
John William Maloney, M.P.;1883-08-22;Nelson, New Brunswick, Canada;1954-06-03;lumber merchant;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
The Hon. Marian L. Maloney, Senator;1924-08-16;Ponteix, Saskatchewan, Canada;2010-05-29;community-development worker, public relations officer, organizer of events, fundraiser;432 days [1 year(s), 2 month(s), 6 day(s)];;;(1998-06-11 - 1999-08-16);432 days [1 year(s), 2 month(s), 6 day(s)];;
Martin James Maloney, C.M., M.P.;1877-10-08;Eganville, Ontario, Canada;1953-11-21;physician;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
The Hon. Arthur Cyrille Albert Malouin, M.P.;1857-03-13;Québec, Canada East;1936-04-05;lawyer;2539 days [6 year(s), 11 month(s), 13 day(s)];(1898-01-24 - 1905-01-06);2539 days [6 year(s), 11 month(s), 13 day(s)];;;;
Jacques Malouin, M.P.;1826-02;Québec, Lower Canada;1901-11-30;lawyer;1690 days [4 year(s), 7 month(s), 16 day(s)];(1877-11-03 - 1882-06-19);1690 days [4 year(s), 7 month(s), 16 day(s)];;;;
Peter James (Jim) Maloway, M.P.;1952-11-10;Sioux Lookout, Ontario, Canada;;businessman;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
André Maltais, M.P., C.M.;1948-05-17;La Malbaie, Quebec, Canada;;school administrator;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;
Auguste Maltais, M.P.;1916-01-16;La Malbaie, Quebec, Canada;1988-05-07;accountant;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
The Hon. Ghislain Maltais, Senator;;Sacré-Coeur, Quebec, Canada;;consultant, insurance broker;2664 days [7 year(s), 3 month(s), 16 day(s)];;;(2012-01-06 - 2019-04-22);2664 days [7 year(s), 3 month(s), 16 day(s)];;
Lauréat Maltais, M.P.;1923-06-30;Bergeronnes, Quebec, Canada;1979-03-23;manager;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;
Peter Mancini, M.P.;1956-08-01;Sydney, Nova Scotia, Canada;;barrister and solicitor, lawyer;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;
J. Nicholas (Nick) Mandziuk, Q.C., M.P.;1902-12-13;Ukraine;1969-09-07;solicitor, barrister, insurance broker, lawyer, teacher;4033 days [11 year(s), 15 day(s)];(1957-06-10 - 1968-06-24);4033 days [11 year(s), 15 day(s)];;;;
Henry Philip Mang, M.P.;1897-12-11;Edenwold, Northwest Territories, Canada;1987-03-30;farmer;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
The Hon. Robert James Manion, P.C., M.P.;1881-11-19;Pembroke, Ontario, Canada;1943-07-02;physician;6990 days [19 year(s), 1 month(s), 20 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-08-06)|(1930-08-25 - 1935-10-13)|(1938-11-14 - 1940-03-25);6990 days [19 year(s), 1 month(s), 20 day(s)];;;;
The Hon. John Paul Manley, P.C., M.P.;1950-01-05;Ottawa, Ontario, Canada;;barrister and solicitor, lawyer, teacher, business advisor;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;
James Douglas Manly, M.P.;1932-10-29;Saskatoon, Saskatchewan, Canada;;logger, factory worker, clergyperson;3199 days [8 year(s), 9 month(s), 3 day(s)];(1980-02-18 - 1988-11-20);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
Paul Manly, M.P.;;Port Alice, British Columbia, Canada;;researcher, filmmaker, communications specialist, small business owner;868 days [2 year(s), 4 month(s), 16 day(s)];(2019-05-06 - 2021-09-19);868 days [2 year(s), 4 month(s), 16 day(s)];;;;
The Hon. Ernest Charles Manning, P.C., Senator;1908-09-20;Carnduff, Saskatchewan, Canada;1996-02-19;management consultant, businessman;4732 days [12 year(s), 11 month(s), 14 day(s)];;;(1970-10-07 - 1983-09-20);4732 days [12 year(s), 11 month(s), 14 day(s)];;
The Hon. Ernest Preston Manning, P.C., M.P.;1942-06-10;Edmonton, Alberta, Canada;;author, management consultant, businessman;3021 days [8 year(s), 3 month(s), 8 day(s)];(1993-10-25 - 2002-01-31);3021 days [8 year(s), 3 month(s), 8 day(s)];;;;
The Hon. Fabian Manning, M.P., Senator;;St. Bride's, Newfoundland, Canada;;business manager, political assistant, development consultant;7264 days [19 year(s), 10 month(s), 20 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];(2009-01-02 - 2011-03-28)|(2011-05-25 - );6269 days [17 year(s), 1 month(s), 30 day(s)];;English
Park Manross, M.P.;1895-06-10;United States;1951-01-24;advertising consultant, sales and marketing consultant, industrialist;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
David Ames Manson, M.P.;1841-12-24;Mansonville, Canada East;1929-02-09;telegrapher, merchant, postmaster;610 days [1 year(s), 8 month(s), 2 day(s)];(1880-10-18 - 1882-06-19);610 days [1 year(s), 8 month(s), 2 day(s)];;;;
Moe Mantha, M.P.;1933-12-13;North Bay, Ontario, Canada;2015-09-18;proprietor, professional hockey player, hatcheryman, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
John Andrew Mara, M.P.;1840-07-21;Toronto, Upper Canada;1920-02-11;merchant;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;
Gilles Marceau, Q.C., M.P.;1928-09-27;Québec, Quebec, Canada;2008-04-19;lawyer;5915 days [16 year(s), 2 month(s), 10 day(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1984-09-03);5915 days [16 year(s), 2 month(s), 10 day(s)];;;;
Richard Marceau, M.P.;1970-08-25;Charlesbourg, Quebec, Canada;;lawyer;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;
The Hon. Jean Marchand, P.C., M.P., Senator;1918-12-20;Champlain, Quebec, Canada;1988-08-28;unionist;6568 days [17 year(s), 11 month(s), 24 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1976-10-25);4005 days [10 year(s), 11 month(s), 18 day(s)];(1976-12-09 - 1983-12-15);2563 days [7 year(s), 6 day(s)];;
Jean-Paul Marchand, M.P.;1944-09-13;Penetanguishene, Ontario, Canada;;professor, author;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
The Hon. Leonard (Len) Stephen Marchand, P.C., M.P., Senator;1933-11-16;Vernon, British Columbia, Canada;2016-06-03;agricultural scientist;8977 days [24 year(s), 6 month(s), 28 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];(1984-06-29 - 1998-03-01);4994 days [13 year(s), 8 month(s), 3 day(s)];Member of the Okanagan Indian Band of British Columbia.;
The Hon. Sergio Marchi, P.C., M.P.;1956-05-12;Buenos Aires, Argentina;;urban planner, ambassador, executive assistant, businessman;5446 days [14 year(s), 10 month(s), 29 day(s)];(1984-09-04 - 1999-08-02);5446 days [14 year(s), 10 month(s), 29 day(s)];;;;
The Hon. Charles Marcil, P.C., M.P.;1860-07-01;Saint-Scholastique, Canada East;1937-01-29 (Died in Office);journalist;13233 days [36 year(s), 2 month(s), 23 day(s)];(1900-11-07 - 1937-01-29);13233 days [36 year(s), 2 month(s), 23 day(s)];;;;
The Hon. Serge Marcil, P.C., M.P.;1944-01-20;Salaberry-de-Valleyfield, Quebec, Canada;2010-01-12;business executive, school principal;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;Spouse of Christiane Pelchat, member of the National Assembly of Québec (1985-1994).;
Simon Marcil, M.P.;;;;unionist, union representative;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;
Joseph Edmond Marcile, M.P.;1854-10-22;Contrecoeur, Canada East;1925-11-05 (Died in Office);merchant;9823 days [26 year(s), 10 month(s), 23 day(s)];(1898-12-14 - 1925-11-05);9823 days [26 year(s), 10 month(s), 23 day(s)];;;;
The Hon. Arthur Marcotte, Senator;1873-03-08;Montreal, Quebec, Canada;1958-08-18 (Died in Office);lawyer;9906 days [27 year(s), 1 month(s), 14 day(s)];;;(1931-07-06 - 1958-08-18);9906 days [27 year(s), 1 month(s), 14 day(s)];;
