Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Alexander Ferguson MacLaren, M.P.;1854-02-03;Lanark, Canada West;1917-04-19;industrialist;4507 days [12 year(s), 4 month(s), 2 day(s)];(1896-06-23 - 1908-10-25);4507 days [12 year(s), 4 month(s), 2 day(s)];;;;
Col. The Hon. Murray MacLaren, P.C., C.M.G., M.R.C.S, F.A.C.S., M.P.;1861-04-30;Richibucto, New Brunswick, Canada;1942-12-24;physician, surgeon;4798 days [13 year(s), 1 month(s), 20 day(s)];(1921-12-06 - 1930-08-06)|(1930-08-25 - 1935-02-11);4798 days [13 year(s), 1 month(s), 20 day(s)];;;;
The Hon. Roy MacLaren, P.C., M.P.;1934-10-26;Vancouver, British Columbia, Canada;;diplomat, author, publisher, ambassador, high commissioner;4553 days [12 year(s), 5 month(s), 18 day(s)];(1979-05-22 - 1984-09-03)|(1988-11-21 - 1996-01-24);4553 days [12 year(s), 5 month(s), 18 day(s)];;;;
William Scott Maclaren, M.P.;1845-01-29;Lachute, Canada East;1909-09-13;agent;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
The Hon. Alexander Kenneth Maclean, P.C., M.P.,;1869-10-18;Upper North Sydney, Nova Scotia, Canada;1942-07-31;lawyer;6241 days [17 year(s), 1 month(s), 2 day(s)];(1904-11-03 - 1909-10-23)|(1911-09-21 - 1923-11-01);6241 days [17 year(s), 1 month(s), 2 day(s)];;;;
Alfred Edgar MacLean, M.P.;1868-05-08;Prince County, Prince Edward Island, Canada;1939-10-28 (Died in Office);farmer, trader, rancher;6536 days [17 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1939-10-28);6536 days [17 year(s), 10 month(s), 23 day(s)];;;;
The Hon. John Angus MacLean, P.C., M.P.;1914-05-15;Lewis, Prince Edward Island, Canada;2000-02-15;farmer, flying instructor, airplane pilot, test pilot;9250 days [25 year(s), 3 month(s), 28 day(s)];(1951-06-25 - 1968-06-24)|(1968-06-25 - 1976-10-20);9250 days [25 year(s), 3 month(s), 28 day(s)];;;;
John Douglas Campbell MacLean, M.P.;1929-03-24;Winnipeg, Manitoba, Canada;1987-11-09;barrister;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Matthew MacLean, M.P.;1879-12-13;Sydney Mines, Nova Scotia, Canada;1953-04-07 (Died in Office);notary, insurance agent;5651 days [15 year(s), 5 month(s), 20 day(s)];(1937-10-18 - 1953-04-07);5651 days [15 year(s), 5 month(s), 20 day(s)];;;;
William Findlay Maclean, M.P.;1854-08-10;Ancaster, Canada West;1929-12-07;farmer, gentleman, journalist;12544 days [34 year(s), 4 month(s), 4 day(s)];(1892-05-11 - 1904-11-02)|(1904-11-03 - 1926-09-14);12544 days [34 year(s), 4 month(s), 4 day(s)];;;;
Robert Simpson MacLellan, M.P.;1925-07-02;Sydney, Nova Scotia, Canada;2011-01-15;lawyer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Russell Gregoire MacLellan, K.C., M.P.;1940-01-16;Halifax, Nova Scotia, Canada;;barrister and solicitor, lawyer;6586 days [18 year(s), 12 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1997-06-01);6586 days [18 year(s), 12 day(s)];;;;
The Hon. Donald MacLennan, M.P., Senator;1877-03-02;Chimney Corner, Nova Scotia, Canada;1953-10-19 (Died in Office);barrister;6581 days [18 year(s), 7 day(s)];(1935-10-14 - 1940-01-28);1568 days [4 year(s), 3 month(s), 16 day(s)];(1940-01-29 - 1953-10-19);5013 days [13 year(s), 8 month(s), 22 day(s)];;
The Hon. James Maclennan, M.P.;1833-03-17;Lancaster Township, Upper Canada;1915-06-09;lawyer;563 days [1 year(s), 6 month(s), 15 day(s)];(1874-01-22 - 1874-11-10)|(1874-12-22 - 1875-09-17);563 days [1 year(s), 6 month(s), 15 day(s)];;;;
Sir Donald Macmaster, M.P.;1846-09-03;Williamstown, Canada West;1922-03-03;crown prosecutor, lawyer;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;Elected to the British House of Commons, 1910-1921.;
The Hon. Cyrus Macmillan, P.C., M.P.;1882-09-12;Wood Islands, Prince Edward Island, Canada;1953-06-29;professor, dean;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
