Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
Maurice Louis Bossy, M.P.;1929-04-01;Orford, Ontario, Canada;2008-11-29;farmer, salesman;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;
The Hon. Hewitt Bostock, P.C., M.P., Senator;1864-05-31;Walton Heath, Surrey, England;1930-04-28 (Died in Office);newspaper publisher, fruit grower, lawyer, rancher;11055 days [30 year(s), 3 month(s), 7 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];(1904-06-06 - 1930-04-28);9458 days [25 year(s), 10 month(s), 23 day(s)];;;
Robert Boston, M.P.;1836;Melrose, Upper Canada;1922-04-12;farmer;1189 days [3 year(s), 3 month(s), 2 day(s)];(1893-03-22 - 1896-06-22);1189 days [3 year(s), 3 month(s), 2 day(s)];;;;;
Charles Edward Bothwell, K.C., M.P.;1882-05-26;Owen Sound, Ontario, Canada;1967-08-28;barrister;5262 days [14 year(s), 4 month(s), 27 day(s)];(1925-10-29 - 1940-03-25);5262 days [14 year(s), 4 month(s), 27 day(s)];;;;;
The Hon. Amos Edwin Botsford, , P.C.;1804-09-25;Saint John, New Brunswick, Canada;1894-03-19 (Died in Office);farmer, judge, publisher;9645 days [26 year(s), 4 month(s), 27 day(s)];;;(1867-10-23 - 1894-03-19);9645 days [26 year(s), 4 month(s), 27 day(s)];;;
The Hon. Benoît Bouchard, P.C., M.P.;1940-04-16;Roberval, Quebec, Canada;;professor, ambassador, school administrator, administrator;3209 days [8 year(s), 9 month(s), 13 day(s)];(1984-09-04 - 1993-06-17);3209 days [8 year(s), 9 month(s), 13 day(s)];;;;;
Joseph Georges Bouchard, M.P.;1888-04-23;Saint-Philippe-de-Néri, Quebec, Canada;1956-08-04;agrologist, teacher;6525 days [17 year(s), 10 month(s), 12 day(s)];(1922-05-15 - 1940-03-25);6525 days [17 year(s), 10 month(s), 12 day(s)];;;;;
The Hon. Lucien Bouchard, P.C., M.P.;1938-12-22;Saint-Coeur-de-Marie, Quebec, Canada;;ambassador, lawyer;2766 days [7 year(s), 6 month(s), 26 day(s)];(1988-06-20 - 1996-01-15);2766 days [7 year(s), 6 month(s), 26 day(s)];;;;;
Robert Bouchard, M.P.;1943-03-30;Saint-Emond, Quebec, Canada;;municipal administrator, director;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;
The Hon. Télésphore-Damien Bouchard, Senator;1881-12-20;Saint-Hyacinthe, Quebec, Canada;1962-11-13 (Died in Office);newspaper owner, journalist;6830 days [18 year(s), 8 month(s), 13 day(s)];;;(1944-03-03 - 1962-11-13);6830 days [18 year(s), 8 month(s), 13 day(s)];;;
Aimé Boucher, M.P.;1877-07-23;Pierreville, Quebec, Canada;1946-09-09;notary;4949 days [13 year(s), 6 month(s), 18 day(s)];(1921-05-28 - 1932-12-23)|(1933-10-23 - 1935-10-13);4949 days [13 year(s), 6 month(s), 18 day(s)];;;;;
George Russell Boucher, K.C., M.P.;1899-12-13;Dunrobin, Ontario, Canada;1970-11-08;barrister;2997 days [8 year(s), 2 month(s), 14 day(s)];(1940-08-19 - 1948-11-01);2997 days [8 year(s), 2 month(s), 14 day(s)];;;;;
Jean Boucher, M.P.;1926-02-20;Laprairie, Quebec, Canada;2011-12-18;notary;1988 days [5 year(s), 5 month(s), 10 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1963-04-07);1988 days [5 year(s), 5 month(s), 10 day(s)];;;;;
Joseph Gaspard Boucher, M.P.;1897-02-03;Notre-Dame du Portage, Quebec, Canada;1955-04-18 (Died in Office);printer, publisher;617 days [1 year(s), 8 month(s), 9 day(s)];(1953-08-10 - 1955-04-18);617 days [1 year(s), 8 month(s), 9 day(s)];;;;;
Sylvie Boucher, M.P.;1962-12-18;Victoriaville, Quebec, Canada;;sales and marketing consultant, manager, political assistant, administrator;3388 days [9 year(s), 3 month(s), 10 day(s)];(2006-01-23 - 2011-05-01)|(2015-10-19 - 2019-10-20);3388 days [9 year(s), 3 month(s), 10 day(s)];;;Awarded the title of Knight of the Ordre de la Pléiade in 2023.;;
The Hon. William Albert Boucher, M.P., Senator;1889-11-12;Saint-Louis, Northwest Territories, Canada;1976-06-23 (Died in Office);farmer, merchant;8862 days [24 year(s), 3 month(s), 5 day(s)];(1948-10-25 - 1953-08-09);1750 days [4 year(s), 9 month(s), 15 day(s)];(1957-01-03 - 1976-06-23);7112 days [19 year(s), 5 month(s), 20 day(s)];Of Métis origin.;;
The Hon. Charles Eugène Boucher de Boucherville, Senator;1822-05-04;Boucherville, Lower Canada;1915-09-10 (Died in Office);physician;13359 days [36 year(s), 6 month(s), 27 day(s)];;;(1879-02-12 - 1915-09-10);13359 days [36 year(s), 6 month(s), 27 day(s)];Baptized Charles-Eugène-Napoléon, signed C.B. de Boucherville.;;
Louis-Charles Boucher de Niverville, Q.C., M.P.;1825-08-12;Trois-Rivières, Lower Canada;1869-08-01;lawyer;377 days [1 year(s), 12 day(s)];(1867-09-20 - 1868-09-30);377 days [1 year(s), 12 day(s)];;;;;
