Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
The Hon. James Bernard (Bernie) Boudreau, P.C., K.C., Senator;1944-07-25;Sydney, Nova Scotia, Canada;;lawyer;389 days [1 year(s), 24 day(s)];;;(1999-10-04 - 2000-10-26);389 days [1 year(s), 24 day(s)];;;
The Hon. Don Boudria, P.C., M.P.;1949-08-30;Hull, Quebec, Canada;;purchasing agent, public servant;7811 days [21 year(s), 4 month(s), 19 day(s)];(1984-09-04 - 2006-01-22);7811 days [21 year(s), 4 month(s), 19 day(s)];;;;;
Michel Boudrias, M.P.;1977;Roberval, Quebec, Canada;;political adviser;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;
The Hon. Paul Henri Bouffard, Senator;1895-04-05;Québec, Quebec, Canada;1966-02-16 (Died in Office);professor, lawyer;6992 days [19 year(s), 1 month(s), 22 day(s)];;;(1946-12-27 - 1966-02-16);6992 days [19 year(s), 1 month(s), 22 day(s)];;;
Ray Boughen, M.P.;1937-05-25;Coronach, Saskatchewan, Canada;;education consultant, educational administrator, principal, teacher;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
Joseph Oscar Lefebre Boulanger, M.P.;1888-11-03;Saint-Charles de Bellechasse, Quebec, Canada;1958-07-21;lawyer;4942 days [13 year(s), 6 month(s), 11 day(s)];(1926-09-14 - 1940-03-25);4942 days [13 year(s), 6 month(s), 11 day(s)];;;Awarded the title of Officer of the Order of the British Empire in 1946.;;
Prosper Boulanger, M.P.;1918-11-17;Saint-Eugène-de-l'Islet, Quebec, Canada;2002-12-05;businessman;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];;;;;
Samuel Boulanger, M.P.;1909-05-08;St. Isidore, Quebec, Canada;1989-07-13;manufacturer, manager, agrologist, teacher;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;;
Herménégilde Boulay, M.P.;1861-03-20;Saint-Donat, Canada East;1942-05-18;manufacturer, farmer, merchant, trader;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];;;;;
Alexandre Boulerice, M.P.;;Saint-Jean-sur-Richelieu, Quebec, Canada;;union communications adviser, journalist, community activist;5475 days [14 year(s), 11 month(s), 27 day(s)];(2011-05-02 - );5475 days [14 year(s), 11 month(s), 27 day(s)];;;;French, English;
Marc Boulianne, M.P.;1941-10-09;Tadoussac, Quebec, Canada;;professor, political assistant;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;;
Alfred Boultbee, M.P.;1829-03-05;Hampshire, England;1901-12-29;editor, lawyer;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;
The Hon. Lt. Col. Charles Arkoll Boulton, Senator;1841-04-17;Cobourg, Canada West;1899-05-15 (Died in Office);farmer, land surveyor, businessman;3444 days [9 year(s), 5 month(s), 5 day(s)];;;(1889-12-10 - 1899-05-15);3444 days [9 year(s), 5 month(s), 5 day(s)];;;
François Bourassa, M.P.;1813-06-05;Sainte-Marguerite-de-Blairfindie (L'Acadie), Lower Canada;1898-05-13;farmer;10504 days [28 year(s), 9 month(s), 3 day(s)];(1867-09-20 - 1896-06-22);10504 days [28 year(s), 9 month(s), 3 day(s)];;;;;
Joseph Boutin Bourassa, M.P.;1854-11-13;Saint-Romuald, Canada East;1943-07-12;notary;5152 days [14 year(s), 1 month(s), 9 day(s)];(1911-09-21 - 1925-10-28);5152 days [14 year(s), 1 month(s), 9 day(s)];;;;;
Joseph Henri Napoléon Bourassa, M.P.;1868-09-01;Montreal, Quebec, Canada;1952-08-31;newspaper owner, newspaper editor, journalist;7699 days [21 year(s), 29 day(s)];(1896-06-23 - 1899-10-26)|(1900-01-18 - 1907-10-29)|(1925-10-29 - 1935-10-13);7699 days [21 year(s), 29 day(s)];;;;;
Désiré Olivier Bourbeau, M.P.;1834-09-21;Saint-Pierre-les-Becquets, Lower Canada;1900-12-21;merchant;3405 days [9 year(s), 3 month(s), 27 day(s)];(1877-10-27 - 1887-02-21);3405 days [9 year(s), 3 month(s), 27 day(s)];;;Baptized Zéphyrin-Désiré.;;
Augustin Bourbonnais, M.P.;1850-03-19;Saint-Clet, Canada East;1923-08-05;physician;4507 days [12 year(s), 4 month(s), 2 day(s)];(1896-06-23 - 1908-10-25);4507 days [12 year(s), 4 month(s), 2 day(s)];;;Brother of Avila-Gonzague Bourbonnais, member of the Legislative Assembly of Québec (1896-1908).;;
Marcel Bourbonnais, M.P.;1918-02-27;Québec, Quebec, Canada;1996-10-14;engineer, technician, foreman, draftsman;1834 days [5 year(s), 8 day(s)];(1958-03-31 - 1963-04-07);1834 days [5 year(s), 8 day(s)];;;;;
Rodrigue Bourdages, M.P.;1923-10-22;Halifax, Nova Scotia, Canada;1997-10-12;contractor;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;
Lise Bourgault, M.P.;1950-06-05;Saint-Pamphile, Quebec, Canada;;real estate agent, administrator;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
Alfred Edmond Bourgeois, M.P.;1872-10-26;Cocagne, New Brunswick, Canada;1939-01-24;landlord, merchant, clerk;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;
The Hon. Charles Bourgeois, M.P., Senator;1879-07-29;Trois-Rivières, Quebec, Canada;1940-05-15 (Died in Office);lawyer;3202 days [8 year(s), 9 month(s), 6 day(s)];(1931-08-10 - 1935-08-14);1466 days [4 year(s), 5 day(s)];(1935-08-15 - 1940-05-15);1736 days [4 year(s), 9 month(s), 1 day(s)];;;
Diane Bourgeois, M.P.;1949-11-14;Montreal, Quebec, Canada;;teacher;3808 days [10 year(s), 5 month(s), 4 day(s)];(2000-11-27 - 2011-05-01);3808 days [10 year(s), 5 month(s), 4 day(s)];;;;;
The Hon. Maurice Bourget, P.C., M.P., Senator;1907-10-20;Lauzon, Quebec, Canada;1979-03-29 (Died in Office);civil engineer;13935 days [38 year(s), 1 month(s), 26 day(s)];(1940-03-26 - 1962-06-17);8119 days [22 year(s), 2 month(s), 23 day(s)];(1963-04-27 - 1979-03-29);5816 days [15 year(s), 11 month(s), 2 day(s)];;;
The Hon. John Bourinot, Senator;1814-03-15;Grouville, Island of Jersey, England;1884-01-19 (Died in Office);merchant;5933 days [16 year(s), 2 month(s), 28 day(s)];;;(1867-10-23 - 1884-01-19);5933 days [16 year(s), 2 month(s), 28 day(s)];;;
The Hon. Romuald Bourque, M.P., Senator;1889-12-06;Ottawa, Ontario, Canada;1974-08-14 (Died in Office);publicist, person of independent means, industrialist;7894 days [21 year(s), 7 month(s), 11 day(s)];(1952-10-06 - 1963-04-07);3836 days [10 year(s), 6 month(s), 1 day(s)];(1963-07-06 - 1974-08-14);4058 days [11 year(s), 1 month(s), 10 day(s)];;;
The Hon. Thomas-Jean Bourque, Senator;1864-05-11;Memramcook, New Brunswick, Canada;1952-02-16 (Died in Office);physician;12811 days [35 year(s), 27 day(s)];;;(1917-01-20 - 1952-02-16);12811 days [35 year(s), 27 day(s)];;;
Arthur Moren Boutillier, M.P.;1869-10-16;Halifax, Nova Scotia, Canada;1955-02-24;farmer;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;;
Pierre-André Boutin, M.P.;1934-12-02;Sainte-Marguerite, Quebec, Canada;;teacher;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;;
Marjolaine Boutin-Sweet, M.P.;1955-10-03;Abitibi, Quebec, Canada;;interpretive guide - museum, union instructor, union organiser, archaeologist;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;Qualifications University of Alberta, M.A. (Anthropology) (1986), Trent University, B.A. (Anthropology) (1977);;
The Hon. Patricia E. Bovey, Senator;;;;curator, historian, arts consultant;2377 days [6 year(s), 6 month(s), 3 day(s)];;;(2016-11-10 - 2023-05-14);2377 days [6 year(s), 6 month(s), 3 day(s)];;;
The Hon. Sir Mackenzie Bowell, P.C., M.P., Senator;1823-12-27;Rickinghall, Suffolk, England;1917-12-10 (Died in Office);printer, editor;18326 days [50 year(s), 2 month(s), 3 day(s)];(1867-09-20 - 1878-10-18)|(1878-11-06 - 1892-12-04);9190 days [25 year(s), 1 month(s), 29 day(s)];(1892-12-05 - 1917-12-10);9136 days [25 year(s), 5 day(s)];Of British origin.;;pneunomia
Fred Wellington Bowen, M.P.;1877-05-23;Newcastle, Ontario, Canada;1949-07-07;farmer;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;;
John Oates Bower, M.P.;1901-10-14;Shelburne, Nova Scotia, Canada;1981-01-16;executive, businessman;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;;
Edward LeRoy Bowerman, M.P.;1892-06-02;Toronto, Ontario, Canada;1977-02-17;farmer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
Edward Charles Bowers, M.P.;1845-12-15;Westport, Nova Scotia, Canada;1929-01-19;trader, teacher;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;;
Beniah Bowman, M.P.;1886-03-14;Waterloo County, Ontario, Canada;1941-04-13;farmer, minister;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;First United Farmers of Ontario candidate elected in Ontario.;;
Isaac Erb Bowman, M.P.;1832-08-17;Woolwich, Upper Canada;1897-09-03;businessman, teacher;7424 days [20 year(s), 3 month(s), 28 day(s)];(1867-09-20 - 1878-09-16)|(1887-02-22 - 1896-06-22);7424 days [20 year(s), 3 month(s), 28 day(s)];;;Born Isaac Erb Baumann.;;
James Bowman, M.P.;1861-10-31;Morris Township, Canada West;1940-05-02;farmer;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;
The Hon. James Langstaff Bowman, P.C., M.P.;1879-10-06;Thornhill, Ontario, Canada;1951-09-14;barrister;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;
John Young Bown, M.P.;1821-12-30;Dorsetshire, England;1890-09-26;physician;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;
Arthur Cyril Boyce, M.P.;1867-09-12;Wakefield, Yorkshire, England;1942-08-04;barrister, lawyer;4718 days [12 year(s), 11 month(s)];(1904-11-03 - 1917-10-03);4718 days [12 year(s), 11 month(s)];;;;;
George Boyce, M.P.;1844-12-21;County Armagh, Ireland;1930-02-28;farmer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;;
The Hon. John Boyd, Senator;1826-09-28;Magherafelt, Ireland;1893-12-04;merchant;4972 days [13 year(s), 7 month(s), 11 day(s)];;;(1880-02-11 - 1893-09-21);4972 days [13 year(s), 7 month(s), 11 day(s)];;;
Nathaniel Boyd, M.P.;1853-07-09;Lachute, Canada East;1941-11-09;telegrapher, train dispatcher, miller, businessman, rancher;3177 days [8 year(s), 8 month(s), 12 day(s)];(1892-07-15 - 1896-06-22)|(1896-06-23 - 1897-03-30)|(1900-11-07 - 1904-11-02);3177 days [8 year(s), 8 month(s), 12 day(s)];;;;;
The Hon. Arthur Boyer, Senator;1851-02-09;Montreal, Quebec, Canada East;1922-01-24 (Died in Office);merchant;4594 days [12 year(s), 6 month(s), 28 day(s)];;;(1909-06-28 - 1922-01-24);4594 days [12 year(s), 6 month(s), 28 day(s)];;;
The Hon. Gustave Benjamin Boyer, M.P., Senator;1871-11-29;Saint-Laurent, Quebec, Canada;1927-12-02 (Died in Office);gentleman, journalist;8430 days [23 year(s), 29 day(s)];(1904-11-03 - 1917-12-16)|(1917-12-17 - 1922-03-10);6337 days [17 year(s), 4 month(s), 6 day(s)];(1922-03-11 - 1927-12-02);2093 days [5 year(s), 8 month(s), 24 day(s)];;;
Louis Alphonse Boyer, M.P.;1839-05-31;Montreal, Quebec, Canada;1916-05-29;lumber merchant, businessman;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;;
Patrick Boyer, K.C., M.P.;1945-03-04;Bracebridge, Ontario, Canada;;author, lawyer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
The Hon. Yvonne Boyer, Senator;;Moose Jaw, Saskatchewan, Canada;;lawyer, professor;2966 days [8 year(s), 1 month(s), 14 day(s)];;;(2018-03-15 - );2966 days [8 year(s), 1 month(s), 14 day(s)];Of Métis origin. First Senator from Ontario to identify as Indigenous.;English;
Frank Boyes, M.P.;1874-01-29;South Dorchester Township, Ontario, Canada;1961-05-28;cheese maker;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;
Arthur Boyle, M.P.;1842-03;Thorold, Canada West;1919-12-10;grocer;3036 days [8 year(s), 3 month(s), 23 day(s)];(1887-02-22 - 1891-03-04)|(1892-03-12 - 1896-06-22);3036 days [8 year(s), 3 month(s), 23 day(s)];;;;;
William Alves Boys, K.C., M.P.;1868-07-09;Barrie, Ontario, Canada;1938-02-20;barrister;6622 days [18 year(s), 1 month(s), 18 day(s)];(1912-06-10 - 1925-10-28)|(1925-10-29 - 1930-07-27);6622 days [18 year(s), 1 month(s), 18 day(s)];;;;;
Gerald Hugh Brabazon, M.P.;1854-12-07;Montreal, Quebec, Canada;1938-12-27;land surveyor;3732 days [10 year(s), 2 month(s), 19 day(s)];(1904-11-03 - 1908-10-25)|(1911-09-21 - 1917-12-16);3732 days [10 year(s), 2 month(s), 19 day(s)];;;;;
The Hon. John Bracken, P.C., M.P.;1883-06-22;Ellisville, Ontario, Canada;1969-03-18;professor, farmer, author;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
The Hon. George Henry Bradbury, M.P., Senator;1859-06-25;Hamilton, Canada West;1925-09-06 (Died in Office);manufacturer;6160 days [16 year(s), 10 month(s), 12 day(s)];(1908-10-26 - 1917-12-16);3339 days [9 year(s), 1 month(s), 22 day(s)];(1917-12-17 - 1925-09-06);2821 days [7 year(s), 8 month(s), 21 day(s)];;;
The Hon. Joseph A. Bradette, M.P., Senator;1886-10-16;Saint-Urbain, Quebec, Canada;1961-09-12 (Died in Office);farmer, merchant, lawyer;12783 days [34 year(s), 11 month(s), 30 day(s)];(1926-09-14 - 1935-10-13)|(1935-10-14 - 1953-06-11);9768 days [26 year(s), 8 month(s), 29 day(s)];(1953-06-12 - 1961-09-12);3015 days [8 year(s), 3 month(s), 2 day(s)];;;
The Hon. Frederick Gordon Bradley, P.C., Q.C., M.P., Senator;1888-03-21;St John's, Newfoundland;1966-03-30 (Died in Office);barrister;6121 days [16 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1953-06-11);1446 days [3 year(s), 11 month(s), 15 day(s)];(1953-06-12 - 1966-03-30);4675 days [12 year(s), 9 month(s), 18 day(s)];;;
Harry Oliver Bradley, M.P.;1929-11-24;Welland, Ontario, Canada;1990-03-16;teacher;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;;
Thomas Arhur (Bud) Bradley, M.P.;1938-04-30;Niagara Falls, Ontario, Canada;2022-03-18;dentist;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;;
Albert James Bradshaw, M.P.;1882-12-18;Downie Township, Ontario, Canada;1956-01-06;farmer, businessman;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
The Hon. Claudette Bradshaw, P.C., M.P.;1949-04-08;Moncton, New Brunswick, Canada;2022-03-26;executive director;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 1998-06-17)|(1998-06-18 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;Awarded the Order of New Brunswick (O.N.B.) in 2009.;;
James Charles Brady, M.P.;1876-01-21;Dublin, Ireland;1962-01-24;school principal, teacher;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;
Richard Bragdon, M.P.;;Woodstock, New Brunswick, Canada;;small business owner, realtor;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;English;
Tarik Brahmi, M.P.;1968-05-19;Lyon, France;;engineer, consultant, environmentalist, public servant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
Peter Braid, M.P.;1964-01-07;Kitchener, Ontario, Canada;;communication consultant, account manager;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
The Hon. David Braley, Senator;1941-05-31;Montreal, Quebec, Canada;2020-10-26;businessman;1291 days [3 year(s), 6 month(s), 12 day(s)];;;(2010-05-20 - 2013-11-30);1291 days [3 year(s), 6 month(s), 12 day(s)];;;
Lewis Mackenzie Brand, M.P.;1925-11-21;Dunfermline, Scotland;1994-02-15;physician, surgeon;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;;
Augustin Brassard, M.P.;1922-07-16;Roberval, Quebec, Canada;1971-12-26;lawyer, secretary, teacher;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;;
John Brassard, M.P.;1964-05-11;Montreal, Quebec, Canada;;radio announcer, fire fighter, business owner, Union President;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;English, French;
Vincent Brassard, M.P.;1919-12-10;Chicoutimi, Quebec, Canada;1974-04-07;manufacturer, meat packer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;
Maurice Brasset, M.P.;1884-04-12;Havre Aubert, Quebec, Canada;1971-04-05;lawyer;3529 days [9 year(s), 7 month(s), 29 day(s)];(1930-07-28 - 1940-03-25);3529 days [9 year(s), 7 month(s), 29 day(s)];;;;;
Bob Bratina, M.P.;1944;Hamilton, Ontario, Canada;;radio host, broadcaster;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;
The Hon. Patrick Brazeau, Senator;;Kitigan Zibi Anishinabeg, Quebec, Canada;;aboriginal leader;6319 days [17 year(s), 3 month(s), 19 day(s)];;;(2009-01-08 - );6319 days [17 year(s), 3 month(s), 19 day(s)];Member of the Algonquin Nation and a citizen of the Indian Reserve of Kitigan Zibi near Maniwaki, Quebec.;French, English;
The Hon. Herb Breau, P.C., M.P.;1944-12-05;Haut Sheila, New Brunswick, Canada;;business manager;5915 days [16 year(s), 2 month(s), 10 day(s)];(1968-06-25 - 1984-09-03);5915 days [16 year(s), 2 month(s), 10 day(s)];;;;;
Michael James Breaugh, M.P.;1942-09-13;Kingston, Ontario, Canada;2019-11-22;teacher;1169 days [3 year(s), 2 month(s), 12 day(s)];(1990-08-13 - 1993-10-24);1169 days [3 year(s), 2 month(s), 12 day(s)];;;;;
Frederick de St Croix Brecken, K.C., M.P.;1828-12-09;Charlottetown, Prince Edward Island, Canada;1903-10-14;lawyer;1894 days [5 year(s), 2 month(s), 7 day(s)];(1878-09-17 - 1882-06-19)|(1883-02-27 - 1884-08);1894 days [5 year(s), 2 month(s), 7 day(s)];;;Son of  John Brecken, member ot the P.E.I. House of Assembly (1829-18??).Grandson of Ralph Brecken, speaker of the P.E.I. House of Assembly (1812).Great-grandson of Joseph Robinson, speaker of the P.E.I. House of Assembly.;;
The Hon. Louis Orville Breithaupt, M.P.;1890-10-28;Berlin (Kitchener), Ontario, Canada;1960-12-06;manufacturer;4174 days [11 year(s), 5 month(s), 4 day(s)];(1940-08-19 - 1952-01-22);4174 days [11 year(s), 5 month(s), 4 day(s)];;;;;
Cliff N. Breitkreuz, M.P.;1940-07-30;Onoway, Alberta, Canada;;farmer, businessman, teacher;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;
Garry W. Breitkreuz, M.P.;1945-10-21;Yorkton, Saskatchewan, Canada;;farmer, principal, teacher;8029 days [21 year(s), 11 month(s), 24 day(s)];(1993-10-25 - 2015-10-18);8029 days [21 year(s), 11 month(s), 24 day(s)];;;;;
